"","logFC","logCPM","F","PValue","FDR"
"Otulin",-1.13239883161703,6.74626924285074,36.6696394677016,0.000130010276921482,0.44358300549719
"Clec1b",2.18697296119601,4.22104926753102,29.1820916231484,0.000315406698989951,0.44358300549719
"Adamts4",1.92582497845538,6.06441473223918,28.7930850099464,0.000357484065316592,0.44358300549719
"Sh3bgrl2",1.689964166076,4.31197142500595,25.3420304490414,0.00053340417609599,0.44358300549719
"Gm15614",1.47451208092194,4.813255301694,25.2662624671769,0.000539280546600776,0.44358300549719
"Ier3",1.25870554375296,7.6901758344217,24.308371608594,0.000632522499556845,0.44358300549719
"Samsn1",-1.03692356821866,6.27615453881842,23.9241194278482,0.000657538934138842,0.44358300549719
"Lamtor2",-0.824563374721728,6.66344433382455,22.2626178489905,0.00085035603884231,0.44358300549719
"Ube2m",-1.04099656284315,5.80627267672871,22.2178368204324,0.000856433790186984,0.44358300549719
"Akap12",1.35461273963556,8.08746654753046,22.0370554389257,0.000935210211862292,0.44358300549719
"Gm17056",2.00698696446761,4.1801975364824,21.6302896517334,0.00094123795393601,0.44358300549719
"Ppbp",2.51532035033237,4.73461382065596,21.8047084231055,0.000970244512310045,0.44358300549719
"Il6ra",1.29285690154369,4.96179239972769,21.084442817867,0.00102924798892426,0.44358300549719
"Iglc1",-0.995154860345535,8.00725097393127,20.4355502910381,0.00114713820501164,0.44358300549719
"0610043K17Rik",-1.72118367215076,4.18778013391228,20.3643667802578,0.00116103839329143,0.44358300549719
"Rhbdf2",1.17407446347938,5.20590935595371,20.2578828321139,0.00118221285412833,0.44358300549719
"Emp1",1.77892962047702,6.95989699263612,20.3965497251533,0.00122013666510981,0.44358300549719
"Ddr2",2.76801629013931,4.51433977846333,19.998261590668,0.00130451717972332,0.44358300549719
"Rab20",1.45253425992019,4.2445125711158,19.2834296760406,0.00139930352983676,0.44358300549719
"Plat",1.45633256403657,5.69175518007598,19.2288907273483,0.00144854229837918,0.44358300549719
"Osmr",1.76289109673255,6.91941479028121,18.9917841187115,0.00155134645636987,0.44358300549719
"A030001D20Rik",1.76831412272245,4.11571435793665,18.5008797783626,0.00160918231005407,0.44358300549719
"AI837181",-1.31744960662606,4.43811961069427,18.2879770267763,0.00167272459696662,0.44358300549719
"Yap1",1.45686722873235,5.35399303788195,18.1350683924753,0.00172023385336506,0.44358300549719
"A930037H05Rik",1.38866445699075,5.14573126789639,18.0874980147236,0.00173534495221716,0.44358300549719
"Ifi27l2a",-1.32584163256745,9.47668236984514,18.0043981797842,0.00179587195850602,0.44358300549719
