"","logFC","logCPM","F","PValue","FDR"
"A030001D20Rik",2.77439344311562,5.36318732864452,16.7143613973346,0.000664756083080687,0.850801761743979
"Ugdh",1.65717749498559,6.68966641139432,15.5708025368623,0.000986667884885144,0.850801761743979
"Slc5a3",1.45812663802203,6.43916845788704,14.3750537028485,0.00129610319964793,0.850801761743979
"Gm15543",-1.69818347547322,6.23073146399581,14.4928971791463,0.00132249486682569,0.850801761743979
"Cachd1",1.56142645953373,6.12786803602023,13.5171968955245,0.00168879806530035,0.850801761743979
"Skap2",1.35593542311828,6.6798701102691,13.2253968907065,0.00183527067167579,0.850801761743979
"Atcayos",-1.23638652417842,6.82627828287978,12.7209296192618,0.00214757499690573,0.850801761743979
"Il6",1.33898307660283,6.4008463912266,12.2721556564008,0.00247585811511357,0.850801761743979
"Sbno2",1.16815301190935,7.45114208646673,12.2442727952576,0.00249803203492328,0.850801761743979
"Adprhl1",-1.3699682205719,8.09590892768002,12.2189838456874,0.00273663483874396,0.850801761743979
"Gpx3",-1.35959249151902,5.82178139173137,11.4262364413682,0.00325864134159696,0.850801761743979
"A930037H05Rik",1.82407832569613,6.16879525547166,11.7296893561603,0.00337886995197325,0.850801761743979
"Gadd45b",1.08258559827308,7.43383968069516,11.2329600529378,0.00347411888825912,0.850801761743979
"Coq8a",-1.20759471660917,6.43334120483555,11.1139202075128,0.00361473723766843,0.850801761743979
"Ndufa1",-1.47244753118976,7.7022028646714,11.437305463722,0.00370268613124904,0.850801761743979
"Nup155",1.76207514338403,5.53165361762311,10.9152317336168,0.00386384345573136,0.850801761743979
"Ubash3b",1.30885475570865,6.78592203947565,10.8823937464035,0.00390683460207345,0.850801761743979
"Eef1a2",-1.06635365171677,7.61028323800016,10.5205689599307,0.00441769376969372,0.850801761743979
"Sntb2",1.03685144371771,8.06105861033664,10.4142624994852,0.00458168627660725,0.850801761743979
"Syn3",1.25179620164194,5.98050860058688,10.3882013557094,0.00462292156684045,0.850801761743979
"Wsb1",1.10351322095324,7.46193889278612,9.97042928648166,0.00534402282036486,0.850801761743979
"Asb18",-1.28436667651967,5.92477677235273,9.94536402587882,0.00539113449942061,0.850801761743979
"Il1r1",1.13071305195646,6.90600684192818,9.93363419812595,0.00541334103556312,0.850801761743979
"Ier3",1.18984852185077,8.30489947109314,9.51629256088458,0.00627427084558242,0.850801761743979
"Kdm6b",0.96615500429478,7.82759031797145,9.44621921160901,0.00643336482824447,0.850801761743979
"Dbp",2.92325708912343,4.8785626831469,9.43035175137657,0.00647001488184114,0.850801761743979
"Zfand2a",1.24843185107819,5.79628298944682,9.41578347671201,0.00650387029964628,0.850801761743979
"AU020206",1.10477375597972,6.5369462272111,9.3613664143099,0.00663209866719017,0.850801761743979
"Spats2",1.1341032947181,7.15059742175922,9.29311277830698,0.00679695612313323,0.850801761743979
"Coq10b",1.12193119268625,7.10472311485871,9.23695734798173,0.00693604120276015,0.850801761743979
"C430049B03Rik",1.20817578538001,6.48441466081151,9.15253076845762,0.00715119445187696,0.850801761743979
"Nrgn",1.45698141905105,5.88077460905395,9.26505007888437,0.00727247369010149,0.850801761743979
"Mrpl52",-1.15033784883474,6.39487936643507,9.03739288900046,0.00745677926069174,0.850801761743979
"Hsph1",1.3268349835456,9.1563091191901,9.03371049934378,0.00746679149454694,0.850801761743979
"Stk17b",1.19009480062555,5.79350627103295,8.94283838313587,0.00771871098335093,0.850801761743979
"Rab8b",1.06008909751433,6.70811223156986,8.92109648073108,0.00778038941322757,0.850801761743979
"Cd38",1.12469438431474,5.98951773702287,8.83610903426956,0.00802684854176005,0.850801761743979
"Ciao2b",-1.1640862586093,5.88883462037796,8.79755105785705,0.00814154439917552,0.850801761743979
"Osmr",1.09406715186983,8.02318188508539,8.79530981268381,0.00814826763368563,0.850801761743979
"Scarb1",1.02619110507973,6.9813240772929,8.70753787687059,0.00841652996795395,0.850801761743979
"Tmem256",-1.15171296124826,6.89347740387322,8.70307155943498,0.00843044337218966,0.850801761743979
"Ntf3",1.13950179030325,6.03919064188428,8.56556297615077,0.0088717098414213,0.850801761743979
"S100a11",-1.17585555372009,7.22375567223015,8.68932789253349,0.00892718083877577,0.850801761743979
"Ccl21a",2.57759682948758,5.24210566007259,8.74042657185725,0.00911358718739426,0.850801761743979
"Myo18b",-1.08560288244078,6.88872685707838,8.47130376410266,0.00918916641411891,0.850801761743979
"Fat4",1.11789015813504,6.13299762395788,8.38591244859378,0.00948780545979552,0.850801761743979
"Gulp1",0.974000533737174,7.03580091480367,8.38135510181457,0.00950404770534839,0.850801761743979
"Ednrb",1.09554956670941,6.12382266350923,8.24668403546698,0.00999840853755429,0.850801761743979
"Mrpl33",-1.20570881498093,7.35937049008221,8.36940567397131,0.0104087237535007,0.850801761743979
"Htra3",-1.58051157142488,5.61112690904033,8.03572721665908,0.0109064916553361,0.850801761743979
"Uaca",0.896712969382204,7.46268352501884,7.96394970227948,0.0111332300921891,0.850801761743979
"Sh3rf1",0.897738701135276,7.54430470610249,7.89300593401097,0.0114402507379489,0.850801761743979
"Sik1",0.940942963650608,7.14460799211676,7.87613960606908,0.0115146365788755,0.850801761743979
"Hspa1b",1.25159047947387,9.1805160789956,7.85408665687695,0.0116127193425687,0.850801761743979
"Smim11",-1.2048560914927,6.6389201798294,7.966434237922,0.0116162053989589,0.850801761743979
"Runx1",1.50152626722881,5.50628665810159,7.77164320305852,0.0119878125375645,0.850801761743979
"Aldh9a1",-1.51802397114125,5.46145262926378,7.74931457068966,0.0120917343168364,0.850801761743979
"Nos3",1.18193703840944,6.72940502834199,7.82855490220816,0.0122351172232688,0.850801761743979
"Peli1",1.00289503665583,7.39923929858978,7.71220981655252,0.0122666774651563,0.850801761743979
"Avl9",1.26180441529029,5.63588316615202,7.68483289270903,0.0123975824831514,0.850801761743979
"Hadha",-0.89076108863395,7.91377234283338,7.66510070906935,0.0124929089066772,0.850801761743979
"Errfi1",1.07237296797051,7.15504682564564,7.71253426605975,0.0125941203203672,0.850801761743979
"Ckmt2",-0.999010670183327,8.75561572665194,7.6140302329138,0.0127434863762634,0.850801761743979
"Cpne8",0.968493103590453,8.01783229179931,7.59821719107392,0.0128222168544569,0.850801761743979
"Icam1",1.04411779348464,7.63943387876013,7.70390341652762,0.0128269441015449,0.850801761743979
"Hectd2os",-0.989230271739421,6.57515882250896,7.57482265948403,0.0129397009544473,0.850801761743979
"Ccnyl1",0.907008891968626,7.27450133816616,7.5488607320655,0.0130714995696354,0.850801761743979
"Myo1e",0.972327657953315,7.95455218326815,7.51531975311528,0.0132440182904798,0.850801761743979
"Swap70",1.06674322996236,6.99061075522673,7.47259322627219,0.0135511450934262,0.850801761743979
"Cxcl2",1.11062560131427,5.93532725174626,7.42916601662064,0.0136990294759872,0.850801761743979
"Suco",1.04992522353362,6.22822755723631,7.40096176486517,0.013851793777815,0.850801761743979
"Gclc",1.01164655900881,6.79896125941023,7.37871508219413,0.0139736446041455,0.850801761743979
"Ralb",1.01157223599047,5.97733810323019,7.37849987313228,0.0139748292441749,0.850801761743979
"Akap12",0.982668131601689,8.69552348763699,7.36863582288845,0.0140292485822016,0.850801761743979
"Tsc22d2",0.884052448354429,7.5842974457773,7.36284046092932,0.0140613325841375,0.850801761743979
"Piezo1",0.902555606122305,7.47195471219425,7.36136205993813,0.0140695304688847,0.850801761743979
"Ucp3",-1.40295691580683,5.51865290349727,7.30675486140499,0.0143761407931755,0.850801761743979
"Bmpr2",0.880588738880162,7.86533051584585,7.30565602104284,0.0143823874306655,0.850801761743979
"Birc3",1.00573814790962,6.91580521509072,7.26305438567534,0.0146269425848377,0.850801761743979
"Dlg2",0.855923899443627,7.61123080229723,7.24520006998481,0.0147308268885541,0.850801761743979
"Slc1a1",1.01553263696288,6.6930884973655,7.16490042272414,0.0152084480161765,0.850801761743979
"Emp1",0.970397408313404,7.85064970128256,7.15952504438387,0.0152410391284934,0.850801761743979
"Erbin",0.946194225438852,7.47614777834452,7.01074689752311,0.016175126854355,0.850801761743979
"Sertad2",0.960718856831827,7.53343720810967,7.0038993013033,0.0162235038582189,0.850801761743979
"Pabpc4",-1.12794257663793,6.64446170285103,7.0660581833953,0.0164123334937858,0.850801761743979
"Mrps21",-1.34188974705237,7.32014932716075,7.05149351069529,0.0174734132205478,0.850801761743979
"Arhgef10l",-1.09646910717381,6.06670133333204,6.76171603437377,0.0179833610296469,0.850801761743979
"Rybp",0.921971758049915,6.58475600725709,6.73720819770147,0.0180661713293035,0.850801761743979
"Crem",0.913696161580584,6.40528602549844,6.69661287700144,0.0183675566720705,0.850801761743979
"Nr4a1",0.896110761918512,6.86251119244982,6.65576569755436,0.0186765593152571,0.850801761743979
"Swt1",0.975521195982966,7.38142401512413,6.7100914257093,0.0189008601816608,0.850801761743979
"Jak2",1.07960453639917,7.93745200930461,6.7667897462843,0.0190368172124112,0.850801761743979
"Pcbd2",-1.05176267756172,5.9521908438036,6.60727141331318,0.0190510667562374,0.850801761743979
"Gm15614",1.16275819248929,5.93685634844848,6.68835708838188,0.0190667963238122,0.850801761743979
"Cxcl1",1.18327482189818,8.25874706726529,6.67477576191335,0.0197399338753687,0.850801761743979
"Cggbp1",-1.23001477535593,5.70565163943474,6.50527820185833,0.0198667717194175,0.850801761743979
"Plscr1",0.911997935579912,6.19969708446554,6.45568856919662,0.0202775923472453,0.850801761743979
"Irf7",-0.981125764636357,6.87740408577871,6.45308294165107,0.0202994427191336,0.850801761743979
"Igf1",2.35751538758216,5.00557737566106,6.42299294683742,0.0205537122322471,0.850801761743979
"Ppp1r16b",0.932124455886626,6.19710924558682,6.39746778428913,0.0207722352222103,0.850801761743979
"Stx11",1.50784012935246,5.50105316120279,6.44389765601815,0.0208425916987116,0.850801761743979
"Mtln",-1.63867674711323,5.50893822877017,6.4305722726159,0.0211589273087432,0.850801761743979
"Ankrd23",-0.837513112674449,6.79990031679611,6.3376542505524,0.0212946804838115,0.850801761743979
"Snrpf",-1.2534648021569,5.86312718222013,6.40168352478963,0.0214616219051038,0.850801761743979
"Elf2",0.805677872259679,7.72471054793355,6.27306993489857,0.0218755684593919,0.850801761743979
"Pptc7",-0.874198586520403,6.31983398970216,6.27039442589918,0.0219000168816309,0.850801761743979
"Ss18l2",-1.22886228261153,6.27510231689539,6.40775366119208,0.0219545895242869,0.850801761743979
"Rabgef1",0.911148804332427,6.21485438223913,6.26401769612934,0.0219584113941743,0.850801761743979
"Baz1a",1.09279181228858,6.58453995286109,6.34181442362538,0.0220086623881065,0.850801761743979
"Slirp",-1.4010498707189,5.98357649133286,6.38957349030507,0.0221154277426179,0.850801761743979
"Shank3",0.84951032442559,8.16062740073376,6.24198917575437,0.0221614972083048,0.850801761743979
"Irs2",0.989055112811748,5.87637572533484,6.21445856952654,0.0224183053385965,0.850801761743979
"Noct",0.961002374032712,7.3560630853817,6.26372646903749,0.022652152324751,0.850801761743979
"Ptbp1",0.961086002009223,6.04641346858627,6.12162692961068,0.0233094281852037,0.850801761743979
"Ppp1r15a",0.817699576132615,7.65322897218106,6.10949054032997,0.0234288693600292,0.850801761743979
"Hipk1",0.861988470315064,6.76434309264633,6.09197771669399,0.0236024478856184,0.850801761743979
"Pf4",1.34540225538922,5.93370177809228,6.20624872032458,0.0238149720776315,0.850801761743979
"4932438A13Rik",0.842742595219051,7.60297357783823,6.06195472068725,0.0239034238512701,0.850801761743979
"Nol10",1.07827600973957,6.22632253706317,6.06973879550521,0.0245414890496258,0.850801761743979
"Acbd6",-1.03999472444205,5.7106133283798,5.97617801672102,0.0247875832848896,0.850801761743979
"Tead4",1.67279223101951,5.21919978117567,5.95991457587079,0.0249593730551292,0.850801761743979
"Xylt1",1.14753516281968,6.0794383416738,6.06546362857003,0.0252220920216831,0.850801761743979
"Hbegf",0.836977332733214,6.5428706825018,5.90383229641537,0.0255622113889845,0.850801761743979
"Oasl1",1.10560222131619,5.85199584649414,5.92206673357717,0.0258781375571593,0.850801761743979
"Tnxb",-0.943516582142097,6.15825593091245,5.84440615906522,0.0262190938906484,0.850801761743979
"Tuba1b",-0.847839199215202,6.57664360502446,5.83626279859835,0.0263105927013118,0.850801761743979
"Ccdc88c",1.33298867954748,5.39910209970446,5.82940313898684,0.0263879492141118,0.850801761743979
"Cavin4",-1.18793542987545,5.62476066356604,5.82064959059341,0.02648703843112,0.850801761743979
"Sdf4",-1.02217156105072,6.16798047096339,5.77639364070479,0.0269945241377195,0.850801761743979
"Bcl3",0.894922609042238,6.02328443309381,5.77553575574861,0.0270044700760109,0.850801761743979
"Katna1",0.915993956827834,5.95156586203779,5.7674192455311,0.0270987755481444,0.850801761743979
"Arhgap28",1.00466366852537,5.99279538631279,5.76216354176286,0.0271600409215173,0.850801761743979
"Tank",1.02431552042176,6.0768368435132,5.77449443240577,0.027609949987094,0.850801761743979
"Atp8b1",0.839362298609053,6.63834807038998,5.69921511999567,0.0279061879895282,0.850801761743979
"Mrpl21",-1.22724696797671,5.72314847327612,5.70345056725795,0.0284562625480318,0.850801761743979
"Ndufaf8",-1.26312922410102,6.44372156474188,5.77188649532835,0.0284745125489947,0.850801761743979
"Adam9",1.20170998216129,6.06582128081027,5.73026725663963,0.0289735036367702,0.850801761743979
"Agps",0.931941511389424,6.52116622198116,5.60713449763058,0.0290399927589376,0.850801761743979
"Uimc1",1.03076226550133,6.10055971808062,5.64233361879146,0.0293746316276854,0.850801761743979
"Atp13a3",0.845409837935231,6.64344687351978,5.55611807750407,0.0296906665974867,0.850801761743979
"Ephx2",-0.858414230991541,6.26199857638897,5.55474796606751,0.0297083685096638,0.850801761743979
"Fam168b",-0.978440847362542,5.73194363401268,5.55342924867607,0.029725417746686,0.850801761743979
"Fbxo9",-1.04260708085836,5.79830694726601,5.55103469130161,0.0297564046038805,0.850801761743979
"Ptgds",-1.22263881907456,5.57906647675926,5.5427770270524,0.0298635453926061,0.850801761743979
"Psmb5",-0.839752487667771,6.87688527123155,5.53132667582768,0.0300128372982109,0.850801761743979
"Tmem38a",-1.03494672263312,6.02066966823317,5.58332688384295,0.0301238110063597,0.850801761743979
"Map3k3",0.819055324759907,6.96213692188587,5.4898531905121,0.030560729002478,0.850801761743979
"Pros1",0.80169177999585,6.83642070320333,5.48489714448493,0.0306269596063079,0.850801761743979
"Abi1",0.866940116337783,7.94371459473661,5.4989570425012,0.030835788104027,0.850801761743979
"Pqlc1",0.980551231236905,6.00125907961282,5.46711329898776,0.0308659641084301,0.850801761743979
"Man1a",0.767329110498214,8.02592261129925,5.46273853615403,0.0309250832331775,0.850801761743979
"Csf1",0.862961301132438,6.51459487382057,5.45080799077535,0.0310869648764573,0.850801761743979
"Flvcr1",1.12687025249596,5.54385972549659,5.39487786880339,0.0318588401169933,0.850801761743979
"Dynll1",-0.767771512266712,8.05468469892626,5.38750307508177,0.0319622367044139,0.850801761743979
"Gcnt2",0.819080231789516,6.70319083981736,5.37858958734598,0.0320877166660171,0.850801761743979
"Sema4c",0.974924692690083,5.82944332454378,5.37768631622384,0.0321004637783514,0.850801761743979
"Rras",-0.905773287935916,6.30827620823121,5.37514501617019,0.0321363579784308,0.850801761743979
"Ccdc85a",0.853676726323663,8.08649499393896,5.37072958734916,0.0321988317909292,0.850801761743979
"Phf8",0.8601872964971,5.90342152840593,5.36832223123777,0.0322329516883238,0.850801761743979
"Ddah2",-0.992003466438027,5.82818800171431,5.35101879860579,0.0324794118344133,0.850801761743979
"Naa38",-1.21727068906121,5.56660067121364,5.30716687972979,0.0331136868540287,0.850801761743979
"Prelp",-1.35875669447441,5.50943840863021,5.30356647797534,0.033166387050068,0.850801761743979
"Trim25",0.748208049018638,7.96044652210239,5.28029041093086,0.0335094016174839,0.850801761743979
"Hipk2",-0.857609149718626,6.11967138269027,5.27643214519352,0.0335666498751428,0.850801761743979
"Malt1",0.850798002683651,6.24578611140152,5.27446484853854,0.0335958831805731,0.850801761743979
"S100a10",-0.812750727679843,7.66166641862215,5.27034515587387,0.0336571943666722,0.850801761743979
"Abca8a",-0.849922811505316,6.67581853755428,5.24322104794761,0.0340640672837197,0.850801761743979
"Ccl2",1.40086070492854,5.39611414408476,5.21373308499786,0.0345127751216047,0.850801761743979
"D830032E09Rik",-0.917375025790477,6.28223603432533,5.18900292493358,0.0348942870622607,0.850801761743979
"Got1",-0.837622457442478,7.27411866049427,5.17625160263862,0.03509287985812,0.850801761743979
