"","logFC","logCPM","F","PValue","FDR"
"Nbl1",-2.50096723080646,6.51217514989722,67.0290101447337,4.08984188738909e-07,0.00230912472961988
"Prnp",-1.86000909369156,7.2145667653516,41.7911725920669,7.79409838190911e-06,0.0130829865037938
"Ifi27l2a",-1.75102206165209,10.0645243117803,41.9785615895699,8.65053535190169e-06,0.0130829865037938
"Ppp1r14b",-1.91771631353042,6.46642076930077,40.5782065203272,9.26885335019042e-06,0.0130829865037938
"Noct",1.79591795148356,6.32998326093558,35.1194779565486,2.12637870394651e-05,0.0229537328433273
"Tppp3",-1.71227894742571,7.82793970705851,34.9063872176285,2.43929148175636e-05,0.0229537328433273
"Phlda3",-1.69026557910569,6.78885853364983,32.0963414682851,3.50655662876511e-05,0.0282828838942969
"Yes1",1.21749098281816,8.59068407942648,31.2779785047859,4.03761689283643e-05,0.0284954812211931
"Crip1",-1.75870428654454,11.2577588580064,32.454768001866,6.97456788601959e-05,0.0414308485831456
"Hsp90aa1",1.26165511518531,10.6914137364406,27.3612270271601,8.22966642027907e-05,0.0414308485831456
"Fnip2",1.50960728507359,6.15030938961978,25.4284974706199,0.000119926395803315,0.0414308485831456
"Pdlim4",-1.21647047534977,6.84404006803831,25.1073013894006,0.00012789846241703,0.0414308485831456
"Crip2",-0.966841138201816,9.2777249737128,24.9456621679792,0.000132135062455025,0.0414308485831456
"Nfkb1",0.924065378069972,8.44287986315914,24.7347878450103,0.000137901897579456,0.0414308485831456
"Samd4",1.03481222050135,7.73523419468269,24.6926081819748,0.000139089136851918,0.0414308485831456
"Swap70",1.20434584436954,6.86478946076205,24.0176842579577,0.000159743608402924,0.0414308485831456
"Man1a",1.03750117246299,8.70945300887587,23.4990568356154,0.000177975076907813,0.0414308485831456
"S100a6",-1.12276080679119,9.73002664745396,23.2995758583127,0.000185603200244337,0.0414308485831456
"Phlda1",1.19261258120354,6.72110010135149,23.2549999186295,0.000187357739983708,0.0414308485831456
"Hmox1",1.47802269321294,6.29295868623819,23.0216123407978,0.000196854813869479,0.0414308485831456
"Atpif1",-1.33758743173566,7.86865851741014,23.344969688572,0.000196935395300538,0.0414308485831456
"Dkk2",-1.89802995314139,6.0165738587839,22.9810121860115,0.000198561743053982,0.0414308485831456
"Magi3",1.05684886727085,8.47636004941464,22.8213925138348,0.000205436211050035,0.0414308485831456
"Hspb1",1.11040239705004,11.1400467332918,22.7471593714815,0.000208724378019001,0.0414308485831456
"Raph1",1.0570639482749,7.51712186594438,22.6082365104336,0.000215038670488986,0.0414308485831456
"Clu",-1.01695288786396,8.50726311290549,22.449821147595,0.000222503221785865,0.0414308485831456
"1810013L24Rik",1.12574998432127,7.31818162834099,22.3583567668482,0.00022694584103085,0.0414308485831456
"Bmpr2",0.89774628203885,8.80243945645566,22.2903045955408,0.000230316194326129,0.0414308485831456
"Hspa1a",1.59235647617588,10.0815220799581,25.945008373779,0.000232122575775087,0.0414308485831456
"Tead1",0.963556099882417,7.79836284413052,22.2314277232502,0.00023327771366133,0.0414308485831456
"Fxyd5",-0.96114466485408,8.58052846484551,22.1925431975624,0.000235257151628146,0.0414308485831456
"Akap12",1.12679137319876,8.56072067353825,21.9964313613346,0.000246936421962633,0.0414308485831456
"Romo1",-1.21955896209396,7.15469795495778,21.7101025819894,0.00026145888396587,0.0414308485831456
"Swt1",1.45212868872547,6.96753581321872,21.9775832233316,0.000264211834198697,0.0414308485831456
"Rufy3",1.35347729980416,6.16233127728618,21.625925017111,0.000266359983854193,0.0414308485831456
"Inhba",-1.53186273479141,6.87534784360591,21.8314855484054,0.00026841601138334,0.0414308485831456
"Jak2",1.07068459706553,7.42038667588625,21.5393456883613,0.000271509280477575,0.0414308485831456
"Mast4",1.0529442815961,8.24380298212972,20.5919734330974,0.000335839104735198,0.0496429163958184
"Ahcyl2",1.12915777292399,6.85670297928405,20.500510937023,0.000342910687112455,0.0496429163958184
"Nup98",0.957309715886897,7.59394075928548,19.7081175649757,0.000411729003615843,0.0557379615519337
"Hexb",-0.944658248609676,7.53589883239863,19.7003316579139,0.000412478421743706,0.0557379615519337
"Tiparp",0.932896463489721,8.20925319205025,19.6780787590255,0.000414628831948497,0.0557379615519337
"Cdc42ep5",-1.28932536444405,6.51786128059783,19.2405654894328,0.000459586903651155,0.0592219534053361
"Ecm1",-0.959535967005817,7.35941226285319,19.1293501534789,0.000471875168179289,0.0592219534053361
"Eapp",-1.5129994776231,5.98935086621365,18.848963745318,0.000504534877880101,0.0592219534053361
"Dnaja1",1.02368603245878,9.9083599015505,18.7484774710367,0.000516854626192661,0.0592219534053361
"Ankrd28",1.14334289272547,6.96660040336029,18.7449613822555,0.000517291809119199,0.0592219534053361
"Arpp19",-1.14588802267254,6.99857454090902,18.6668396923038,0.000527113754083849,0.0592219534053361
"Rps27l",-0.93496398098279,8.03279601835381,18.544929928748,0.000542864370689377,0.0592219534053361
"Gm2000",-2.22970217304985,5.5792709699202,18.6820066367233,0.000549101123970359,0.0592219534053361
"Fam107b",1.13217232454194,6.33868854100941,18.4729652162171,0.00055241112643857,0.0592219534053361
"Ccdc141",-1.13721759942181,7.2820126044383,18.4211525813493,0.000559401867187753,0.0592219534053361
"Zswim6",0.818839145846204,9.48705361603935,18.3500638624781,0.000569156457287466,0.0592219534053361
"Kdm6b",0.971657137250883,8.64033780872592,18.2636802491151,0.000581269121169444,0.0592219534053361
"Psmd3",-1.48648100109187,5.70879657429186,18.1536541586192,0.000597120377583918,0.0592219534053361
"Atp5e",-1.06893475387379,8.57525253879042,18.2307578613755,0.000612409513615534,0.0592219534053361
"Cd59a",-1.02687838966031,6.99422199303062,18.0307301458895,0.000615409637596735,0.0592219534053361
"Rell1",1.02104424732892,7.34639960406408,17.9696393209921,0.000624733655201564,0.0592219534053361
"Dgkh",1.2325333157265,6.96691861128553,17.9420933765769,0.000628989946845494,0.0592219534053361
"Tubb6",1.24399297508152,5.9615691935581,17.9282712729785,0.000631138010144266,0.0592219534053361
"Cd274",1.81201229277852,5.63459201204778,18.0463249654222,0.000640397123752884,0.0592219534053361
"Gclc",1.023590058528,7.37689372869563,17.7816807139981,0.000654436232911975,0.0592219534053361
"Pglyrp1",-1.69288946195769,5.51842865751949,17.7425482187771,0.000660818821207257,0.0592219534053361
"Gngt2",-1.03174653639028,7.81005817471194,17.662909715237,0.000674026225516204,0.0594617510822576
"Ifrd1",0.801116219468949,9.62783669458268,17.0193586217302,0.000792398625482766,0.0688289636842415
"Dtx1",-1.26978870577681,6.19479910040241,16.7984001519357,0.000838323661928812,0.0710512763452548
"Casp4",0.788942317353804,8.39465344213212,16.7759674660663,0.000843151880115493,0.0710512763452548
"Txnrd1",0.888730585170371,7.38760277934507,16.6530728503082,0.000870166393059772,0.0722494037531687
"H2afj",-1.34441458682279,6.39736712875318,16.5335980540727,0.000897369727918819,0.0723216764942472
"Edf1",-0.889449512745837,7.69374199997362,16.4917908077761,0.000907114696040146,0.0723216764942472
