"","logFC","logCPM","F","PValue","FDR"
"Dbp",2.06455345848639,3.74048983820725,136.29534300965,2.75824299294552e-06,0.0354846955093255
"Ahcyl2",1.06566111571398,6.04722056937028,115.422184212817,5.15765923100662e-06,0.0354846955093255
"Gm41496",1.95101280462525,2.66887750486538,96.0329153372187,1.02360489882191e-05,0.0469493446926317
"March3",1.28104940047035,7.6496847222644,83.520581827287,1.71251070701751e-05,0.0494014458073193
"Gm10638",-1.81047307878065,2.925613254876,79.6071608427308,2.04136901565046e-05,0.0494014458073193
"Nr1d2",0.96674752449893,5.94865091571281,75.7518526415884,2.44637823858173e-05,0.0494014458073193
"Tef",1.15076972095993,4.26184821332385,75.1930501574808,2.51315494659328e-05,0.0494014458073193
"Slc5a3",1.11906520118878,6.11556639629682,69.587436376079,3.32772577945926e-05,0.0572368834066993
"Eid2",-1.39146323146498,3.04836438229053,65.4903087865853,4.14045011264706e-05,0.0633028817222483
"Gm15614",1.28152167777801,5.62238470366523,61.0901797339287,5.31047450508114e-05,0.0640540708020354
"Hist1h1b",-2.02054503427921,3.34134686575135,59.4430796677718,5.85328858325472e-05,0.0640540708020354
"Ppard",0.851987465337552,5.98025061693534,59.4056690588097,5.86640528458887e-05,0.0640540708020354
"Gm42701",1.59718270991786,2.68142876341854,58.8487178315261,6.06610257033283e-05,0.0640540708020354
"Cnksr3",0.98046255833387,6.01026433486945,56.4236785225832,7.04167988954095e-05,0.0640540708020354
"Slc4a7",1.02732407694218,6.49844931071882,55.7054431429338,7.36774377880487e-05,0.0640540708020354
"Tiparp",0.96191192709083,7.4406574252301,54.7788136133977,7.81685277055348e-05,0.0640540708020354
"Gm15283",1.52495480060933,4.05865204862031,54.5877940650397,7.91365700315844e-05,0.0640540708020354
"Swap70",0.833825528397053,7.44641614711541,50.5945413190571,0.000103297079679196,0.0749805325676888
"Mrps6",1.00211950799223,6.84339527754393,50.5613299413893,0.000103534165609454,0.0749805325676888
"Btaf1",0.895924589923686,6.53735446342195,49.6063125563101,0.000110652900753193,0.0752166069067072
"Smim19",-0.747711102407322,4.85705488572422,48.7952439261739,0.000117185657366739,0.0752166069067072
"Gm15587",1.57480185390665,2.98668086590454,47.8864195021126,0.000125090078570005,0.0752166069067072
"Spats2",1.06215371095323,6.85280535454121,46.781259246215,0.000135623604548993,0.0752166069067072
