"","logFC","logCPM","F","PValue","FDR"
"Gm42702",1.52840368490313,3.5578494804851,47.0287192267113,0.000192878050484115,0.280890309279436
"Basp1",-1.18308093791752,5.43934445438376,46.9457835161468,0.000193980369662714,0.280890309279436
"Noct",1.8930665404021,5.89886683453746,44.939296010389,0.000228198338281748,0.280890309279436
"Ahcyl2",1.1096682523615,6.02987047059661,42.3027589394454,0.000270916823340772,0.280890309279436
"Btbd9",0.986424491626537,7.17814264889027,41.0327739610952,0.000298493280113598,0.280890309279436
"A930037H05Rik",1.71945443726278,5.45621398882199,40.3463323129717,0.000321372895512858,0.280890309279436
"Gbe1",0.861843894262981,5.59554426261001,39.8427154318978,0.000327657844333238,0.280890309279436
"Baz1a",1.38468739842792,5.98072699160215,39.120512434037,0.000347137742067768,0.280890309279436
"Gm26632",1.31582446961776,4.01233829064082,38.0637085204641,0.00037838239419552,0.280890309279436
"Eid2",-1.4698157962298,2.90634417305526,37.5251709730678,0.000395684056322193,0.280890309279436
"Atp6v1h",0.921782986513058,5.91998210221485,37.1470459356744,0.000408437234763943,0.280890309279436
"Cdk2ap1",-1.32816955345594,4.25462061425129,36.9629097502376,0.000414837176059938,0.280890309279436
"Tbxas1",1.86597527948033,2.17886953079177,36.0718445686963,0.000447676730181709,0.280890309279436
"Rnf125",1.23142570654855,4.99048063427851,35.5347518849548,0.000469078300805578,0.280890309279436
"Runx1",0.944729866609334,6.09909102870857,34.9695068065233,0.000493028752222686,0.280890309279436
"Npas2",-1.37662686078808,6.03129358439578,34.9168168824403,0.000498330117143237,0.280890309279436
"Meox1",-1.39038439626818,6.34703000070299,34.6980781289164,0.000508119107653784,0.280890309279436
"Dbp",2.22429829358708,4.38541379941974,35.0966733006751,0.00051110771158743,0.280890309279436
"Tef",0.97536752179766,4.26993256875721,33.4712563924814,0.000564497438900402,0.280890309279436
"Jak2",1.73545985778892,7.62343028281901,33.4523847354928,0.000570730036891085,0.280890309279436
"Smap1",-0.913632621339177,6.59574167252447,33.2064534892217,0.000578472114472683,0.280890309279436
"Gm20186",1.81726198168989,2.56697546018885,32.654807674261,0.000609028765117304,0.280890309279436
"Fnip2",1.04479520743338,5.69348466078797,32.2908500622311,0.000630320120558164,0.280890309279436
"Gm15886",1.82668032362341,2.41923840142573,31.9992734587103,0.000648065064433124,0.280890309279436
"Taf4b",1.01452128389652,6.49221384695414,31.0691680356494,0.00070909398759196,0.280890309279436
"Gm16175",1.58556832469964,2.04401552652602,30.9678636380351,0.000716175544098028,0.280890309279436
"a",0.943520244299066,4.47088429797016,30.6149413348766,0.000741560510804121,0.280890309279436
"Map3k5",1.12748983069343,6.77835684326372,30.0095255124498,0.000787837087418776,0.280890309279436
"Gm42699",2.12885205426968,1.86390978174583,28.8284658786785,0.00088922252453587,0.280890309279436
"Gm15283",1.56420617614692,3.93927119942024,28.2656035223457,0.000948292219464469,0.280890309279436
"Nr1d2",0.959419532982484,5.98586482183633,27.5913306079653,0.00101394236307654,0.280890309279436
"Smim19",-0.888363496290541,4.93548948689772,27.546689635234,0.00101884687958118,0.280890309279436
"Hif1a",0.77367326841452,6.48098991762564,27.1498435774631,0.00106380326727127,0.280890309279436
"Btg4",1.99944276817381,0.806638530157357,26.7572410885261,0.00111079469764789,0.280890309279436
"Dusp23",-0.89056294506345,3.8603517438113,26.2860105136668,0.00117074720798634,0.280890309279436
"Acer3",0.915022796532403,5.97765485633577,26.199240251161,0.00118223242016216,0.280890309279436
"Dennd4a",1.00301582329755,7.61452713918884,26.1699452302686,0.00118614239396859,0.280890309279436
"Maml3",0.891468730044247,6.21302645520174,25.978800025166,0.00121206289567139,0.280890309279436
"Trmt61b",1.14231640525352,4.05867753614166,25.8241340769633,0.00123356669928562,0.280890309279436
"Rtl1",1.33708027801175,3.326057217693,25.4644804164544,0.00128548193769132,0.280890309279436
"Gm13684",1.82330626009581,2.57578412540424,25.4488411289888,0.00128780200305031,0.280890309279436
"Stat5a",1.03536467692936,4.26466229996172,24.7560404563353,0.00139615616557423,0.280890309279436
"Ube2m",-1.0743468810671,6.19214944711314,24.3958292401614,0.00145709300894258,0.280890309279436
"Myo1d",1.04985702575858,7.43136694192685,24.3799149814615,0.00145986263819066,0.280890309279436
"Nts",2.87775247362228,4.1921637902506,24.9840701117167,0.00147258484851077,0.280890309279436
"Zfp516",0.940525088816788,5.1013644574195,24.2431441474809,0.0014839441916599,0.280890309279436
"Dyrk1a",0.986913117327537,6.82542688414624,24.0747248005623,0.00151429797924744,0.280890309279436
"March3",0.957777277038863,8.09228965971024,23.6794083264876,0.00158871470243672,0.280890309279436
"Procr",1.26153287467882,4.07800516101867,23.6764864985974,0.0015892818711278,0.280890309279436
