"","logFC","logCPM","F","PValue","FDR"
"Hbegf",1.65244961919814,6.90405704497483,12.9669281612576,0.001371752494427,0.987081424549546
"Man1a",1.43659681164969,7.73700723675877,12.2168929242608,0.00178930170540513,0.987081424549546
"Apold1",1.46504842507314,7.42237767485678,11.8402011863662,0.00204965111181548,0.987081424549546
"Hspa1b",1.30610487387288,9.26009855382587,11.5166937677264,0.00230632150375207,0.987081424549546
"Bicc1",1.62296492286705,7.21600428642799,11.1420985946307,0.00264808655495691,0.987081424549546
"Cebpb",-1.05534845083333,10.1154022064614,10.9787837492503,0.00281403975069244,0.987081424549546
"Tm4sf1",1.08763697540442,8.97527594920008,10.5869151885231,0.00326036566365932,0.987081424549546
"Ifi27l2a",-1.10782269286489,10.7280435780146,10.3257487358081,0.00360043293630322,0.987081424549546
"Pde7b",-1.24239541381918,7.57300208291855,9.8636034178386,0.00430098706853617,0.987081424549546
"Slc22a15",-1.28901536459683,6.98784532585002,9.69411303878141,0.00459413704457536,0.987081424549546
"Mctp2",-1.33181841988381,6.89031252220553,9.67454170259299,0.00462936885404479,0.987081424549546
"Lims2",-1.29607727597121,7.39754734637297,9.49813292156653,0.00496059257847537,0.987081424549546
"Tsc22d2",1.22817106392966,7.7418922640717,9.38306533852763,0.00519055073654848,0.987081424549546
"Il1rap",-1.03931118355857,8.4051930990628,9.09560875763045,0.00581757414787125,0.987081424549546
"Mylip",1.25632188518787,7.2528931518576,8.89810871864944,0.00629621119789089,0.987081424549546
"Hsph1",1.10935864886223,8.75532428373205,8.8748115960265,0.00635545384015804,0.987081424549546
"Cotl1",-1.13420241434854,8.08533037752814,8.69290484446122,0.00683956253930842,0.998731517859343
"Ier5l",1.68840878448195,6.64459554122732,8.37183018424716,0.00779556252603536,0.998731517859343
"Rnf217",3.20642917703913,6.04795487893748,8.10674073516787,0.00869559810492605,0.998731517859343
"Stk17b",-0.944304462483853,8.69479500762903,7.98792471015626,0.00913546745442866,0.998731517859343
"Plcl1",1.63424997364149,6.68129551474722,7.90185462222356,0.00946933869672819,0.998731517859343
"Pdlim1",1.19250411240641,7.55385464142623,7.86772312235359,0.00960542395522688,0.998731517859343
"Mbnl1",0.950740772113331,8.5411180595644,7.64508786489036,0.0105475235010044,0.998731517859343
"Ccl3",1.39699951598707,6.95008693200521,7.57563193862131,0.0108618437593148,0.998731517859343
"Lst1",-1.0628746822306,8.82950656633601,7.68686989097769,0.011566845092959,0.998731517859343
"Gclc",1.2851097686699,6.79810318149365,7.42303864175666,0.0115891523141172,0.998731517859343
"Hsp90aa1",0.878534173328347,10.5638116267419,7.27943122857119,0.0123227548319796,0.998731517859343
"Nfkb1",0.916513380895272,9.28885224493814,7.26100664279201,0.0124205126681926,0.998731517859343
"Gadd45a",1.15459079787828,6.97564151358925,7.22365492209724,0.0126213218809597,0.998731517859343
"Fstl1",-1.10001282505409,7.35233160327525,7.1982182780172,0.0127601160877552,0.998731517859343
"Ccnd3",-1.10776724396237,7.10462149801448,7.11096495365251,0.0132491173601092,0.998731517859343
"Dnaja1",0.894714034484683,10.1271100084555,7.10216331229382,0.0132995785427049,0.998731517859343
"Saraf",1.19274459166733,6.95744405837814,7.06070364280172,0.013540134383844,0.998731517859343
"Meg3",1.27115806617652,7.19880239171476,7.00731887901587,0.0138569605917807,0.998731517859343
"Slfn1",-1.03807492015358,7.93223389337586,6.81066329243622,0.015096442073469,0.998731517859343
"Hspa1a",0.918621738493886,10.4705997227449,6.79301569551812,0.0152135060944022,0.998731517859343
"Nsa2",-1.42362015787449,6.56787097449817,6.7482881112535,0.0155147076205969,0.998731517859343
"Samd4",1.03363619363711,7.8718388064095,6.62102099261282,0.016408299905648,0.998731517859343
"Nrip1",1.87682093502626,6.38221927877701,6.61161021769767,0.0164765953280827,0.998731517859343
"Plcb4",-0.857049120862223,8.34266887971463,6.61094620769063,0.0164814259738813,0.998731517859343
"Arl15",0.843703386828399,8.55364742570996,6.55095995241688,0.0169243355450952,0.998731517859343
"Hspb1",0.879756966170787,10.7613147451303,6.49632398036555,0.0173391853856869,0.998731517859343
"Tgif1",1.22535927613249,6.8770827271519,6.18970138942311,0.0198859734928706,0.998731517859343
"Rbm47",1.06630856235456,7.09817443472625,6.13876739808795,0.0203477664973931,0.998731517859343
"Ppt1",-1.00113449990815,7.62652689879883,6.10870401588456,0.0206258917228283,0.998731517859343
"Cytip",-0.897715318676249,7.90660434129953,6.09604731221682,0.0207442376489343,0.998731517859343
"Acsl1",-1.11934298302439,7.53402167383784,6.07813425978969,0.0209130181571715,0.998731517859343
"Gla",0.988022718603125,7.54449552033669,6.05264621843134,0.02115579535441,0.998731517859343
"Ifitm1",0.850192350566997,8.50642684453918,5.96693835709157,0.0219953263471579,0.998731517859343
"Ddx60",-1.00624727432023,7.40834206663603,5.86155479071685,0.0230785225997617,0.998731517859343
"Lars2",-0.963448417248493,10.1671398529421,6.03395582296192,0.0232837299043444,0.998731517859343
"Tagln",1.5521498814845,6.61967642043778,5.8378453115016,0.0233302804032694,0.998731517859343
"Hmox1",1.13322280669766,6.92671680156155,5.78215458411208,0.0239336790474008,0.998731517859343
"Trim25",0.802196989712909,8.16921931363657,5.62226938975997,0.0257642911633455,0.998731517859343
"Snrk",-0.922138920510717,7.5557965960653,5.60708311947011,0.0259460861460906,0.998731517859343
"Tsc22d4",-1.14604711266393,6.83973996619889,5.60258700007652,0.0260001819027744,0.998731517859343
"Cd200",-0.981289750916887,7.07093226460725,5.53953145112604,0.0267721782377304,0.998731517859343
"Usp9x",0.95546817385284,7.51501820309462,5.51850544246697,0.0270352307823508,0.998731517859343
"Hspa8",0.787412404427463,10.5429691761322,5.50681091147181,0.0271827797090145,0.998731517859343
"Slc3a2",0.877218409134406,7.93680902789991,5.49177196224962,0.0273738405499259,0.998731517859343
"Sap18",1.53026740866903,6.63127608773075,5.55857764800799,0.0279515712942661,0.998731517859343
"Scand1",-0.999908126466991,7.58303714726,5.40364517180382,0.0285238575715294,0.998731517859343
"Sgcd",1.42485140320754,7.19636812375805,5.83630310787746,0.0293406145084643,0.998731517859343
"Anxa11",-0.748072268013127,8.41135173126729,5.32210864451055,0.0296358444433433,0.998731517859343
"Pqlc1",1.49874923356454,6.45549412141124,5.30242734755105,0.0299114209278589,0.998731517859343
"Slc38a1",1.13382431145696,6.86467968135363,5.26264145442339,0.0304772466125828,0.998731517859343
"Atxn7l1",0.981695194659205,7.14580910161219,5.23342384103915,0.0309003553452524,0.998731517859343
"Cxcl10",1.36330424189391,6.89892144485393,5.50749276061405,0.0313933509077883,0.998731517859343
"Plxnd1",-0.947895825188376,7.10124551874396,5.1426806836278,0.0322566780289783,0.998731517859343
"Ripor2",-0.730075833529604,8.78148535830921,5.12204354193861,0.0325743077997224,0.998731517859343
"Cdk8",-2.03292749625089,10.5495566951641,7.53406575312631,0.0331282341436165,0.998731517859343
"Plxdc2",1.17624848241697,7.35299351849454,5.2287816634103,0.0332369543623795,0.998731517859343
