"","logFC","logCPM","F","PValue","FDR"
"Procr",2.24143944521094,3.33704618393989,47.0987865903059,0.000118292297953543,0.580124361910269
"Tmtc2",1.46220511218716,7.62136119900358,39.9158157841761,0.000210838195693814,0.580124361910269
"Chst11",1.22929939735357,6.26515246384534,29.2226272449904,0.000601912376591826,0.580124361910269
"Lsmem1",1.43136594748094,4.99616741569339,28.3616967907219,0.00066358226945379,0.580124361910269
"Tjp2",1.08320969242971,5.78306356057259,28.0327739252827,0.000689210890900833,0.580124361910269
"Il6",1.20775634763592,5.80875071607034,27.9160546743156,0.000698601083097335,0.580124361910269
"A930037H05Rik",1.26095525772223,4.87830549350082,27.7145994957232,0.000715186726312387,0.580124361910269
"Mrnip",1.15923675479485,4.70435200983128,25.1295736385048,0.000978815221620382,0.580124361910269
"Fmnl2",1.10307660470933,6.87980745944338,24.8222936543663,0.00101771382651216,0.580124361910269
"Slfn1",-1.61238355162434,5.32146892153147,23.2247923173928,0.00125412982453617,0.580124361910269
"Cebpb",-1.65210261428052,9.63653919383934,22.9875085403038,0.00129486872756788,0.580124361910269
"Flnb",1.32211274507239,6.89228800154536,22.8529820094654,0.001318699344421,0.580124361910269
"Bcar3",1.25118278630323,5.21196660050865,22.6643168822355,0.00135304953717179,0.580124361910269
"A030001D20Rik",1.95582997920669,2.81509494226938,20.5595561851446,0.00182379240852892,0.580124361910269
"Igkc",-1.36141973379526,6.25433348188984,19.9097382208944,0.00200920503341214,0.580124361910269
"Pxdc1",1.32902152887142,5.4410481035363,19.8243678592385,0.00203528028437856,0.580124361910269
"Ppp1r14b",-1.05358723838483,5.84251220617658,19.307106887021,0.00220263706988373,0.580124361910269
"Ly6c2",-1.80199573547195,8.16749496906882,19.2796831282151,0.00225575414912363,0.580124361910269
"Inhba",1.46195411999728,2.95190309700143,18.911897312964,0.00234220505655069,0.580124361910269
"Sell",-1.58865972914908,5.54874737630465,19.1103206377977,0.00236711634324633,0.580124361910269
"Rap2a",-0.858633883055525,5.62362152211299,18.5426355823528,0.00248272239206689,0.580124361910269
"Kcnn4",1.09437415709998,5.15331321802615,18.2971552950177,0.00258198833180859,0.580124361910269
"Tob1",0.896038039339896,6.14550990451505,17.9615936970847,0.00272583643188493,0.580124361910269
"Il1r1",1.93858864619579,5.75086574175874,18.8809594850999,0.00277313320473678,0.580124361910269
"Rps27rt",-1.22501607645871,5.17880500969866,17.7276462786406,0.00283207653018943,0.580124361910269
"Parvb",0.757494487128119,5.82360008770797,17.6700674230753,0.00285901311185753,0.580124361910269
"Lnx2",1.11885513664601,4.65407243716747,17.5821100207267,0.00290078198964959,0.580124361910269
"Pdpn",1.15947411627958,4.26548707293782,16.857814249787,0.00327541922490276,0.580124361910269
"Nol10",1.11889332078858,5.08891410893313,16.3684197065589,0.00356315718251732,0.580124361910269
"Rps6ka1",-0.855938107611225,4.87649893277758,16.2327757521368,0.0036484436343589,0.580124361910269
"Ogfr",-0.898720160625299,5.60837354138682,16.208109976457,0.00366422526064498,0.580124361910269
"Srek1ip1",-1.07999301560354,4.23683811661487,16.1947572045536,0.00367280419333515,0.580124361910269
"Negr1",1.65094986788274,4.77549660185423,16.3867941215417,0.0036909561772778,0.580124361910269
"Cdk2ap1",-1.36327554576475,4.00422918679578,15.8539674332939,0.00390050267620373,0.580124361910269
"Ddx20",1.65782465110742,2.47890239889507,15.7793600592843,0.00395268446081333,0.580124361910269
"Aldh9a1",-0.7957383581609,5.17724877172487,15.7136571219768,0.00399936237803878,0.580124361910269
"Tppp3",-1.19796385204954,6.97891364038282,15.6230856078329,0.00406484277339718,0.580124361910269
"Taf4b",1.01357037493938,6.23389026887439,15.565914994547,0.00410686568708715,0.580124361910269
"Sertad2",0.865705484532669,7.12914991102952,15.5147880177146,0.00414490695801222,0.580124361910269
"Ube2m",-0.906863381540766,5.71440387376897,15.2952812341265,0.00431332407368713,0.580124361910269
"Rasd1",1.98453093431039,3.02188785826519,15.1928108546551,0.0043948703839697,0.580124361910269
"Hist1h1e",-1.09686430550018,5.19182807098028,15.0409811179147,0.00451927212068802,0.580124361910269
"Thoc7",-0.755021704389263,5.67500836315979,14.9587564001895,0.00458848093930233,0.580124361910269
"Slc24a3",1.44178037821603,2.7489192136577,14.6738312503864,0.00483878787183172,0.580124361910269
"March3",0.873622213450872,7.22657773377469,14.6099440552125,0.00489723790154111,0.580124361910269
"Phldb1",1.04797823901112,5.35159421914952,14.5104019106489,0.00499007845484207,0.580124361910269
"Gm13889",1.86413545913773,4.06605408665993,14.6205758094897,0.00511249630292807,0.580124361910269
"Hopx",-1.00948602807772,5.00800725852747,14.3813874769058,0.00511370547255131,0.580124361910269
"Acsl5",-0.697834376200509,5.6502858701765,14.3660579342351,0.00512864817625538,0.580124361910269
"Ctsl",0.789942199126916,8.11340233956957,14.3523840702495,0.00514202306672394,0.580124361910269
"Cadm1",0.962543607659412,6.18764111620544,14.3463015144378,0.00514798664072065,0.580124361910269
"Slc44a1",1.09726627171052,5.46662714318214,14.3045848391808,0.00518912114667213,0.580124361910269
"Plod3",-0.886360841246759,5.51502369753343,13.9998982619238,0.00550236261569199,0.580124361910269
