"","logFC","logCPM","F","PValue","FDR"
"Il6",1.92526536561376,8.42220971773465,34.9699765810926,1.19018461065074e-06,0.00202096497572716
"Cxcl1",2.07420208540413,10.1803040183879,35.2388658581441,1.35505792907924e-06,0.00202096497572716
"Ifi27l2a",-2.01700323736218,8.15983510061252,35.6957336426627,1.46552935150628e-06,0.00202096497572716
"Birc3",2.1679037326799,7.43948194595105,30.6870192199649,3.61150197680443e-06,0.00357377044586516
"Il1r1",1.82706467265559,8.0067492916752,30.0233908515589,4.31927779292381e-06,0.00357377044586516
"Hsph1",1.94872953562755,9.75759979519073,30.6789718559217,5.91315794072385e-06,0.0040771224001291
"Dbp",4.55236720201111,5.99520758909254,24.5121720652374,2.07191240540541e-05,0.0122450023159459
"Spats2",1.79614115572871,7.64633307799063,23.7272085968626,2.62411875639656e-05,0.0135699741190157
"Man1a",1.64739213089311,7.57837631889269,21.9795755582109,4.49811584157086e-05,0.0192747154259746
"March3",1.85557543848478,7.27895521472925,21.7265244137529,4.87062786883415e-05,0.0192747154259746
"Tnfaip6",2.04760285756457,6.80433673015363,21.56526799153,5.12501497910855e-05,0.0192747154259746
"Nup210l",2.05685938054691,6.84069239924423,21.1384523113563,5.86895709005198e-05,0.0202332295679542
"Hspa1b",1.59746396796311,10.4685206725428,21.2529817694391,7.20796787755954e-05,0.0229379716226645
"Pde4b",1.42593982257388,9.45235763081169,19.9205452992118,8.69671468748064e-05,0.023635646163699
"Ccl7",6.80148622588534,5.76788537031822,20.0143457958108,8.90284772682021e-05,0.023635646163699
"Nfkb1",1.38600151355933,8.55360296971708,19.7683388480173,9.14117328061842e-05,0.023635646163699
"Jak2",1.55694525795794,7.93676982891694,18.8705954941929,0.000123052904919188,0.0291520794130568
"Prkcg",1.38240570406161,8.41904871988349,18.7799939821607,0.000126840084465802,0.0291520794130568
"Casp4",1.415981267363,8.01497621819666,18.5658128310249,0.000136294786564178,0.029676396421895
"Rbp7",-1.33715903230095,7.61713347122587,17.7201941159433,0.000181623760054195,0.0375688747672102
"Hist1h1e",-1.7983249713255,6.38707596910695,17.4838456815829,0.000196987488286083,0.0388065351923584
"Osmr",1.24423094816907,8.96958366924073,17.0659350993437,0.000227640948127638,0.0428068455638199
"Tnfaip3",2.03707434580031,6.33005988281634,16.7163897220269,0.000257182053029829,0.0462592240601914
"Rps6ka3",1.25687286357058,8.22662501157189,15.8248477746767,0.000352633839923337,0.0584941408137204
"Aff1",1.40745295978557,7.80922139742437,15.8181352004412,0.000353481634117237,0.0584941408137204
"Dennd2a",1.31715947916658,7.66708259270061,15.5914090871488,0.000383431130339506,0.0610097917774821
"Etv6",1.23814760863085,8.22516157773078,15.2938494471355,0.000426903094557278,0.0654110408216096
"Sik3",1.14906883917789,8.62707782537775,14.8839246990758,0.000495594692735512,0.0706593675199168
"Gcc1",1.77729956355444,6.51412606062417,14.6790875013053,0.000534250853832215,0.0706593675199168
"Camk1d",-1.38034036690036,10.5468624781714,16.0550680886655,0.000537650992757314,0.0706593675199168
"Serpine1",1.43081779783862,7.58696163708297,14.7257894650221,0.000558182073671184,0.0706593675199168
"Arl13b",1.44796126413735,7.17849595882339,14.5469696333217,0.000560879872533809,0.0706593675199168
"Plcb1",1.18544051693369,8.12813207991538,14.3976972243944,0.000592678650199668,0.0706593675199168
"Hlf",2.3839310238819,6.02572950667926,14.3708266197901,0.000598604145355326,0.0706593675199168
"Myom1",-1.88102634635291,6.07816895929257,14.2618168761085,0.000623298778043164,0.0706593675199168
"Kdm6b",1.17961732175395,8.27577742742675,14.1602690445025,0.000647281891090473,0.0706593675199168
"Hspd1",1.48096063604786,8.88477463738992,15.7794963693652,0.000647604690690974,0.0706593675199168
"Gja1",1.40667025977008,7.11294386882562,14.1356282354257,0.000653248567370126,0.0706593675199168
"Magi3",1.36262259875977,7.51613508404269,14.0833025824491,0.000666114414618505,0.0706593675199168
"Cemip2",1.24666078643599,7.52358635918176,13.5035593153012,0.00082820793489102,0.0856574056661038
"Sbno2",1.41786691337746,6.93919604644257,13.4116438000606,0.000857557698363957,0.0865296633690656
"Rnf187",-1.44696828874832,6.42460492332099,13.3427616015457,0.000880279374024493,0.0867075183414126
"Nop58",1.15378463205134,7.90574003957861,13.1172332678368,0.000959279692675243,0.0922916299673832
"Ubash3b",1.28556693381793,7.7545341101809,12.9999188170513,0.00100333567967897,0.0943363569734527
"Prkch",1.31573382047842,7.18861843831925,12.8712267049731,0.00105416020299959,0.0951958993610558
"Arpp19",-1.36818715964533,6.73245258300167,12.8605482119722,0.0010584992435602,0.0951958993610558
"Arih1",1.05568958841645,9.72488687110872,12.5630678503077,0.00118737364413569,0.104514143952965
"Cnn2",-1.38959716273563,6.55738853909911,12.2974483418506,0.00131665219794246,0.112627948631635
"St13",-1.17204496452045,7.19256508921763,12.231058430627,0.001351260024237,0.112627948631635
"Hsp90aa1",1.13505179558186,11.7509137773842,12.2067653749979,0.00136416528074975,0.112627948631635
"Phlda1",1.05759230932098,9.34970608731334,12.1617065551758,0.00138845186855533,0.112627948631635
