"","logFC","logCPM","F","PValue","FDR"
"Cdk8",-2.67100379102899,10.3191773688054,57.0295264773732,5.44970813489843e-14,2.57880188943394e-10
"Ttn",-2.39114538940789,8.98870780705491,46.6807207313854,9.41270252324397e-12,2.22704541699952e-08
"Neo1",-3.49424606662454,6.18893121842459,33.6355068148933,7.07896663007203e-09,1.11658900311669e-05
"Myh6",-1.99965036628701,7.80255895716713,30.9400646204573,2.80766505087689e-08,3.32146775518736e-05
"Cmss1",-1.74448692874205,11.5112270849326,26.3064414894526,3.0294897550209e-07,0.000286710910415178
"Nppa",3.66089712449492,6.79354128635954,22.905846729853,2.80476887011019e-06,0.00221202771556023
"Camk1d",-1.57300260744619,10.0190417980675,19.8068885042769,8.76421461977659e-06,0.00592460908296898
"Hist1h4d",-1.99933114699594,6.74482390883262,19.3259923594125,1.12611114903621e-05,0.00666094744654921
"Ints6",1.63407982459383,8.2833224562107,18.127833978554,2.10562612697395e-05,0.0110709142587119
"Ifit1",-1.38227714682128,8.05627853822528,16.8827223222107,4.05004553877589e-05,0.0191648154894875
"Cxcl1",1.45726426006253,8.35884091729613,14.8316205712035,0.000119101383083624,0.0512352495228827
"Clk4",2.65046634677486,6.44339841421383,14.3133817716996,0.000156672795695518,0.0617813057692659
"Fgl2",1.41944289650144,8.22141570202971,14.0138049507185,0.000183627536305113,0.063425931534234
"Irs2",1.82209877177911,7.43177593705256,13.7941457559197,0.000206320899494092,0.063425931534234
"Ryr2",-2.44251260166362,5.95594699607958,13.7186901723062,0.000214752123782275,0.063425931534234
"Pde4c",6.83133217744284,5.85619403017567,13.6356424346893,0.000224433813808124,0.063425931534234
"Arhgap39",2.25995976522824,6.75702977840698,13.6071030498261,0.000227861546086639,0.063425931534234
"Tsc22d2",1.43445426591171,8.92491999384977,13.1925914059952,0.000284035375131702,0.0675995743773782
"Pnp",1.44590791066967,9.32225731907686,13.1858647907016,0.000285053847624429,0.0675995743773782
"Hdac9",-1.58206570102182,7.19647192401342,13.1890651690267,0.000285712486802105,0.0675995743773782
"Igfbp5",-1.90010629490277,6.27388029617517,12.9637251597873,0.00032084009977315,0.0722959691488832
"Slc41a1",2.52648706329196,6.33337413187443,12.1543663982232,0.000494179442147062,0.10629350546545
"Hs2st1",1.29833302567225,8.12350601842698,11.6074394925277,0.000662360773675038,0.134826777997239
"Ccnd2",-1.6164065889761,6.46211189750347,11.5479997551786,0.000683821359242124,0.134826777997239
"Gngt2",-1.76351043389707,6.25958764780056,11.1370447308236,0.000852736814087601,0.158264703903518
"Gbp5",-1.62055873535864,6.42174544757224,11.100667601508,0.000869586285184164,0.158264703903518
"Hsph1",1.27013130986089,8.71892640429713,10.9925743136169,0.000921667434414297,0.161530751838832
"Thoc6",2.41705348362509,6.2458067595343,10.4565556211285,0.00123054101884542,0.207961432184875
"Nrxn1",1.39344417540989,7.67071607860623,10.3115983258137,0.00133081302435572,0.217151973491423
"Ndufv3",-1.44398658071151,6.78786548713725,10.1719735574416,0.00144503932775201,0.219222457702918
"Crem",2.13401525392049,6.37385343049302,10.1019672656967,0.00149065296480805,0.219222457702918
"Slc8a1",-2.32153061428174,5.86548526185099,10.0761215697401,0.0015116624579408,0.219222457702918
"Coq10b",1.51262147626302,7.40340432227082,9.9636648593991,0.00160662666272653,0.219222457702918
"Plxdc2",1.51262147626302,7.40340432227082,9.9636648593991,0.00160662666272653,0.219222457702918
"Dnaja4",2.12209317827154,6.35985480358058,9.91459697167392,0.00164993550918084,0.219222457702918
"Arhgap24",1.83626933094084,6.6430639042709,9.84691493958132,0.00171162284437428,0.219222457702918
"Rflnb",-1.42142635754727,6.72938244317337,9.84422401312064,0.00171412318998478,0.219222457702918
"Mef2d",2.10882284252213,6.35771504988392,9.72629560772706,0.00182741540883885,0.221883685361502
"Fabp7",1.18601488092729,8.08766192151291,9.72498959601948,0.00182871169253985,0.221883685361502
"Ifrd1",1.21008323923744,9.75601201401109,9.51016632523787,0.00205514578158781,0.243123745961838
"G0s2",1.16801534141942,8.80484422443027,9.28112573978254,0.00232998396859767,0.268914247302541
"Tnrc18",1.7340003084569,6.76255530190208,9.20690131460332,0.00242414144095286,0.273119935680689
"Gem",1.37529828769118,7.48589909073378,9.0089188621292,0.00270067784881184,0.295056253499057
"Cnot1",2.29532085570072,6.14873280220688,8.94537528856259,0.00279606392995744,0.295056253499057
"Pcdh9",1.11249752069139,8.55745810909141,8.92928898721135,0.00282074957632447,0.295056253499057
"Smad7",1.86782611171102,6.44610809569251,8.89873011387004,0.00286825605683783,0.295056253499057
"Zfp703",1.67019167644624,7.04056647576159,8.83285266713447,0.00297345285334661,0.299369763873109
"Tgfbr3",1.17551704919244,7.91026859195784,8.77549971485929,0.00306822646401923,0.302156321811768
"Ndufs6",-1.3574575853326,6.8207180457584,8.78996603731699,0.0031599131883421,0.302156321811768
"Mb",-1.0160881893564,7.9529542013222,8.70336595751287,0.00319269148152756,0.302156321811768
"Lgals3",1.17089599320089,7.90693660744064,8.65190309390429,0.00328715813669265,0.304996711820188
"Lars2",-1.03700279510004,9.60097460866771,8.54499245481223,0.0034811640948611,0.31678593263236
"Rps6ka3",1.08358101756151,8.15788267068789,8.4988473031339,0.00357039574894361,0.31877571101889
"Ly6a",-0.953981692884944,8.21937566363327,8.41508685710707,0.0037383548354071,0.32202429896983
"Sertad2",1.08745980043138,8.11238777705728,8.4128805904557,0.00374288597703733,0.32202429896983
"Phlda1",1.12524023423502,9.27817826038609,8.36962519785786,0.00383285983458659,0.323876656022567
"Ifi27l2a",-0.991749763436908,10.6029782815588,8.01759050263236,0.00465207745091105,0.386204043819493
"Krtcap2",-1.15638124290205,7.33423812185834,7.97523742065848,0.00477050998326219,0.388177560133006
"Elob",-0.927430111935613,8.4112315613729,7.94581424274828,0.00484850161445907,0.388177560133006
"Gjc3",-1.27771642323732,6.78425400508414,7.89776831083076,0.00496992119049431,0.388177560133006
"Tra2b",1.1391683476013,7.8205771058936,7.88539496232038,0.00500397953679488,0.388177560133006
"Nr2c2",1.78892578099928,6.38048572909819,7.8530409388609,0.00509416473545867,0.388799798841781
"Swt1",1.47670198342006,7.15149688568806,7.77195380323266,0.00532754347941749,0.400157710231802
"Cxcl9",-1.30092109327004,6.49120169736272,7.62189469741139,0.00578860950122141,0.427995314996558
"Pros1",0.998805438745549,8.312558606318,7.58990853904653,0.00589204188696874,0.428940649371324
"Cebpd",1.03051100721327,10.8708488055893,7.46537008688421,0.0063130602396262,0.447493416374324
"Dnajc8",-1.23398853605928,6.71409121169883,7.45882373949442,0.00633602259025353,0.447493416374324
"Zfp462",1.39874408321902,7.20511502130617,7.42515786614934,0.00645546529131976,0.449224437625369
"Prdx2",1.16176260995798,7.63856264162548,7.37371087690135,0.00664245278297956,0.455537486508105
"Bgn",1.13613730343642,7.68787029979065,7.29995587041816,0.00692022012861679,0.460314056064282
"Gm42418",-0.858095654950598,15.0006062456762,7.26660842297871,0.00704967849391362,0.460314056064282
"Gls",0.978924254018308,8.41459013123767,7.22047025599284,0.00723288495294395,0.460314056064282
"Sox10",-1.13944289562044,7.25017906892845,7.20891609546996,0.00727952177417401,0.460314056064282
"Tmem41b",1.47463517813084,6.72648370905865,7.13856468533298,0.00757308739953367,0.460314056064282
"Cops9",-1.2477538624566,6.5088260569759,7.13203417990326,0.00759777577344458,0.460314056064282
"Sik2",1.51444489288712,6.59242207512318,7.10181406608941,0.00772673629656979,0.460314056064282
"Chka",1.04104639092181,7.91958976374747,7.08890222179086,0.00778251654188388,0.460314056064282
"Cox17",-1.18037474329037,7.12880807064315,7.0789321469117,0.00783553823349321,0.460314056064282
"Zbtb4",-1.49379523158807,6.13150179594862,7.07636649056372,0.00783706605637841,0.460314056064282
"Sema3e",0.97334793734193,8.48402672185623,7.07341981585416,0.00784994525397575,0.460314056064282
"Wsb1",0.966234373712202,8.40525527214282,7.06669364643383,0.00787942488191184,0.460314056064282
"Sertad1",1.1001924387738,7.72658823309931,7.03362884752698,0.00802599758310408,0.460719382684395
"Tnfaip6",1.0143329594558,8.94722899723453,7.02136066587409,0.00808108807328926,0.460719382684395
"Runx1",1.09751277478719,7.72445000090253,6.99650574577689,0.00819388867783344,0.461589062184617
"Acp1",-1.3048346736923,6.38591858912755,6.96902063561967,0.00832050370147023,0.46320733547479
"Gm20559",-1.1949782470334,6.63070106403227,6.89638118145546,0.0086652129145385,0.476788226879025
"Uqcr11",-0.930246543621206,7.84023427997365,6.84847588683775,0.00895670573926837,0.484830498297139
"Cbl",-1.40403737236122,6.22388856961014,6.8252352728472,0.00901628990916066,0.484830498297139
"Col5a2",0.954425586209918,8.14974186116079,6.74077678606231,0.00945249998387843,0.502575617120368
"Tomm7",-0.989428115746748,7.55790413006776,6.71731547676027,0.00962187444097313,0.505896776163165
"Zscan26",2.56475427727604,5.88724257427945,6.64527829950476,0.00997186900506338,0.518537188263296
"Cxcl10",-0.844161317512449,8.32734920803928,6.61569551790179,0.0101386208384638,0.521477758778377
"Atp5l",-0.848028817410742,8.21280971558963,6.58818894665387,0.0104528924342829,0.53186115052717
"Jam2",-1.15865466919558,7.07824502922942,6.51844441401107,0.0107072391777499,0.536965396238121
"Slc10a6",1.12236478715174,7.53424281540195,6.50635779538618,0.0107801590538084,0.536965396238121
"Rps17",-0.893238203323306,9.055218643302,6.48033562814945,0.0109756984938254,0.537759502937559
"Smyd3",1.44749347623775,6.53957177350941,6.46346777262674,0.0110430578038804,0.537759502937559
"Nr4a2",1.39439761601557,6.82047963238797,6.44646812469818,0.0111490716202079,0.537759502937559
"Sostdc1",1.11615889275154,7.52971909312474,6.41810507647533,0.0113282817497328,0.537759502937559
"Cox6b1",-0.829582931732984,8.27726016370291,6.42815168546156,0.0113643174754345,0.537759502937559
"Fchsd2",2.09378522426849,5.99583615976145,6.35592235256155,0.011731603842163,0.545558606725907
"Mgll",-0.865739905640493,8.77893573442184,6.34009745851676,0.0118365799667888,0.545558606725907
"Rpl36",-0.977802678650902,9.14715206104883,6.56400761122041,0.0118750077119122,0.545558606725907
"Ppme1",-1.18605971037586,6.48471322068768,6.30248271897866,0.0120899916562914,0.550094620361259
"Ndufa8",-1.13137383835694,7.088721503582,6.26840371993808,0.0123243951496593,0.552585883554143
"Mrpl33",-0.896520690281746,7.81073179610649,6.26626120691837,0.0123782974760649,0.552585883554143
"Nap1l4",-1.31683313738585,6.26443105280327,6.22547526835641,0.0126263296763553,0.556246482622203
"Bmp6",-1.17658565950428,6.49500227608904,6.21580369057705,0.0126953973210477,0.556246482622203
"Ndufs5",-0.902070949320484,7.76199909258361,6.18535376444199,0.012915396766069,0.560694105477416
"Nid2",-1.13070686012891,6.61528452500668,6.10420056640033,0.0135210776690649,0.570834037292444
"Bola2",-1.35095465564822,6.17544137670016,6.08383516047825,0.0137308265431241,0.570834037292444
"Ccnd1",-0.823639611461823,8.52888085483515,6.06984125030105,0.013786249396081,0.570834037292444
"Sap18",1.33253631218693,7.03768331109399,6.05959609461474,0.0138663487786874,0.570834037292444
"Tnfrsf12a",0.999837694574102,7.774200593611,6.04566839548581,0.0139892343605876,0.570834037292444
"Cox7a2",-0.820128667049926,8.17084162387786,6.06151907775497,0.0140752647993933,0.570834037292444
"Rbfox2",1.28708215061864,7.11782025044629,6.01743366229967,0.0142010607296384,0.570834037292444
"P3h2",0.90511159003762,8.11164736749463,6.01475267013745,0.0142654524091984,0.570834037292444
"Dnajb1",0.937948500707763,9.1748846512159,5.98574986548198,0.0144580523467883,0.570834037292444
"Mmp2",-1.12077333205755,6.62517482619775,5.98422530018131,0.0144705383864632,0.570834037292444
"Arl5b",1.79252689914621,6.11137438099458,5.98356781413758,0.0144759265585573,0.570834037292444
"Opa1",2.52273716747014,5.85288409675602,5.96289897759316,0.0146463675396185,0.572781910722931
"Atf7ip",1.27684599619048,7.10957631970253,5.90829360624949,0.0151066734897328,0.582626858300085
"Tiparp",0.904268655477398,8.06582367044267,5.89086635170685,0.0152566963200826,0.582626858300085
"Garem1",3.33361683174538,5.71866907330847,5.87600735534133,0.0153858224510765,0.582626858300085
"Ncam2",1.27343164998128,7.10682753653156,5.87216891435782,0.0154193615568244,0.582626858300085
"Adam19",-1.10763601422665,6.78058613361871,5.85558239322534,0.0155725444636681,0.582626858300085
