"","logFC","logCPM","F","PValue","FDR"
"Sgms2",2.30696232323697,5.64800773351059,53.8365113677248,7.22344997466037e-06,0.0576131884727169
"Cebpb",-1.7300046511533,9.74928615486459,42.931318371687,2.25867685179534e-05,0.0576131884727169
"March3",1.6960211885488,7.05695887440137,40.887344159814,2.86871405796119e-05,0.0576131884727169
"Man1a",1.68465495015052,7.09972277667778,38.748679000434,3.72212305310334e-05,0.0576131884727169
"Slc1a1",2.42177808723008,4.91078869360271,38.1382508527245,4.01757339723652e-05,0.0576131884727169
"Sned1",1.53751674906784,5.07598089034149,35.5248142959152,5.63375480661175e-05,0.0576131884727169
"Chsy3",2.35510461953814,4.26415263125157,34.9577340235778,6.07777606493918e-05,0.0576131884727169
"Jak2",1.34107052054757,7.58945435733671,34.0065833997277,6.91715824349856e-05,0.0576131884727169
"Ankrd28",1.30213907092363,6.64226224326087,33.9692860434881,6.95272250413803e-05,0.0576131884727169
"Nfkb1",1.34799335450528,8.56740789897397,33.623332415386,7.29292305069784e-05,0.0576131884727169
"Lsamp",2.03676421288117,4.3507556283058,32.5077821558151,8.52927920711928e-05,0.0576131884727169
"Alpk1",1.60294096180518,5.11717787730505,31.9770296292173,9.20204425804774e-05,0.0576131884727169
"Fbxl7",1.38610623991451,7.99214815326803,31.2979453200262,0.000101547613571905,0.0576131884727169
"Enc1",1.84869283679686,4.42584581222838,31.1058974567947,0.000104446579203415,0.0576131884727169
"Sntb2",1.16406348045833,7.83372925066569,31.0256436542179,0.000105686416422986,0.0576131884727169
"Hsd11b1",2.62613211200532,4.11137711159587,30.5351286687212,0.000113646855684162,0.0580806461830868
"Apaf1",1.6338734178279,5.56014030175669,29.4061086903609,0.000134768409610597,0.0648236050226972
"Nav3",1.66094085287081,5.87761628977932,28.9071236107829,0.000145535492019587,0.0661135399024537
"Pfkfb3",1.33631934311676,6.02034681717935,28.2359747737348,0.00016163377698036,0.0664603893973044
"Cxcl9",1.46053580827985,6.25745090264132,28.1461677360959,0.000163941197311185,0.0664603893973044
"Raph1",1.14278159704198,7.05697130776574,27.8919894384686,0.000170682178958468,0.0664603893973044
"Casp8",1.40669639798239,5.61535164808138,27.3486275385726,0.000186202671290705,0.0683926314556178
"Ext1",1.35159817455044,8.36442101758544,26.3974947039273,0.000217500437533952,0.0683926314556178
"A030001D20Rik",2.41634173666529,4.17794432778149,26.0465512735225,0.000230564209193242,0.0683926314556178
"Mrps36",-1.40645084554571,5.97730782883023,26.0199300335361,0.000231591851658648,0.0683926314556178
"Acox1",1.29843325136003,7.1655813985076,25.6946027709886,0.000244590246975101,0.0683926314556178
"Aup1",-1.28987851497784,5.16457499051437,25.640431654647,0.000246836061498075,0.0683926314556178
"Zswim6",1.19422582287136,8.53212214196947,25.5367502267515,0.00025120164392965,0.0683926314556178
"Noct",1.06857268727863,6.74884766327047,25.3302367800393,0.000260167275352474,0.0683926314556178
"Trim25",1.17436409164713,7.3268904779264,25.2105982439209,0.0002655312971455,0.0683926314556178
"Auts2",1.11326989285012,7.28353127424757,24.8000381992812,0.0002849416568307,0.0683926314556178
"Ern1",1.35301946683373,5.83289491094648,24.7917198869768,0.000285351647667323,0.0683926314556178
"Dennd4a",1.37574897624354,7.04068439421957,24.6490201690125,0.000292492902274652,0.0683926314556178
"Bicc1",1.63059054022856,5.14735295245961,24.5825580667466,0.000295889704654171,0.0683926314556178
"Mcu",1.37094907108951,5.83750936680249,24.2562531439397,0.000313246819536867,0.0683926314556178
"Dnaja4",1.25796230946452,5.66575364828717,23.7485334807116,0.000342664520230742,0.0683926314556178
"Lrmda",1.6378114653268,6.842695220307,23.6319255246688,0.000349867092760696,0.0683926314556178
"Ndfip2",1.05582247631565,6.05529190707626,23.6299423272621,0.000349991103212214,0.0683926314556178
"Tmtc2",1.13643946605016,7.55163836997004,23.442646032436,0.000361936567621246,0.0683926314556178
"Ahcyl2",1.06160584305756,6.3335374288792,23.3483997928512,0.00036812636157996,0.0683926314556178
"1600020E01Rik",1.20436851160844,5.07586879151049,23.1852806925881,0.000379132760918196,0.0683926314556178
"1810013L24Rik",0.948275529798189,6.68897741852584,23.16904211449,0.000380249246090416,0.0683926314556178
"Tnfrsf10b",1.80971187107596,4.36807524879193,23.1003086533168,0.000385017553121355,0.0683926314556178
"Zfand2a",1.34342769509668,4.89688942889391,23.0795808229016,0.000386469141559407,0.0683926314556178
"Ube2e2",1.37497430758464,6.28999620398757,22.9863720412818,0.000393075781277865,0.0683926314556178
