"","logFC","logCPM","F","PValue","FDR"
"Cnnm2",2.04990024622144,6.60751660612568,46.810719819434,4.5708261349078e-06,0.0193071695938505
"Cd8b1",-1.35540609423765,7.34779008541819,34.8619883521826,2.4792714688704e-05,0.0523622134225428
"Ifi27l2a",-1.70433041877552,8.94088589040427,31.3344660009577,5.83520580177301e-05,0.082159697688964
"Flnb",1.18789720396534,7.32351524888295,25.4922237898277,0.000128570130846038,0.130391353375168
"Hspb1",1.15530350744365,9.45286109189145,23.3283125569991,0.00019884240549007,0.130391353375168
"Cemip2",1.48830143773312,6.32825693714029,22.6382192074417,0.000229743090380584,0.130391353375168
"Dusp16",1.4388820051698,6.03370914699152,22.209513397419,0.000251663361813824,0.130391353375168
"Emp1",1.66278583720152,6.2513907876914,22.0074742621591,0.000262807034504518,0.130391353375168
"Hsph1",1.52539552213924,7.91322737773751,22.7441311835951,0.00027782248588459,0.130391353375168
"Plin2",1.45469402416667,6.24184177341188,20.6392368096407,0.00035478158592065,0.136373783699207
"Hspa1a",1.18039575829951,9.32241163193174,20.2736953275959,0.000385181529484527,0.136373783699207
"Fosb",1.03268305158592,8.3770651205887,20.0859297751286,0.00040193569711899,0.136373783699207
"Dnajc15",-1.07396908782337,7.36012505367884,19.8961652685582,0.000419710982028809,0.136373783699207
"Ccr7",-0.907562432247095,8.13494470244036,17.9940031217588,0.000656903399826885,0.198197140062054
"Dock5",1.82464173153385,5.41606374629255,17.5873758292991,0.000725481682077801,0.199424795992296
"Dab2",2.01426398454708,5.20847206002338,17.3959788056853,0.000760541415094081,0.199424795992296
"Mdfic",1.31991380731839,6.52015731196282,16.9059681040441,0.000859387018953672,0.199424795992296
"Gata3",1.488434945154,6.35876516584621,16.4411633074646,0.000966790371695323,0.199424795992296
"Gm15614",1.88456059044191,5.36125989917372,16.4187577526766,0.000972339585714458,0.199424795992296
"Slamf6",-1.14375772138112,6.56122205553013,16.3982352125794,0.000977454110042422,0.199424795992296
"Frmd4b",1.22935739045578,6.21600065549842,16.0230416928231,0.00107654651572661,0.199424795992296
"Plxdc2",1.63835892894556,5.83949282835927,15.9913970651823,0.00108541184246024,0.199424795992296
"Ikzf3",1.04289683556407,7.86149366288778,15.9679114340415,0.00109204489256512,0.199424795992296
"1700025G04Rik",1.11497984115836,7.41910410929289,15.6394834170344,0.00118978484839499,0.199424795992296
"Tspan5",1.27762995730345,6.38917187752552,15.5708248179821,0.00121144869372305,0.199424795992296
"Spag9",0.819652332655285,8.89823076572822,15.5207832473436,0.00122752005108894,0.199424795992296
"Trps1",0.951951864078997,7.81083356188682,15.3583104721435,0.00128138981875053,0.200466318311195
"Baz1a",0.889768086134043,7.55753272491736,15.1651530083262,0.00134895250867642,0.2034991213089
"Chd3",-0.930701529823944,7.1902696672228,14.492511725363,0.00161779906515983,0.227913041650187
"Setbp1",1.43453723593995,7.00499267405038,14.7911381058796,0.00177004925573058,0.227913041650187
"Cdc42se2",0.831675705672314,7.30207942924259,14.1322058846253,0.00178651363794215,0.227913041650187
"Tex2",0.89028267905296,7.70561993060936,14.1313798480646,0.00178692270258949,0.227913041650187
"Rpl36al",-0.871132216968205,9.13324810496617,14.0967711717594,0.00180415724420098,0.227913041650187
"Zbtb16",1.51862507341111,6.29500084592206,14.3651209012193,0.00184161742912665,0.227913041650187
"Rell1",1.16056568010583,6.65499457023587,13.8572538480918,0.00192873468476795,0.227913041650187
"Tle3",1.24774243923678,5.78297276464311,13.8319785861938,0.00194244069588228,0.227913041650187
"Nr3c1",0.735366244887619,8.92758102974144,13.6601157317104,0.00203862140440943,0.232733427357444
"Ndufa5",-1.07418084616214,6.81551353036733,13.0113389960698,0.00245371080012323,0.251907583888696
"Ccr2",1.34845684152411,6.57612614809402,13.254464623872,0.00249298682072861,0.251907583888696
"Ap3s1",1.02164334226467,6.62200143451931,12.9060848148296,0.0025297233982719,0.251907583888696
"Alcam",1.42104281912408,6.05452496630728,12.7840133919969,0.00262125014137884,0.251907583888696
"Runx1",0.746172273526385,8.77258250005248,12.7173720102166,0.00267279976024345,0.251907583888696
"Man1a",0.702584355426469,8.85538827093185,12.7094102766172,0.00267903507529963,0.251907583888696
"Hdac7",-1.27982371337817,6.05777660841868,12.6778848070426,0.00270388727476968,0.251907583888696
"Tpd52",1.03784484441907,6.21478662006986,12.6447994658256,0.00273025107575755,0.251907583888696
