"","logFC","logCPM","F","PValue","FDR"
"Cebpb",-1.31900808653758,10.3473412010955,34.9570788081275,5.21600491516376e-05,0.265836397114732
"Fmnl2",1.79948443270368,6.00623851766737,27.482021460799,0.000166848506664179,0.265836397114732
"Lars2",-1.06814172097316,8.95084300344472,26.0806142009036,0.000203861057774701,0.265836397114732
"Alcam",1.00810744653977,9.11466875955444,25.0818352386949,0.000242418985240611,0.265836397114732
"Fnip2",1.08413723954882,7.9264350013296,24.9071898856972,0.000249996310368087,0.265836397114732
"Rgs5",1.65574267787781,6.45240735210721,25.3345194373366,0.000269065179265923,0.265836397114732
"Rab7b",1.26488357031003,6.22432141662957,20.1467229014335,0.000616008373961968,0.425605924664455
"Ifi27",1.55233071569591,5.28366701824026,19.6667039012941,0.000679738243017218,0.425605924664455
"Cenpb",-1.99694182216104,5.83104345215392,19.6321870184402,0.000684607744797057,0.425605924664455
"Rbm47",0.832592746661575,8.57919722131924,18.7783884121608,0.000818948686100664,0.425605924664455
"Mdm2",0.906284007016979,7.3068274865229,18.5706438283284,0.000856106575453082,0.425605924664455
"Pag1",1.24208887403484,6.62702736774978,18.1384375688331,0.000949387833882141,0.425605924664455
"Tppp3",-1.30991495121966,7.94328528999392,18.9139442233126,0.000997070746025788,0.425605924664455
"Rps27rt",-1.81449751027199,5.68706443851771,17.8077104605744,0.00101037391442166,0.425605924664455
"Ern1",1.02533657340793,7.36656804718929,17.4260177002638,0.00109951335654738,0.425605924664455
"Kcnn4",1.3603895158595,5.46506791922838,17.2303118748313,0.00114873393971513,0.425605924664455
"Hpgd",1.09566977799669,6.48336452890573,16.5307252661033,0.00134680881005076,0.469640154469467
"Cdk8",-2.44506726313367,9.21698163203074,23.582088263739,0.00164082071182499,0.52994994832013
"Fam126a",1.10781184786063,6.08227679125447,14.7662252677516,0.00204988563535682,0.52994994832013
"Orai1",0.936971488970485,7.31958712910987,14.7186637660493,0.00207405267948346,0.52994994832013
"Uqcc2",-1.0574631169883,7.0672121482022,14.5212545201429,0.00217795767905368,0.52994994832013
"Malt1",0.850317233871805,7.75079034252079,14.3685672549672,0.00226247662177599,0.52994994832013
"Krtcap2",-0.978110682542062,7.46960705341843,14.2870058179538,0.00230918050836979,0.52994994832013
"Gbp3",-1.98796462790328,5.40610915648764,14.2576853198274,0.00232624265740548,0.52994994832013
"Mir142hg",-0.880904421469615,8.17809721488517,13.9552451295789,0.00251104801688313,0.52994994832013
"Arhgap23",1.07152235578856,6.31889629291021,13.9546527408281,0.00251142634995647,0.52994994832013
"Ctsl",0.873161135746279,7.60962642959511,13.8426093579659,0.00258418779997454,0.52994994832013
"Mrpl52",-0.94557326374278,7.89743769074065,13.6288368976491,0.00273566724499563,0.52994994832013
"Was",-1.28798696803647,6.15426517410423,13.559635078513,0.00277910882273422,0.52994994832013
"Pdlim5",0.730060010486035,8.16247415374365,13.4932582369337,0.00282726957441673,0.52994994832013
