"","logFC","logCPM","F","PValue","FDR"
"Tnfaip3",1.63697752729156,7.79145801631032,29.7620432429189,4.72490785522613e-05,0.0769285262979119
"Dhx40",1.80307036672675,7.69139041289865,29.5833471928565,4.882800780572e-05,0.0769285262979119
"Rftn1",1.84435425149449,7.44794829314944,23.4450397132936,0.000165085083810699,0.106724834442798
"Zeb1",1.7878155916098,7.9907556507117,23.8154351964956,0.000166480461485554,0.106724834442798
"Gm14636",2.31596593817934,6.41508743572666,23.0979732190924,0.000177880414229383,0.106724834442798
"Oasl1",2.26164413408957,6.15318129171738,22.4778729766357,0.000203614065580296,0.106724834442798
"Stat4",1.72051269024165,7.59975492447532,21.9429830794658,0.000237091031767561,0.106724834442798
"Socs3",1.42086956818188,7.96559540719811,19.8799834045618,0.000368045604021139,0.125936938994905
"Nr4a3",1.34266941517819,8.47184302111461,19.3115939510349,0.000421463380856045,0.125936938994905
"Cdk8",-2.65331941814319,8.62401823126235,25.0798255310032,0.000429663254464879,0.125936938994905
"Cmss1",-2.04860138838276,10.0082781923392,21.1731493668354,0.000494157434757218,0.125936938994905
"Runx1",1.19755080911817,9.03025974680335,18.490874846868,0.000514680850128513,0.125936938994905
"Il6",2.12838446196546,6.13706886520613,18.3606798158325,0.000531501911562931,0.125936938994905
"Marcksl1",1.35375203772145,8.00681864245771,18.1536264643079,0.00055954209645467,0.125936938994905
"Ccrl2",1.6306060755013,7.11512333253775,17.3058254095864,0.00069307793494005,0.133409117091252
"Hist1h1e",-2.38302003931604,6.74676587457628,17.4833825526404,0.000698562343897147,0.133409117091252
"Man1a",1.3303578875401,7.71845904752797,17.1585443435717,0.000719757216931543,0.133409117091252
"AW112010",1.47251231916317,7.31171180721713,16.1147610670299,0.000945630217048549,0.160085813000949
"Il15",2.4683357578212,5.91229053631186,16.037507693465,0.000965290525870525,0.160085813000949
"Tmtc2",1.17465460308739,9.3906806839365,15.7670533310225,0.00103783378211757,0.163510712372624
"Hmox1",2.1044809358258,6.07758902674518,15.5719698989016,0.00109397401961561,0.164148196943276
"Cxcl10",1.66855098298888,7.79784015893187,16.6640120997238,0.00118244253205089,0.16935801902238
"Clasp2",1.61928638094382,6.74898804672537,13.9086668246012,0.00173987732449414,0.21801852066812
"Sipa1l1",1.33844117181852,7.44074093864329,13.6451338196138,0.00187742458087243,0.21801852066812
"Chst11",1.27877403835084,7.48970385003416,13.5923008163208,0.00190645164366045,0.21801852066812
"Arl5c",1.52661039730924,7.05659348779817,13.5052733137121,0.0019553754626442,0.21801852066812
"Ifi205",-1.91861233870085,6.74626997393758,13.4268104281614,0.00200070060472175,0.21801852066812
"Tle3",1.51149495268441,6.6002023926931,13.339967792646,0.00205225301837924,0.21801852066812
"Cd209a",1.05616145555668,9.51375371035967,13.320173461536,0.0020642120897846,0.21801852066812
