"","logFC","logCPM","F","PValue","FDR"
"Ndrg1",1.33538467328552,6.09471093444303,27.8418270898889,0.000337413468091698,0.745821300836126
"Cebpb",-1.30142479625629,10.2782968986657,26.6773293958041,0.000397192409991171,0.745821300836126
"Hsp90aa1",1.4018851043014,10.4165010612834,24.9024099070475,0.00051472150834149,0.745821300836126
"Mrpl52",-1.23877466182003,7.20145903720476,23.7089260572931,0.000617522545257481,0.745821300836126
"Cxcl1",2.98893729542374,6.62501293843719,25.344970400818,0.000736540885676601,0.745821300836126
"Wdr1",-1.12027429242183,6.37719691708525,19.672646610013,0.00120638059156327,0.762198518663392
"Dnaja1",1.1817131067017,9.45620219794306,19.015969655317,0.00135734831315941,0.762198518663392
"H2-Aa",-1.09135133620405,8.25494647776858,17.7654183676769,0.00171264531569109,0.762198518663392
"Hspa1a",2.09283059191833,9.8433318266751,18.509143333736,0.00205086447510956,0.762198518663392
"Ly6d",-1.48792834469937,5.59171764014754,16.7243607118031,0.00209632159961783,0.762198518663392
"Igkc",-1.61532037713994,7.5239305004281,17.0567823071798,0.00224470405501344,0.762198518663392
"Efnb2",1.45770004007662,5.65947269245631,15.9266816796704,0.00246157050440655,0.762198518663392
"Cebpd",1.5584068949202,7.74541188037505,16.5449013890883,0.00249610561836093,0.762198518663392
"Rap2a",-1.11244564493406,6.53702062437973,15.8139426110984,0.00251915270556929,0.762198518663392
"Tjp2",1.36177348476649,5.17470190692613,15.7607581721104,0.00254687775717118,0.762198518663392
"Tppp3",-0.954462165181489,7.09069646363374,15.597651571898,0.00263421928415521,0.762198518663392
"Tnfrsf21",0.896284539434215,6.68392855094601,15.0876682421071,0.00293149050004276,0.762198518663392
"Dnajb1",1.55939559141367,7.46004684447839,15.6241233172731,0.00300204818872561,0.762198518663392
"Hsph1",2.07968952472936,7.9548445537323,15.7824847167262,0.00333477986588741,0.762198518663392
"Aif1",-1.09400738326284,5.79308351371769,14.4341693155651,0.00337356704382009,0.762198518663392
"Capn2",0.855969581055525,6.67671261527363,14.4333748347565,0.00337415139504972,0.762198518663392
"Nol10",1.52490181469825,5.1772809691899,14.3582507005664,0.00342995974042982,0.762198518663392
"Cyth2",1.32845220589049,5.06633574220341,14.1450388803124,0.00359449809435698,0.762198518663392
"Cxcl9",1.49879021899629,5.590604414487,14.1217629734904,0.00361302872761632,0.762198518663392
"Nop58",1.39582264413507,6.25975897089228,13.6538202804391,0.00401111689225571,0.769051655768246
"Fosb",1.01996702890739,8.79720673202237,13.253395908717,0.0043942464900052,0.769051655768246
"Mrtfb",1.13957183411984,5.35988510798181,13.1629945417542,0.00448674014269037,0.769051655768246
"Cxcl10",1.64178884861632,6.51134892011896,13.6382567637944,0.00472470907531483,0.769051655768246
"Rasgrp4",-1.30836330740789,5.41128253562768,12.7886821160604,0.00489552758740961,0.769051655768246
"Tanc2",1.98645438777564,5.26035502130644,12.8956972615351,0.00493181002642787,0.769051655768246
"Ube2q1",-0.953463699662533,5.88870265934231,12.6767151344146,0.00502641242600582,0.769051655768246
"Slc1a1",1.68634035430526,5.29217213807626,12.6713079139984,0.00503283907945495,0.769051655768246
"Tm4sf1",1.38934336847649,7.74131225608978,13.1159585339774,0.00506013678018691,0.769051655768246
"Gadd45g",1.29681443967606,7.0669667942982,12.7807720825919,0.00529379058682716,0.769051655768246
"F10",-1.10735915206292,7.70356644982242,12.1744607378699,0.00566795219367776,0.769051655768246
"Ndufs6",-0.832088223658709,6.8600820136718,12.1103501543897,0.00575675388372072,0.769051655768246
"Magi3",1.06791282548262,6.98090748537668,11.9370179554493,0.00600535600632489,0.769051655768246
"Cox17",-1.11755867793913,7.42398131158021,11.9224943850084,0.00602676738315874,0.769051655768246
"Casp4",1.09293625641827,7.35272234257399,11.6888260380702,0.00638421706697528,0.769051655768246
"Rassf1",0.856754210166871,6.83069498072423,11.6818114795758,0.00639533618092737,0.769051655768246
"B4galt1",1.10592883023371,6.32702344907113,11.5889193322405,0.00654480512727768,0.769051655768246
"Fmnl3",0.88648517193418,5.81398820627016,11.5587571698665,0.0065942397611942,0.769051655768246
"Hspa1b",1.96996131610276,9.13162451555424,12.4304205613123,0.00660369274771444,0.769051655768246
"Rfk",1.26016394269715,5.17599933269896,11.4861893632305,0.00671502924068908,0.769051655768246
"Ctsa",-1.01425398385893,7.50922049271276,11.3073483257751,0.00702426970839217,0.769051655768246
