"","logFC","logCPM","F","PValue","FDR"
"S100a9",4.3782853852994,5.86474016604231,74.6521765308171,8.03166440769979e-06,0.0577637304201769
"S100a8",4.37445968753148,5.21491224309085,58.0762421986275,2.32008480258866e-05,0.0834302495010881
"Hist1h4d",-1.67590623661204,6.21096601667426,31.6691061597017,0.000258587944551775,0.551202501257707
"Ccl5",2.58724740642654,5.98492773684833,27.6870121641619,0.000425736806223556,0.551202501257707
"Tmtc2",1.93024510902738,7.8013810007088,26.0901282027656,0.000528191842980979,0.551202501257707
"Setdb2",-1.75611053313223,5.87503298705106,26.0044946412198,0.000534485633527715,0.551202501257707
"Xylt1",1.284103309684,7.10737493020872,25.9775139076887,0.000536487417798102,0.551202501257707
"Srek1ip1",-1.7134993096262,4.60385823890764,23.0025222261137,0.000825880883114443,0.658525874492614
"A930037H05Rik",1.73029350303301,4.97595373136346,18.2604295726453,0.00180358848860748,0.658525874492614
"Nelfe",-1.58822238010264,4.30637340980477,18.2103589810256,0.00181985379587122,0.658525874492614
"Chsy3",2.43743175946343,4.41721701826305,18.16472077173,0.00183483441943241,0.658525874492614
"Fosl1",1.47667220129687,4.65806364260449,17.9488593623003,0.00190774992914533,0.658525874492614
"Cdk2ap1",-1.84496871842104,4.07672726390133,16.952326313271,0.00229364063893866,0.658525874492614
"Chst11",1.24216309054552,6.65196354218779,16.826656759546,0.00234877144584609,0.658525874492614
"AC149090.1",-1.29446807471971,5.89668566278947,16.5503208708214,0.00247575994855549,0.658525874492614
"Ppp1r14b",-1.46526914491539,5.99999670548657,16.3860903978002,0.00255518124596688,0.658525874492614
"Lypla2",-1.6625610852792,4.53041779661375,15.7569648447022,0.00288951204281137,0.658525874492614
"Cebpb",-1.32867751224359,8.93763197113072,15.7487862601102,0.00289419672156495,0.658525874492614
"Gcnt1",-2.03077703707525,3.81379524745266,15.0813678890497,0.00330960978975021,0.658525874492614
"Flnb",1.12998041447375,7.21916829815926,14.6691154034112,0.00360253630181807,0.658525874492614
"Il1r1",1.44556945763438,6.30618865402528,14.030840677872,0.00412083985070118,0.658525874492614
"Hspb1",1.85929777552765,9.65272227113398,13.8742179387071,0.00426158638621863,0.658525874492614
"Stab1",-1.29597341743182,6.85907914751989,13.796487888048,0.0043336031299254,0.658525874492614
"Fabp5",1.16221044321598,7.47654857869807,13.7771421051507,0.0043517561259665,0.658525874492614
"Dgkh",1.45856187286916,6.73201832980973,13.7663698679708,0.00436190421971564,0.658525874492614
"Tnfrsf13b",-1.33926027898367,4.66428676345956,13.6912575541224,0.00443346920246628,0.658525874492614
"Tjp2",1.02833144202322,5.98511639732763,13.5952522446439,0.00452702870580632,0.658525874492614
"Swt1",1.5194266551793,6.49784805866017,13.4422824820194,0.0046811088240927,0.658525874492614
"Spp1",2.32478118873538,5.6519420892695,13.9279546424067,0.00474029378271807,0.658525874492614
"Ifi27l2a",-1.41808807900868,11.1075128962801,13.3129552345127,0.00481636859275348,0.658525874492614
"Il6",1.5215684134476,6.05591943548513,13.2176438776296,0.00491909908960406,0.658525874492614
"Gm13889",1.9101317290935,4.46951375299326,12.7642352412965,0.00544587534437342,0.658525874492614
"Apold1",1.83891614957761,6.23941983778723,12.9163225580406,0.00554258991493223,0.658525874492614
"Mcu",1.29221130449886,5.88776638052493,12.6805417425047,0.00555047304326412,0.658525874492614
"Hs6st1",-1.29643542780597,4.1986087541117,12.6740934783072,0.00555863277173059,0.658525874492614
"Lsmem1",1.0952977570607,5.5231272247979,12.509042933768,0.00577254146628838,0.658525874492614
"Hcfc1r1",-0.966185271566237,6.49359447003955,12.5015048260494,0.00578254775753092,0.658525874492614
"Phlpp1",1.21697798227777,7.28315944300605,12.393835955389,0.00592779814122439,0.658525874492614
"Tes",1.17213373368235,4.91091009820194,12.3452957103909,0.00599473008381387,0.658525874492614
"Sec24b",0.893013885428085,6.24321911395072,12.2433476240526,0.00613832236190795,0.658525874492614
"Trmt1",-1.37012968191744,4.8821655737227,12.1288164923608,0.00630465849398823,0.658525874492614
"Fcna",-1.72617891911848,5.11349529345552,12.0181644035652,0.0064705946545437,0.658525874492614
"Gfod1",1.40863820981798,5.61429671682267,11.9722857681572,0.0065409501212061,0.658525874492614
"Sulf1",3.0119298537103,4.70133315127137,12.3148123172597,0.00669806052454042,0.658525874492614
"Top2a",-1.20443533952443,5.26360912022983,11.847591618224,0.00673692394982401,0.658525874492614
"Mecom",2.34155754979821,6.92163789410531,12.1821579413225,0.00689991107263101,0.658525874492614
"Morc2a",1.66523010664698,4.67748674110683,11.7223336678238,0.00694102075971293,0.658525874492614
"Lrrc8b",1.50637865741406,4.4348149321645,11.6354795289407,0.00708696686322674,0.658525874492614
"Ldb2",2.45690321568779,5.88908891517639,11.9428398012039,0.00728335407093291,0.658525874492614
"Bank1",-0.973769222698072,7.07222873471224,11.376136218566,0.00754552723415328,0.658525874492614
"Mrpl14",-1.14587547588114,5.8320610911981,11.2887761914714,0.0077080707542221,0.658525874492614
"Hdgf",-0.836120398788143,6.13139830482941,11.2463219006187,0.00778859937113742,0.658525874492614
"Akap12",2.43261420478408,7.03427655771407,11.6379721029853,0.00781058103402619,0.658525874492614
"Taf4b",0.919831248511194,6.48543616045081,11.1832091815154,0.00791021472030863,0.658525874492614
"Phka2",-1.15382843590133,4.46601500044136,11.1339546792793,0.00800673425767041,0.658525874492614
"Gulp1",2.58138831608822,5.31223255952279,11.5114769395674,0.00804307393124714,0.658525874492614
"Timm50",-1.34636446452378,4.51086464485302,11.1025659966935,0.00806899194253205,0.658525874492614
"Adamts1",2.07183481095935,6.67199982401846,11.4937236032952,0.00807638177875345,0.658525874492614
"Gja1",1.9868046031331,6.05069877596971,11.4123539789628,0.00823123367274936,0.658525874492614
"Dlg1",0.95687557823764,6.33227790728628,10.7473119830425,0.00881639437641083,0.658525874492614
"Cnpy2",-0.977530336606588,5.89324426259977,10.7219916946936,0.00887281703450508,0.658525874492614
"Ap3d1",-1.03197156571845,5.45496058140998,10.7077094266374,0.0089048369845675,0.658525874492614
"Aldh9a1",-1.23980062271889,5.29808097903266,10.6886629022973,0.00894775732071245,0.658525874492614
"Aspscr1",-1.18421954738453,4.39282316632833,10.6793720093611,0.00896878524906752,0.658525874492614
"Nos3",1.96624709429475,4.96920810428208,10.6587692587347,0.00901563018894608,0.658525874492614
"Slc44a1",0.997211314855324,5.96105310493526,10.5239152560239,0.00932971997167448,0.658525874492614
"Sertad2",0.915957122757414,7.41450679519728,10.5030411895093,0.00937952130386584,0.658525874492614
"Smad7",1.43908939861432,5.68795337313285,10.3953876901735,0.00964156269298668,0.658525874492614
"March6",1.27024491136918,5.64941722867331,10.3860103854746,0.00966480778968357,0.658525874492614
"Prickle2",2.45818208563101,5.19452516569767,10.7025271130779,0.0097498324105282,0.658525874492614
"Yes1",2.53208232286893,5.62531424847295,10.6352416104012,0.00991104496237582,0.658525874492614
"Tmem258",-0.995817130823393,6.48368005118169,10.251664544511,0.0100054491317131,0.658525874492614
"Sema7a",2.35983427816205,4.59799071268161,10.4147013180911,0.010053469214822,0.658525874492614
"Cox20",-0.874268280508863,5.95933570324579,10.2329049829254,0.0100541709441769,0.658525874492614
"Lnx2",1.45068231452057,4.70107989424074,10.1746726753644,0.0102072625141153,0.658525874492614
"Pet100",-1.31403655367838,5.84607349824893,10.1456204899181,0.0102847017000969,0.658525874492614
"Lyve1",-1.76273684412059,7.35707718485249,10.4589515376113,0.0103492697198667,0.658525874492614
"Pfkp",1.03901389038521,6.03234125782409,10.1086864014786,0.0103841864802258,0.658525874492614
"Wwp1",-1.07806088941346,7.38116842042398,10.0924075625145,0.0104284068952279,0.658525874492614
"AI413582",-1.35395726830635,5.05682252820775,10.0685723960814,0.010493568306499,0.658525874492614
"March3",0.916810402696861,7.34039953858718,10.0496946801937,0.0105455292115586,0.658525874492614
"Rgcc",1.03182768956264,7.63205316942854,10.0092384953911,0.01065794481694,0.658525874492614
"Smim19",-1.13553817333861,4.60226895200094,10.0011215935836,0.0106806748360535,0.658525874492614
"Adamts9",2.29918030297856,7.26420044027853,10.3270068825885,0.0106929601675988,0.658525874492614
"Prkd1",2.03725597621708,5.19013356109609,10.1126388394321,0.0107087648621195,0.658525874492614
"Tma7",-0.828293834771312,7.62862053251265,9.88139135374311,0.0110229231100762,0.658525874492614
"2900093K20Rik",-1.69748645886771,4.05922264780949,9.86890664733347,0.011059375007486,0.658525874492614
"Gipc1",-1.29212906037368,4.4015904842728,9.8633189034902,0.0110757372661388,0.658525874492614
"Rbms3",3.21530391390659,5.52405402709178,10.1676643703263,0.0111269795592965,0.658525874492614
"Gm33370",-1.37717848147378,4.20965856055868,9.80594919253724,0.0112454481200689,0.658525874492614
"Pes1",-1.30582783226134,4.2814513645988,9.79434579704534,0.0112801576746116,0.658525874492614
"Ypel3",-0.811499454302541,6.48831229587015,9.74612675701353,0.0114258031166261,0.658525874492614
"Abtb2",0.79133267919563,7.08194886180987,9.72133485913388,0.0115015791621871,0.658525874492614
"Ankrd33b",1.29704053578096,5.49239764422997,9.67937330095917,0.0116312351934459,0.658525874492614
"Magi3",1.41706623421823,7.03369172422693,9.67531038383142,0.0116816101107395,0.658525874492614
"Ppp1r2",1.19023573455047,7.35424616311721,9.66019081560921,0.0116910999397935,0.658525874492614
"Itgam",-1.18013469210678,6.47389225594114,9.62196511860873,0.0118115190187939,0.658525874492614
