"","logFC","logCPM","F","PValue","FDR"
"Cebpb",-1.45541975028262,9.51644714694978,52.6732326650347,3.74499140731539e-06,0.0213052561162173
"Fnip2",1.01698312632726,8.91059548371169,27.4681328720764,0.000117426217281915,0.260035797916481
"Slc15a2",1.89371564313356,5.14809666595514,26.597103078317,0.000137125574573641,0.260035797916481
"Cers6",0.985465292609412,7.80102042327603,24.2417707612471,0.000212347981103928,0.302011916125062
"Nppa",3.4063912126698,4.63979883721894,22.5244335417717,0.000306185350534439,0.348377691838085
"1600020E01Rik",1.54144041394617,5.85236158394986,18.9152911430415,0.000639710157481752,0.374050835342793
"Hilpda",1.47368574338033,6.50984131772994,18.8294013108907,0.000660822955141807,0.374050835342793
"Ifi27l2a",-0.982595139886735,11.8877986085704,18.3003859647944,0.000735318191248241,0.374050835342793
"Slc38a1",1.2185675835862,6.11008208730079,18.0398671132152,0.000780681666825385,0.374050835342793
"Samsn1",-0.985533829141607,7.2796290997879,17.7878201503935,0.000827641226010231,0.374050835342793
"Smap1",-1.25279053560104,6.40397362146268,17.7302607111582,0.000838813520447517,0.374050835342793
"Atp5k",-1.22959625440149,7.45170678564831,17.6833182322497,0.000848052902590826,0.374050835342793
"Myl7",2.98673120988053,4.88080835163083,19.6837680536853,0.000854747909906189,0.374050835342793
"Reps1",1.66192810463147,4.90344578877639,16.8138181193841,0.00104215134919024,0.398906497969146
"Lars2",-0.951289760667317,9.29456570646325,16.6175904886421,0.00109270836267176,0.398906497969146
"Gm4070",-1.84858168389982,5.03652783165843,16.1633243914759,0.00122089743039531,0.398906497969146
"Slc7a11",2.17847885190476,4.83269516890133,16.1563404228705,0.00122299841516804,0.398906497969146
"Id2",0.786800811384973,8.73270621807044,16.0286827302503,0.00126214044005003,0.398906497969146
"Fam32a",-1.48684246497451,5.52647546637684,15.4310789816478,0.0014655465870076,0.416608457443203
"Tmem251",1.25729078752324,5.83097471098504,15.1000281366755,0.0015942704253723,0.416608457443203
"Nfkb1",0.733565350011698,9.91707099133242,14.9217972289951,0.00166891072876721,0.416608457443203
"Gm47283",1.06072348081098,7.29427375285397,14.7990263403438,0.00172265462784236,0.416608457443203
"Ndfip2",0.986335140855879,6.93085977439083,14.7811988089897,0.00173062243381121,0.416608457443203
"Il10",1.27169823582816,5.62518593212742,14.6617787819438,0.00178509752875845,0.416608457443203
"Tnf",0.826013559924163,9.03388802189065,14.3602018942351,0.00193163439145703,0.416608457443203
"Stard13",1.34008787261423,5.21790073200922,14.3179627529799,0.00195323918030084,0.416608457443203
"Sdc4",0.727914166165833,9.1794208016319,14.2716926511695,0.00197722417840859,0.416608457443203
"Sertad1",0.910932416674564,7.51357717632488,14.0570374287945,0.00209300355471385,0.425253472241681
"S100a4",-1.07712693491485,9.50024596821271,14.3170302688401,0.00233697955485998,0.443810370881774
"Id1",1.24620009596195,6.2500704327744,13.2011410597996,0.00263880866324529,0.443810370881774
"Mylip",0.857385968032333,7.69335401014336,13.1627877805847,0.00266684926558327,0.443810370881774
"Gm39469",1.61991770464154,4.81401529646681,13.1004315239804,0.00271317132444679,0.443810370881774
"Flna",-0.987186007857596,7.20285454206406,13.0950413699184,0.00271721860079126,0.443810370881774
"Gas2l3",0.884550550293701,6.57600736012297,13.0545990474379,0.00274780713133662,0.443810370881774
"Tcn2",-0.886991655600844,7.27405740359014,12.8198214306367,0.00293338009764386,0.443810370881774
"Ankrd33b",0.918924168180783,6.82621334438265,12.6914121352405,0.00304093906010808,0.443810370881774
"Cadm1",1.30881490224873,5.62343249842817,12.6849166814002,0.00304649888678994,0.443810370881774
"Camk1d",-0.768100490112174,10.0826869042566,12.5135850304029,0.00319744855708774,0.443810370881774
"G6pdx",-1.73128903015328,5.09904107992429,12.461168073575,0.00324533130195803,0.443810370881774
"Gda",-1.0444570098686,7.29829092372646,12.4080519970555,0.00329469383622343,0.443810370881774
"Raph1",0.676937634967833,8.22680343054481,12.3873385216171,0.00331417661916213,0.443810370881774
"2510039O18Rik",-1.68834766777224,5.08090237259411,12.3605194095554,0.003339598970516,0.443810370881774
"Cul5",1.13224362322638,5.72002808418017,12.1213345817952,0.00357650055395388,0.443810370881774
"Slc4a7",0.975398359611199,6.43762235119017,11.9844058179435,0.00372078125971368,0.443810370881774
"Ndufs6",-1.13137254605282,6.75355681747461,11.9329686743138,0.0037766979481653,0.443810370881774
"Uba6",1.39841794659686,4.88131438549376,11.9303711641341,0.00377954715419258,0.443810370881774
"Slc11a2",0.831653472175574,7.06001098171787,11.8806942076015,0.00383451545144094,0.443810370881774
"Pxdc1",1.15883220429025,6.06653430753405,11.7611473136725,0.00397059908498497,0.443810370881774
"Bcl2a1b",0.704606222516601,8.31368753844847,11.7110122839318,0.00402931345358604,0.443810370881774
"Mafk",0.949979664407392,6.34763340999402,11.7034306513008,0.00403827898111345,0.443810370881774
"Gt(ROSA)26Sor",1.27255220965699,5.06089539627258,11.615438752928,0.00414402557769908,0.443810370881774
"Tma7",-0.869871674882358,7.63402228870186,11.5687720529617,0.0042013969910733,0.443810370881774
"Pdlim5",0.69298368860563,8.39213011893636,11.3094024771822,0.00453738389585126,0.443810370881774
"Uqcr11",-1.13912678267683,7.85958191536731,11.93606380036,0.00467177982885034,0.443810370881774
"Slamf9",-0.783149946147282,7.57948864011458,11.1986896118014,0.00469012693007426,0.443810370881774
"Elk3",-1.06349052472136,6.29571819685982,11.1730977977047,0.0047262695598067,0.443810370881774
"Zfp292",-1.54259803775776,5.1124337300015,11.1456739898543,0.00476535509746126,0.443810370881774
"Arhgap10",0.702624868156507,8.14248686208978,11.1059197743627,0.00482267563873164,0.443810370881774
"Alcam",0.99704802782032,8.57060426924945,12.0003172880029,0.00482504982287151,0.443810370881774
"Ei24",-1.65643073172954,4.88795980954341,11.0571282385375,0.00489411280995074,0.443810370881774
"Nfatc1",-1.42922288364672,5.26657527310989,10.9972222347651,0.00498349191110086,0.443810370881774
"Top1",0.619577445941975,8.70782806776734,10.8309247436619,0.00524160287981437,0.443810370881774
"Phldb1",1.08218214163791,5.54110277387938,10.821636130663,0.00525646684014017,0.443810370881774
"Odc1",0.709409906075794,7.29798840959772,10.8079163491347,0.00527851042061076,0.443810370881774
"Dtnbp1",0.708977163473927,7.71938433798933,10.7530654646552,0.00536770732143265,0.443810370881774
"Hnrnph1",0.738612934656223,7.42748985281676,10.7361773228343,0.00539551825374236,0.443810370881774
"Snrpf",-1.18029847339596,6.92520645322782,10.8782642728495,0.00542572415512645,0.443810370881774
"Tceal8",0.919292992188553,5.98632887624789,10.6510309288603,0.00553828265476661,0.443810370881774
"Lemd2",-1.78018955751524,4.79666938097412,10.6411898645114,0.00555506133294828,0.443810370881774
"Usp18",1.06070068609369,5.39792295706009,10.594824800379,0.00563490259505968,0.443810370881774
"Morf4l1",-0.737892809775101,8.3910279088114,10.5799954888338,0.00566071673658255,0.443810370881774
"Dyrk1a",0.659984067083954,7.95761457467862,10.5411509709146,0.0057289823938214,0.443810370881774
"Tomm7",-1.02667440489721,7.73994863646383,10.7615921884287,0.00573445286752878,0.443810370881774
"Nufip2",0.745580745537562,7.88175021473964,10.5164471919933,0.00577288933824069,0.443810370881774
"Pgghg",1.68202408267785,4.59408595386993,10.4402927850776,0.00591069588033458,0.445174428826172
"Bcl2a1d",1.00728478855304,5.45277019777356,10.2986033796248,0.00617728533724255,0.445174428826172
"S100a6",-0.90850062180816,9.58016134175048,10.5733760026085,0.00625136705318489,0.445174428826172
"Plxnd1",-1.15219687916413,5.54418865360874,10.216514708617,0.00633805333292675,0.445174428826172
"Pigt",-1.50096784525738,4.94583698408473,10.1399140395045,0.00649242782092812,0.445174428826172
"Ccl12",-0.779762947105851,9.65694036323533,9.95364855111185,0.00688620275064819,0.445174428826172
"Rps27l",-0.740613107308391,8.15288631118872,9.94398173497697,0.00690737743699259,0.445174428826172
"Tnfrsf12a",1.01199006827345,5.75584878016398,9.92645083120832,0.00694596946368163,0.445174428826172
"Pla2g2d",1.13331031486244,6.13329449282165,9.93286102796753,0.006960981152624,0.445174428826172
"Ecm1",-0.841434427245285,7.63578699939031,9.87037904336028,0.00707108059660476,0.445174428826172
"Bcar3",1.02223082257453,5.30584003256323,9.83532883337968,0.0071506039572227,0.445174428826172
"Gm2000",-1.32205965017441,5.57136663769582,9.83036716551003,0.00716194415365465,0.445174428826172
"Snx30",0.80713149411334,6.5009183400036,9.81584967587868,0.00719524383797672,0.445174428826172
"Gbp2",-1.14928962485393,5.54738925007695,9.81576055740713,0.00719544880424815,0.445174428826172
"Hspb1",0.781276537071811,9.39882799652442,9.89890918843584,0.0072129770342806,0.445174428826172
"Was",-1.21287266290428,5.57848861595293,9.79421082274984,0.00724520956607418,0.445174428826172
"Dmd",-1.93278209667715,4.91276918423594,9.68603589454244,0.00750106164549633,0.445174428826172
"Gm49662",1.14945568957494,5.72264034755276,9.68532132700328,0.00750278596049035,0.445174428826172
"Rmc1",1.53266432163394,4.6503530613502,9.67630134815462,0.00752459125287035,0.445174428826172
"Gm17056",0.946378936602545,5.97818217627037,9.66738673394374,0.00754621354519061,0.445174428826172
"Rnpepl1",-1.23866240795418,5.3528811794273,9.6118296787394,0.00768258983811551,0.445174428826172
"Gm42418",-1.03092012124936,14.4239892658839,10.860260611407,0.00780549193469738,0.445174428826172
"Ndufa5",-1.08862951478012,6.9116634418162,9.64317014417457,0.00782135073830679,0.445174428826172
"Rsrp1",0.730905175237878,7.79776652747324,9.55540083745831,0.00782401919799722,0.445174428826172
"Mmp13",-1.32581012663666,5.41494115409447,9.52543829256525,0.00790033261212701,0.445174428826172
"Lgals3bp",-0.767640620712591,7.35489786870192,9.49796784808664,0.00797105274710031,0.445174428826172
"Tcf25",-0.862903820754825,7.12121480832261,9.49709336217442,0.00797331597477349,0.445174428826172
"Samd4",0.742624291491059,7.28939151570216,9.4938631101191,0.00798168249960794,0.445174428826172
"Lsmem1",1.01546721456928,5.53381331103838,9.45566817103629,0.00808137986753496,0.446358932683557
"1110004F10Rik",-1.04300901009576,5.9498889270413,9.38355368761813,0.00827355144611574,0.448975608667256
"Suds3",-1.27621030501442,5.1745387425913,9.35501494284246,0.00835105168276372,0.448975608667256
"Npc1",0.780226839518933,6.34979710048119,9.30478393625489,0.00848950016765688,0.448975608667256
"Dnajc19",-0.915195728958923,6.11178575626664,9.27943575728548,0.00856036848064575,0.448975608667256
"Csk",-1.00279786129858,6.06977251039479,9.25926903107603,0.00861723757396835,0.448975608667256
"Magi3",0.837114082248799,6.28351364825064,9.20754801411598,0.00876508876436224,0.448975608667256
"Tuba4a",1.06595587188343,5.37372316988557,9.20717332428712,0.00876617047637552,0.448975608667256
"A4galt",-1.06357735233296,5.71924859644905,9.16583595353437,0.00888645969319884,0.448975608667256
"Car8",-1.72829667214602,4.77805233109296,9.15296239848449,0.00892430855878965,0.448975608667256
"Sec61b",-0.712262989294978,7.81199592153686,9.11094699216577,0.00904913461755765,0.448975608667256
"Trim25",0.70187946541981,7.46090223838605,9.10320086525425,0.00907236709409234,0.448975608667256
"Rrbp1",-0.645731564086618,8.61950872574293,9.10206003638347,0.0090757945151581,0.448975608667256
"Mrps21",-0.875710990312291,6.81357117770408,9.06811852620208,0.00917845176598983,0.45013975945445
"Mxd4",-0.988839742736568,6.45344458285077,8.94281744737083,0.00956919469133436,0.459767743463557
"Taf4b",0.890782112782296,6.45962454326355,8.93067750775873,0.00960806093135471,0.459767743463557
"Eif4e",0.651488194500486,8.46063787118644,8.92020474889837,0.00964173593003542,0.459767743463557
"Ssh2",-0.764536755371423,7.6641478109967,8.90278941109606,0.00969803642391051,0.459767743463557
"Rangap1",-1.44752922935827,5.0576412197283,8.86846297643759,0.00981012082889629,0.461191181974796
"Ncf1",-0.903188017622494,6.61618796031224,8.84196085074003,0.00989767925471834,0.461191181974796
"Cxcl1",0.615893902035733,8.82817798753268,8.8064372079835,0.0100164604317961,0.461191181974796
"Nr1d2",0.987452069730194,5.66823770999968,8.79580511742409,0.0100523302100325,0.461191181974796
"Myl4",2.37605995899046,4.98234249763042,10.4761374371672,0.0105346323726712,0.475883690787033
"Capn2",0.706553404426212,7.25664786082559,8.64875072371091,0.0105639637461482,0.475883690787033
"S100a13",-0.627140056614368,7.78217080791154,8.63216718454478,0.0106235241219816,0.475883690787033
"Snx20",-1.21749942203378,5.53210323565725,8.5311728091888,0.0109947258374178,0.479760859146659
"Ccl9",-0.597392729826926,9.07897484692634,8.52751532194616,0.0110084470317221,0.479760859146659
"Parp9",-0.966744560360982,5.92596126912495,8.51753814852438,0.0110459773328497,0.479760859146659
"Baz1a",0.612143858831136,7.88965082138715,8.51716006156846,0.0110474024517863,0.479760859146659
"Lyve1",-0.728505534086203,9.23922821938821,8.47769021516819,0.0112538161745785,0.481026486617854
"Igf2bp2",1.65525592973443,4.39293402025383,8.44911156957387,0.0113073875553389,0.481026486617854
"Tes",-1.14550114540028,5.38856110414293,8.42772182431879,0.0113905625178913,0.481026486617854
"Znrf1",0.807057123167749,6.14968030123327,8.42153262351466,0.0114147610640552,0.481026486617854
