"","logFC","logCPM","F","PValue","FDR"
"Ifit1",2.68208112744869,7.45509045711022,51.4851807717621,7.78394204676151e-13,3.50900107468009e-09
"Ifi27l2a",1.72409030309244,10.1116771866169,41.1925687612535,1.53553065124732e-10,3.46108608791146e-07
"Rsad2",3.17458067194379,6.20092046046315,31.5790903257926,1.97176370590734e-08,2.9629035954101e-05
"Angptl4",4.45694322984837,5.8819866521892,29.1352470910122,6.92119100874857e-08,7.80018226685964e-05
"Ifit3",1.97331708376156,7.12904424352184,23.3326706830323,1.38510737566487e-06,0.00105164084042485
"Neo1",2.57033735199912,6.26168287768924,23.3124610967391,1.39969943268614e-06,0.00105164084042485
"G0s2",-1.46128606492816,9.10800820524683,16.9333300633967,3.90757670657964e-05,0.0251647939903729
"Zfp608",1.60879091469297,7.22671551699923,16.4544550133144,5.02528740903939e-05,0.028317494549937
"Gbp5",2.13600071140551,6.17024816922386,15.0920730699043,0.00010322558868254,0.0517045504200989
"Gm4951",1.85478490075542,6.44221927613096,14.8513574277686,0.000117563265741891,0.0529975201964445
"Mt1",-1.08621888638918,11.1577513461162,13.74795816879,0.000210703820459789,0.079652530353996
"Samd9l",1.6601451857581,6.74692428733976,13.5793429100076,0.000230028485349724,0.079652530353996
"Bst2",1.17251456869104,8.49062580728408,13.4787180595111,0.000242913665316704,0.079652530353996
"Isg15",1.16046152400747,8.53458355510536,13.372607716853,0.000257129335244056,0.079652530353996
"Trim30a",1.68940578707999,6.59027027650958,13.3131647935872,0.000265037257167245,0.079652530353996
"Myh6",1.23423590238395,8.00283375216071,13.1685406464902,0.000286819218530144,0.080811314820868
"Igfbp5",1.97176651889053,6.18070969012769,12.973754290866,0.000318187112917195,0.0843757355900422
"Mcc",1.60547478473076,6.5772963660279,12.0569381051803,0.000518760622105646,0.124236074043561
"Samhd1",1.59407787668193,6.62361113120773,11.9756338931882,0.000541503594945736,0.124236074043561
"Camk1d",0.939344442196788,10.2080327733011,11.8009395481966,0.000594676057901234,0.124236074043561
"Gm20559",1.70166690720029,6.37087277648072,11.7830279209232,0.000600417669895895,0.124236074043561
"Jam2",1.51219785364374,6.84587281657199,11.764860443554,0.000606298497994309,0.124236074043561
"Hmgcs2",1.46008373151494,6.97007464194393,11.5868968542758,0.000667074121568278,0.130746527827383
"Cxcl9",1.73149586239422,6.26616409718011,10.9391036626622,0.00094524212733965,0.17063794548725
"Ly6a",1.12496251640863,8.04507760376901,10.9370164693411,0.000946306263793535,0.17063794548725
"Stat1",1.53808832672869,6.53245065908692,10.7084218517421,0.00107063938478054,0.181444245587683
"Hdac9",1.29871362319122,7.2322677135294,10.6273305229184,0.00111860261266454,0.181444245587683
"Oasl2",1.57952813899647,6.41663634299839,10.5814448807932,0.00114648725851416,0.181444245587683
"Podxl",1.45278944307294,6.80698023619841,10.5495704361603,0.00116723228084357,0.181444245587683
"Cr1l",1.46978670153555,6.68429275114409,10.2547426778418,0.00136807138888802,0.205575527370241
"Ttn",0.918608877135597,9.47190261776104,10.1857083867765,0.00142023354874768,0.206529446379179
"Rnf213",1.11813524537687,7.74484044283361,10.1000456547016,0.00149150080407553,0.207260419262428
"Ccdc85b",1.28394840406742,7.17737272575,10.0637640938852,0.00151721247463623,0.207260419262428
"Cxcl10",1.06515388208196,8.12987474711901,9.92975430843905,0.00163348206352389,0.216580504187227
"Dnaja4",-2.10099417818972,6.42769438818761,9.44986169838695,0.00211796029979772,0.27191304711342
"Sox4",1.30641977651124,7.00936172669073,9.36064960564446,0.00222344611266005,0.27191304711342
"Cxcl1",-1.21464492314166,8.21176324489098,9.32041883854853,0.00227274458249413,0.27191304711342
"Mt2",-1.11446881462811,8.64100717346929,9.29244504965233,0.00230767585038096,0.27191304711342
"Cdkn1a",-0.928669015175001,10.3094436518854,9.2588152298584,0.00235239770129179,0.27191304711342
"Ppp1r10",-1.43095555918788,7.3939901535729,9.11949984987625,0.00253721003778224,0.285065792723514
"Fabp4",0.77499515409166,11.6167728201844,9.10496313305449,0.0025926569435812,0.285065792723514
"Slc10a6",-1.28295098695173,7.70970917711625,8.96636755621211,0.00277444138413097,0.297790041896724
"Wee1",-2.28808085800995,6.23318813955559,8.87960546437727,0.00289388979804336,0.303387330455337
"Ifitm3",0.802733920462808,10.4711287868557,8.80510799582176,0.00301240598877033,0.308634686304015
"Lrmda",1.06282603173279,7.61275642945293,8.7029941959133,0.00318504493874291,0.31358372850545
"Pnp",-1.01412982163202,9.01491829260363,8.69454175327592,0.00319983396434133,0.31358372850545
"Rasl11a",-2.65065912186813,6.04456776103047,8.57589526366185,0.00344077184040556,0.330021265032942
"Mgp",-1.28906043604398,7.55644127203197,8.41643859511116,0.00372768521579317,0.346775427960682
"Dnajb1",-0.968535242329982,9.23897677881897,8.3969986362478,0.00376929813000741,0.346775427960682
"Zbtb16",-4.09944876625177,6.46740808444601,10.0188029244643,0.00406140376693497,0.366176163626857
"Clk4",-2.22431767433784,6.18187807020468,8.14079268150948,0.00433789139276843,0.367562100476055
"Kdr",0.999578901089781,7.80917806691022,8.09870390749117,0.00444818318917279,0.367562100476055
"Nxn",1.63720651116796,6.09299275304327,8.08589747697907,0.00447113809205651,0.367562100476055
