"","logFC","logCPM","F","PValue","FDR"
"Irf7",2.0261647741,6.39031897040818,71.2405178525913,3.45427621240855e-09,2.64597557870495e-05
"Ifi44",2.51766460937189,5.16545502130025,47.4206902583969,1.72293159250949e-07,0.000659882799931136
"S100a6",1.34973005390716,7.87340328904097,46.733195857326,3.66082156499774e-07,0.000913775881708907
"Adamts4",-2.07794624206908,6.05563389030924,52.9675586609604,4.77167562250082e-07,0.000913775881708907
"Ier3",-1.09519710312523,7.49912199154829,38.8909741344495,9.60434677920259e-07,0.00147138592657384
"Ddx60",2.244256754999,4.82973939089964,35.1605198181389,2.18953017539812e-06,0.00259662392722884
"Ifi206",2.42598167496326,4.68024671870436,34.8082239643809,2.372893928277e-06,0.00259662392722884
"Eif2ak2",1.40803687572176,5.66197312477368,27.63094066778,1.36539050039464e-05,0.0130736140412787
"Chordc1",-1.0982367289662,6.21578834812645,27.1095645324132,1.56470447349029e-05,0.0133173736299285
"Stip1",-1.09865064677579,6.53625808239917,26.6757859667634,1.75436255907167e-05,0.013438417202489
"Gbp7",1.29658625749595,6.14402798882208,25.4165653788313,2.55136321600935e-05,0.0177667656678469
"Ly6a",0.829253875756359,8.92370295436734,24.5367978023784,3.12908592508773e-05,0.0195148929291107
"Slc7a1",-0.867609527268271,6.86623264030538,24.3317298850705,3.31192699841305e-05,0.0195148929291107
"Ifi213",1.91385694795985,4.85782328469562,23.1785028580995,4.59658176546095e-05,0.0251498688024506
"Lims2",0.896579958031858,6.948712574997,22.780252678586,5.12976702896996e-05,0.0261960102946066
"Uba7",1.76722945801383,4.79972561532768,22.1863887471705,6.08818496366022e-05,0.0291471855135233
"Zbp1",1.96067564223925,4.56569966373531,21.9263345108786,6.56693727423038e-05,0.0295898467768263
"Icam1",-1.3074505699715,6.83192704974659,27.0545979871117,8.05977834445851e-05,0.0307819150762439
"Osmr",-1.0741201089302,6.35547854604908,21.7395580715205,8.24860086553916e-05,0.0307819150762439
"Dhrs3",1.17850824034313,5.76278619347232,20.9693785361408,8.7086826115893e-05,0.0307819150762439
"Flnb",-0.81247186058967,7.63583208951016,20.9297740066859,8.81214777873033e-05,0.0307819150762439
"Emp1",-1.08368087403266,6.37839657013998,21.7846865661888,8.84075889918232e-05,0.0307819150762439
"Lgals3bp",1.80139463404709,4.91131516766381,20.7066666752971,0.000107185981722506,0.0343250279519642
"Klf10",-0.773246968222474,7.17774300582409,20.2506520708377,0.000108080183327314,0.0343250279519642
"Igfbp3",-1.62860499583218,4.64964013287733,20.1324109784612,0.000112026853629126,0.0343250279519642
"Hspa8",-0.755238409825503,10.5126981168151,21.0831872561985,0.000118025124380874,0.0347720174137499
"A330040F15Rik",1.42209596358613,5.51676804377281,20.4822847856763,0.000122716616953091,0.0348151587355807
"Stat1",0.916826027447644,6.73490194657153,19.5080498527966,0.00013560290213576,0.0358180134227173
"Clic4",-0.708044532834462,9.2169696156572,19.508036857197,0.000135603445072951,0.0358180134227173
"Hspd1",-0.878840529725696,7.58161909546536,20.0661526651517,0.000149634873104783,0.0381092632377941
"Xaf1",1.1494516970527,5.73330699238154,19.0923202808743,0.00015422808882136,0.0381092632377941
"Ech1",0.910731520472894,6.75438005909693,18.6691449092284,0.000176270330875464,0.0421947104533141
"Ptprk",-1.01288502930614,6.53709548880134,19.122526990703,0.00021567859303542,0.04982410722108
