"","logFC","logCPM","F","PValue","FDR"
"Ifit1",2.34905287497662,6.46275125748158,61.1756435552915,1.00642847213853e-05,0.0707618629249813
"Irf7",2.98782986313282,6.19115344234055,49.4315794028274,2.63361568463528e-05,0.0707618629249813
"Ifit3",2.6977104971146,4.93906829508748,48.7643820030082,2.7972329466686e-05,0.0707618629249813
"Ifit2",2.12470152779545,6.09937889282541,47.7165671872425,3.07928037097395e-05,0.0707618629249813
"Gm41505",-3.56207205681941,4.62417736038901,43.3389010161769,4.69294660287872e-05,0.0843345953991247
"Angptl4",2.77303149958761,4.76730892510105,41.7700338920332,5.5048691513789e-05,0.0843345953991247
"Pdk4",2.08786850410315,6.36787663331082,37.4012763976115,8.82149242391045e-05,0.115838797657978
"Ifi27l2a",2.44654732294457,7.23944301846988,35.9182697572833,0.000104577049763586,0.120159030178361
"Stard10",2.55426700814004,4.81080256340936,34.6876896199517,0.000120952352217146,0.123532669064445
"Lrrc10",-2.11473586676877,6.45738858413422,33.1480450717305,0.000145946643189624,0.134154154419902
"Myot",-2.59715818223475,5.55713980557183,31.7574500756364,0.000173964079816418,0.145370711061138
"Ucp3",2.50836933558288,5.01244789509255,25.3207764463882,0.000427486622584875,0.288297897274023
"Ifi204",1.57542303779762,5.44402783568431,24.5353099221185,0.00048248612553387,0.288297897274023
"A030001D20Rik",-2.13682666368762,4.90205409158347,24.4895818652639,0.000485939849236453,0.288297897274023
"Rsad2",1.60802351017107,7.20048613492665,24.2907641694496,0.000501302473212604,0.288297897274023
"Anks1b",2.12004747699419,4.58070283965183,24.2841422793736,0.000501824016142772,0.288297897274023
"Frmd5",-1.63249125598984,5.73549732461381,23.6577165024771,0.000554219201522196,0.299669582376001
"Bst2",1.421423420337,7.78556602875879,22.2811039710075,0.000694116991348033,0.353085345282613
"Hmgcs2",3.5735584786884,3.57407663345751,21.9822028815323,0.000729832632764323,0.353085345282613
"Cidea",2.15579957196385,4.17395621747428,20.775524140702,0.000898212115519016,0.41281828829254
"Cmpk2",1.69492093394071,4.79769771972922,19.5483047933178,0.00111915931255523,0.458070392519334
"E2f7",-2.4258246521273,4.4869097043317,19.5059527641034,0.0011278749444344,0.458070392519334
"Myl4",3.47006084715308,5.96133660797945,19.7297678429113,0.00119428620817801,0.458070392519334
"Ifi47",2.25850718033451,4.35993713130735,19.1220920007272,0.00121067300808427,0.458070392519334
"A730049H05Rik",-2.5018630101924,4.60188533130871,18.4638405114067,0.00137017687200495,0.458070392519334
"Cyp26b1",3.68803213344445,3.94338100990568,18.329309933647,0.00140579012083208,0.458070392519334
"Isg15",1.39179105658315,7.88180651904421,18.2913692662832,0.00141603257965662,0.458070392519334
"Tmem144",-1.60004511498458,5.7307834638371,18.2771734529862,0.00141988772807075,0.458070392519334
"Adra1b",1.78490623530526,5.01768145423399,18.1851856218822,0.00144517421486735,0.458070392519334
"Cpxm2",-2.74580571030045,4.68138675403626,17.5115194240173,0.00164766469038073,0.504844461132655
"Ifit3b",2.9031353788499,3.64141289823357,17.3370227676977,0.0017055199782256,0.505714181930636
"Mrnip",-2.23399626454058,4.34110193966333,17.0016930342334,0.00182364891129413,0.523843149769239
