"","logFC","logCPM","F","PValue","FDR"
"Ifi27l2a",3.06651934490053,9.80118374895372,108.78093661376,4.30758069786634e-07,0.00233126267368527
"Cxcl2",-2.14538912205907,6.5880197546937,50.9529074473363,2.79276739295331e-06,0.00755722856533165
"Phlda1",-1.64223811958423,7.00611085025412,44.6977122732283,6.09898551827656e-06,0.0110025698749709
"Dnaja1",-1.10268557446946,9.92568348966077,35.5730879752643,2.24472509893395e-05,0.0276863933707083
"Wnt4",3.1389972370211,5.00225850588624,33.9946752384524,2.88106016173021e-05,0.0276863933707083
"Ifit3",1.69304205897397,6.4520460997367,33.0213764242256,3.37430029027433e-05,0.0276863933707083
"Irf7",2.17459235790322,5.9909983195353,32.6603135825824,3.58101909820692e-05,0.0276863933707083
"Lgals3bp",2.2870351823704,5.42282059718302,30.82272580362,4.88220625129633e-05,0.0309996221033006
"Sele",-1.22307111685842,8.24986712596328,30.507791535413,5.15514779988369e-05,0.0309996221033006
"Zfp46",-2.46734357844187,5.55198491660376,29.5726284901367,6.75916193731408e-05,0.0365805844047438
"Pim3",-1.28520455127857,8.19163116037749,27.5346229974877,9.33444828027152e-05,0.0459254855389359
"Cyp26b1",2.17002348019936,5.43959020573265,26.6053325477852,0.000104662555003087,0.0472028123063924
"Gja4",-1.47492046507253,6.87367866932277,25.447773767511,0.000132885094208224,0.0547188189366902
"Ccdc141",1.41360177526622,7.13912533270731,25.1220087250377,0.000141549051203559,0.0547188189366902
"Birc3",-1.25193799171715,7.07544937162215,23.7112470696953,0.000185255557748759,0.0598234589129899
"Plscr1",-1.58369544668507,6.3773502142139,23.6247639670468,0.000197023337818876,0.0598234589129899
"Mob3c",-1.96655612824876,5.40163875814003,23.1109093543444,0.000209709233105971,0.0598234589129899
"Hsp90aa1",-1.04634197865018,10.5058555966001,24.1819105651708,0.000213063123302076,0.0598234589129899
"Adm",1.73633767444012,6.04619355398127,22.8647837165136,0.000220774522612813,0.0598234589129899
"Fxyd5",1.145287998296,8.46337352232268,22.9746927777562,0.000226802396196918,0.0598234589129899
"Prrt4",1.98861437098106,5.41690609762132,22.5752214746037,0.000234647427736794,0.0598234589129899
"Noct",-1.56626903425433,6.16389691040655,22.406491445557,0.000243184792329227,0.0598234589129899
"Hspd1",-1.04462995821649,7.29457406875466,21.8575941666053,0.000273486937409612,0.0643526654461226
"Stip1",-1.24677562237715,6.33584840480775,21.6488806353235,0.000286112844580871,0.0645184464529863
"Hspa8",-0.768791215465192,11.2507047880937,21.3656615800904,0.000304314377902255,0.0647073802035022
"Dusp2",1.25494464801811,7.04658485329193,21.1596938893279,0.000318375031651873,0.0647073802035022
"Rnd1",-1.25285571524035,8.92920415324921,23.1583073138924,0.000335107803107146,0.0647073802035022
"Litaf",-0.905936080035035,8.49177565114919,20.7030022619258,0.000352253341912709,0.0647073802035022
"Raph1",-0.982585608822027,7.44553715283835,20.5549516301362,0.000364098011756911,0.0647073802035022
"Hspa1a",-1.57325662568678,10.036187740932,27.9469026049078,0.000364386689480031,0.0647073802035022
"Cd200",-0.972867899801601,8.13708988444207,20.4754434723775,0.000370644639007496,0.0647073802035022
"Serpine1",-1.17277758246669,6.97128273585438,19.7380935596226,0.000438138854762585,0.0741002338117221
"Ppp1r14b",1.47390811176792,6.47307951761101,19.4925842645266,0.000474978836806941,0.0778965292363384
"Pim1",-1.10809774678811,7.92903198502674,19.1961908439664,0.00052118556812295,0.08160538536071
"Flnb",-0.907075824939028,8.55308260917068,18.9367961232136,0.00052775101397355,0.08160538536071
"Camkk2",-1.89689450378415,5.53054271831832,18.6343491837094,0.000609641432222909,0.0916494286441774
"Dennd3",-1.13561778383104,6.77570899971252,17.9342732835714,0.000670540714790059,0.0969999211621637
"Nfe2l2",-0.905093679308601,8.11266063938436,17.8596727249749,0.000682805899631364,0.0969999211621637
"Zbtb46",-1.41652246233233,6.45640666351276,18.0853334114432,0.00069900164917302,0.0969999211621637
"Pfkfb3",-1.18955437489907,6.74492993147148,17.6362185123841,0.000721092200976567,0.0975637747921295
"Ssh1",-1.24725511672758,6.90821877855915,17.6642252571088,0.000743427187983956,0.0981323888138822
"Hspb1",-1.38657685952761,11.293418886033,23.2869793352773,0.000784666855256148,0.101109929063006
"Samd4",-0.939974092901617,7.64742754758821,16.6960418987557,0.000911181165308621,0.114681685270936
"Pafah1b2",-1.05804458824815,6.19396544954769,16.5074853965096,0.000955806664827854,0.117564219773826
"P4ha1",-0.909240457066383,7.59445939903771,16.345465617342,0.000996137230720634,0.11788786155044
"Swt1",-1.2369922469522,6.81318533159876,16.5332930056589,0.00100200325781971,0.11788786155044
"Susd6",-0.794995832374101,7.94195620646128,16.2199484784715,0.00102870930485629,0.118454782082601
"Ctps",-1.4298523674041,6.06344876048707,15.9572470685721,0.00113803684025082,0.121851342073728
"Socs2",-1.49010955698907,7.73806791364214,19.3510878050617,0.00114243483596999,0.121851342073728
"Sik1",-0.90181729733754,7.02522486677612,15.8041616603527,0.00114555025610235,0.121851342073728
"Pglyrp1",1.83099805265964,5.40928784454145,15.6967600124857,0.00117944787303228,0.121851342073728
"Eif1a",-0.976812030510248,7.61552834833531,15.6310125337518,0.00120894743539723,0.121851342073728
"Cdh13",0.900076104119296,9.04447657117226,15.6650523554583,0.00122718058536239,0.121851342073728
"Spats2",-0.979408066349016,6.93247766120771,15.5127568888509,0.0012364130408546,0.121851342073728
"Grina",0.877583209682761,7.36964763098927,15.441880627283,0.00125973054228767,0.121851342073728
"Plxna2",-0.859661217175035,7.80289729903668,15.2967493018583,0.00130904980883655,0.121851342073728
"Olfml2a",1.84203236163541,5.20413423527085,15.2888328576052,0.00131180233562711,0.121851342073728
