"","logFC","logCPM","F","PValue","FDR"
"Irf7",2.23045856955241,7.61401181251543,337.182500765805,4.15176226736437e-10,5.65511538437701e-06
"Lgals3bp",1.18328501342095,6.20511604200353,170.371155937573,2.02547857201236e-08,0.000137945218146902
"Zbp1",2.20075900128928,4.03642352102173,129.314366912295,1.15821780633687e-07,0.00037099476546594
"Slc24a2",1.717024758636,3.56894172834613,123.648430679419,1.19588658868515e-07,0.00037099476546594
"Phf11d",1.18991481441637,6.67205840207065,115.845596955525,1.7070526539256e-07,0.00037099476546594
"Angptl4",1.33821030250048,5.72298853465125,114.066573045746,1.85701907444549e-07,0.00037099476546594
"Apol9b",2.67813533560428,2.54392884294311,111.891014528265,2.06182145865882e-07,0.00037099476546594
"Ifi206",2.67211190615737,3.57168420074611,121.851344199138,2.17895758294363e-07,0.00037099476546594
"Ifi208",1.34743184960045,4.69624847382904,97.4775301651027,4.33785165717855e-07,0.000656509749138101
"Ucp2",0.959043349643925,6.26404632188318,91.7154902596975,6.0063280885273e-07,0.000818121948938303
"Phf11b",1.84241981108071,3.27389848602814,89.8628526687176,6.69487981673595e-07,0.000829008708943277
"Ube2l6",1.14908621883472,5.05096892956673,88.1148718134207,7.43045651137313e-07,0.000843418734511779
"Nod2",-1.07524998236376,5.63590073138235,83.4146194670636,9.92739308676721e-07,0.00100818552096552
"Ddx60",1.34527749337332,5.88226591405946,91.4738816950355,1.07385857841941e-06,0.00100818552096552
"Tgfb2",1.31087279527523,3.9094583300392,81.6598651988684,1.11025496031736e-06,0.00100818552096552
"Sp110",0.871471764455946,5.41829917982577,80.3339251893794,1.20990697477112e-06,0.00103000893145984
"Ifi44",1.67582272582763,6.93304081042848,109.992024540365,1.30431968594006e-06,0.00104506696718762
"Slc1a1",-0.982879950059104,7.13128113501501,74.754390475893,1.76205714029591e-06,0.00123981407423441
"Xaf1",0.969804948911303,7.14186479205614,74.4896952321481,1.79484790940565e-06,0.00123981407423441
"Agrn",0.842183278597014,5.92456750255377,73.574096762265,1.91390140506237e-06,0.00123981407423441
"Sh3bgrl2",-0.962057020613456,5.570461902853,73.4090085497906,1.93633647698063e-06,0.00123981407423441
"Mxd1",-0.986581802531992,5.14061033310304,72.9349357927481,2.00248951128089e-06,0.00123981407423441
"Sh3pxd2a",-0.778785928463294,7.01643574282946,72.2516448232118,2.10253974639738e-06,0.00124516060372516
"Ifit3b",2.2327110289723,5.03008351633645,116.799460540573,2.28937169542051e-06,0.00129931382763845
"Dhrs3",0.921430249487185,7.16427268936413,64.8288979330458,3.67015184803072e-06,0.00185905276185048
"Dhx58",1.48675302504231,3.38313364657201,64.6430767803194,3.72426962377339e-06,0.00185905276185048
"Lpar4",1.07166906803772,4.12084201641042,64.5063663036289,3.76468018852227e-06,0.00185905276185048
"Ech1",0.876599250204048,7.6267261697552,64.316814903322,3.82156062930866e-06,0.00185905276185048
"Oasl2",1.0745273157756,6.36130888331472,66.9814433477256,4.17729504124594e-06,0.0019398331377286
"Stat1",0.840280956316102,6.88237917371134,62.9219755695176,4.27244652608898e-06,0.0019398331377286
"Adrb2",-0.793887644726634,5.33667238233888,62.0465569949326,4.58718188802003e-06,0.00196341910576023
"Mill2",0.741261355460877,5.37429754242209,61.6794310018226,4.72718134979536e-06,0.00196341910576023
"Rin3",-0.790746569888188,6.96718971403732,61.6033020034256,4.75683360179779e-06,0.00196341910576023
"Slfn2",0.948100078492569,6.70227901522463,58.8398054707007,5.99628302325913e-06,0.00240221679587684
"9630014M24Rik",-1.12126895368737,4.6184706042153,58.0492426434175,6.4177971675365e-06,0.00249762329197185
"Slc7a5",-0.83012232466604,5.34554269805045,57.1225554079946,6.95672114466008e-06,0.00260473282078221
"Adar",0.739898602723047,5.34119714825179,56.0679043503708,7.63563532199719e-06,0.00260473282078221
"Olfr1396",1.30665899192782,3.55018055638467,55.8582625118541,7.7796470205006e-06,0.00260473282078221
"Apol9a",2.56971491031096,1.61176410732843,55.5946566895651,7.96525600544069e-06,0.00260473282078221
"Ifi27l2b",3.22893477488429,1.05385674887217,55.3822273839409,8.11860221830142e-06,0.00260473282078221
"Slc6a6",0.775519728468181,8.7383355032687,55.3057370984524,8.17466078277657e-06,0.00260473282078221
"Hist1h4i",0.908835942691272,4.35415551674532,55.019322590303,8.38862501531777e-06,0.00260473282078221
"Trim34a",0.944463923176128,4.95391567741049,54.9828494643804,8.41633895895331e-06,0.00260473282078221
"Bst2",0.872020776804184,9.70601014870757,54.7630671541966,8.58562183625643e-06,0.00260473282078221
"Rnf24",-1.05972662793025,5.2521652222911,55.8945738843845,8.82053765028875e-06,0.00260473282078221
"Dnaja1",-0.987814103176684,10.916009401968,55.8619435137341,9.16017389122666e-06,0.00260473282078221
"Malat1",-0.640684951061145,13.993330483495,54.0405175132165,9.1708652002426e-06,0.00260473282078221
"Parp11",1.11562551163702,4.62116811293035,54.0308555305028,9.17900120384303e-06,0.00260473282078221
"Ahcyl2",-0.786217797073291,5.80598677075869,53.7902887953075,9.38431851665144e-06,0.00260864903092468
"Trim12a",0.68706300548327,6.22794924278131,53.1683271549609,9.94050531077018e-06,0.00270799245676001
"Gbp3",1.05687113282879,6.59479380904691,58.668711056399,1.01545345187999e-05,0.00271205715059948
"Gm5431",2.4597635878176,1.30749519355238,52.349285884711,1.07327626024626e-05,0.00281136460400276
"Vash1",-0.887522708405462,4.50751136835347,51.3503584322113,1.18010096220078e-05,0.003032859472856
"Aqp7",0.866905486727956,7.12096201055742,51.1355583633395,1.20466601500587e-05,0.00303865847970277
"Litaf",-0.824541980194439,8.68585668011315,50.8783706004286,1.23486866141128e-05,0.00305820837037874
"Rab8b",-0.634172285697434,6.58107909927475,50.5068754445263,1.28007107201351e-05,0.00310285747719991
"Csrp2",-0.716634082954504,6.58043991043347,50.3228466940241,1.30317764423719e-05,0.00310285747719991
"Spaca6",-0.639207327570339,6.46741816090732,50.1816474873862,1.321237307669e-05,0.00310285747719991
"Trim12c",0.72324992975887,5.37351791840707,49.4882178466727,1.41428686886149e-05,0.00324545949712377
"Ppard",-0.842166283197601,5.91536283020069,49.2563273968818,1.44709682771881e-05,0.00324545949712377
"Sik1",-0.793472188884289,7.43991150146117,49.2122060889069,1.45343975717311e-05,0.00324545949712377
"Bcor",-0.656688541026687,6.12465269998511,48.9617611157735,1.49006558884363e-05,0.00327357796542565
"Tnfaip8l1",-1.05390339625579,5.64769161915171,51.9183318832914,1.77474865315731e-05,0.00383711927058027
"Rassf1",-0.649209971420347,7.88745668628373,46.8102200319031,1.85341324356629e-05,0.00394458465478383
"Sqstm1",-0.712048290979523,8.73356234029955,46.6158987758604,1.89105964722537e-05,0.00396278822382412
"Isg15",0.810610915769951,9.48359473909097,46.2716375524599,1.9599706773937e-05,0.0040441216959468
"Kansl1l",-0.804391637175223,6.67872302443963,46.1296072751159,1.98925301834253e-05,0.0040441216959468
"Ada",-1.10853562176602,4.11954852814145,45.9075551029578,2.03606412003518e-05,0.00407841608514694
"Ptpre",-0.778281050755173,6.35867244413863,45.412698482088,2.14509439252838e-05,0.00423454068414913
"Cnksr3",-0.905229652830343,5.90537093733049,46.5790198310579,2.17791617172515e-05,0.00423791373929547
"H1f0",0.776994492549225,6.22236736551318,44.92549071599,2.25916152536164e-05,0.00433409001928887
"Naa16",-0.771668108281254,5.37570971876198,43.6492303055161,2.59320637823673e-05,0.00487747086877513
"Piezo1",-0.609325917447006,7.91335501041849,43.5761576215623,2.61401786521243e-05,0.00487747086877513
"Rhbdl3",-0.968742557136875,4.38315580417273,43.0030812018506,2.7841781091113e-05,0.00512476892218986
"Ifi27l2a",2.08015324537957,6.39124004738771,85.5197850981081,2.92109471363449e-05,0.00521066708612051
