"","logFC","logCPM","F","PValue","FDR"
"Ly6a",1.1237952825843,9.59696172918348,112.440786906934,7.0707787309286e-07,0.00534510250583707
"Ifi27l2a",1.58080932699129,11.0972061375018,108.206747063229,8.48698397243105e-07,0.00534510250583707
"Ifit3",2.03432997751669,6.30789836637377,93.7896799265192,3.14118792594917e-06,0.0131888010384186
"Vipr2",1.66466154009291,3.44105671939319,71.6912841743739,5.78427775038787e-06,0.0154662003663244
"Lgals3bp",1.04770790241228,6.64185192682192,70.7610480535487,6.1393300914276e-06,0.0154662003663244
"Sp110",1.23457429962542,4.78272636475228,66.3260458444568,8.23668456967662e-06,0.0172915464732745
"Adamts12",0.956475997607032,6.03359707521034,58.7740618580313,1.41701608910156e-05,0.0184696992448748
"Tgfb1",-0.878589346217966,6.22647391775716,58.4055804675658,1.45724067208856e-05,0.0184696992448748
"Aqp1",-1.11452919404998,6.5661062180695,57.5211671593851,1.5594846803266e-05,0.0184696992448748
"Bst2",0.852119134307021,8.25617078139078,54.588585825815,1.96563098056208e-05,0.0184696992448748
"Cmpk2",1.41474124971205,4.10834958752344,53.858153428618,2.08572862586397e-05,0.0184696992448748
"Cpt1a",0.9808976468811,5.39580593728292,53.8168986395483,2.09276938220056e-05,0.0184696992448748
"Usp18",1.40163231561983,4.52772296556754,53.5615035373511,2.13699370409672e-05,0.0184696992448748
"Timp4",-1.13969755546343,4.31495273762707,52.8720863720178,2.2620628414883e-05,0.0184696992448748
"Basp1",0.971492868583302,5.45753772040948,52.6602237843618,2.30224052934397e-05,0.0184696992448748
"Bdnf",-1.86450057718637,5.74245742332252,60.5162979813451,2.37460696704788e-05,0.0184696992448748
"S100a9",-1.82332466090288,3.52023190301425,51.712531143359,2.49273489332226e-05,0.0184696992448748
"Ly6e",0.806760654595028,8.59455935202003,50.1048894749914,2.86082378050633e-05,0.0200194090773654
"Ifit3b",1.88557682790996,4.49723600812519,51.7292711211715,3.68869675429272e-05,0.0244541180616163
"Irf7",1.20195058166105,6.12235083020422,45.9891202541334,4.29626209363398e-05,0.0270578586657068
"Slc7a1",-1.06216718297353,5.89689229315016,43.8030924763457,5.10179641399479e-05,0.0306010607765135
"Ier3",-0.746288274476741,8.46941847991916,42.8837197154129,5.58283864562408e-05,0.0310655990451723
