"","logFC","logCPM","F","PValue","FDR"
"Ifit2",3.90683778202105,6.13827477077306,89.1645899138549,5.21839164966398e-08,0.000225382335348987
"Rsad2",2.313613125309,8.50506694164797,80.5173668869557,1.05467583377896e-07,0.000227757246304567
"Ifit1",3.16693925582803,7.33263681013576,74.2379493343032,1.9237574046371e-07,0.000276956941020921
"Ifit3",4.06592412387828,5.99293764575926,63.9841593676619,5.02777561985921e-07,0.000542874072554298
"Isg15",1.82797876307615,9.29031540495437,44.645968383819,4.8250224345516e-06,0.00389168014957992
"Ifi27l2a",2.06199207543496,10.3090630125328,45.3328981229004,5.40636279172945e-06,0.00389168014957992
"Oasl2",1.70263596351623,7.7716196063758,39.2331216631888,1.04507296761306e-05,0.0064481002101726
"Gk",-1.57217634925085,8.14637288930499,31.1009366300554,3.91547686759438e-05,0.0168300110264123
"Ly6a",1.41632816368815,8.38907773751817,30.9844389008732,3.99691908099118e-05,0.0168300110264123
"Ifitm1",-1.61121100702717,9.03248230854547,30.8055471523658,4.1257147475847e-05,0.0168300110264123
"Rbm47",-1.90108127956082,7.67937879345996,30.5909532377204,4.28641169924832e-05,0.0168300110264123
"Slfn4",1.37863587593293,8.76207299187778,28.5025009128113,6.27843408021447e-05,0.0225971306603719
"Oasl1",1.94927758558221,6.12525918708759,27.6889723416326,7.32170891415293e-05,0.0243249698463281
"Gbp7",1.81913757669008,6.74834021105368,26.5899925758289,9.05478910840583e-05,0.027934024399432
"Ifi44",2.59833926547259,5.48191748228684,25.2543725290471,0.000118142442025234,0.0332417168492329
"Xaf1",1.83355114819899,6.04965956858135,24.6409623209329,0.000133899241042692,0.0332417168492329
"Taf4b",2.09022647761539,6.04020223448369,24.6284814029015,0.000134243507785615,0.0332417168492329
"Ifih1",1.92533857973281,6.43081333058407,24.4757081376375,0.000138539222803008,0.0332417168492329
"Irf7",2.36941291424964,6.85302165184951,25.3524000687383,0.000214306079150743,0.0462499566802779
"Parp14",1.3351573954316,7.87010965812098,22.2564580556473,0.000222135744353079,0.0462499566802779
"Cd300lg",1.39121922382891,7.28282099640766,22.1947932569451,0.000225160797472073,0.0462499566802779
"Cd14",-1.94094053380307,9.38577984631022,24.2932506654311,0.000235586720760851,0.0462499566802779
"Ddx60",1.69273120294218,6.86479147197989,21.2417509682936,0.000278338516828281,0.0522671327904933
"Il18rap",-1.35659320729871,7.66079237236951,20.1610424247029,0.000356489148179699,0.0641531929578383
"Herc6",1.45803325140415,6.80144706954389,19.6501369057798,0.000401831430523695,0.0694203979372736
"Bst2",1.30567068450785,7.43825081564198,19.1051179158377,0.000457501690490988,0.0759980692780991
"Fbn1",1.42519717677996,6.6957066368082,18.8987698464228,0.000480806066267468,0.0769111629707108
"Cdkn1c",1.6118443965556,6.2979465601422,18.580671859271,0.000519397876038286,0.0801171223789056
"Plpp1",1.39811759867197,6.65690155958186,18.287996199538,0.000558010652885214,0.081092297245808
"Gm13822",1.91431479790357,5.80122236815253,18.2498938688472,0.000563271339980143,0.081092297245808
"Cd200",1.41097208525577,6.64621499628133,17.6559531365699,0.000652943503401179,0.090969773909345
"Fabp4",1.05739242873447,11.9747526617516,17.2354834127291,0.000726160405225675,0.0946061284478256
"Parp9",1.40804158098357,6.52558526417109,17.1786554369038,0.000736747842794932,0.0946061284478256
"Ifi204",1.32815647644984,6.97451772708511,17.1172978436987,0.000748374955397915,0.0946061284478256
"Col3a1",1.72362778983426,7.27378392047808,17.9217977235104,0.000766662305087727,0.0946061284478256
"Lrg1",-2.11693558727736,7.38189889760171,17.9565581230762,0.000812290128526235,0.0974522518084669
"Wfdc17",-1.57984006546133,8.38730817023268,17.4484852673236,0.000837896587312142,0.0978074421784092
"Gm32401",-2.46697250615249,5.74636779591396,16.505998445766,0.000876234106955064,0.0985054846981284
"Rnf213",1.06957830832921,8.36737587111014,16.3750283082732,0.000906727747527739,0.0985054846981284
"Gbp3",2.11862887982861,5.45222717836427,16.3516365799459,0.000912299001603412,0.0985054846981284
"Lpcat2",-1.35115615813726,7.83835105066812,16.2462695967554,0.00093787761950497,0.0987974009424869
"Fstl1",1.42031588268086,6.96147822375312,15.8679137995176,0.00103662273502571,0.105191899022283
"Kcnq1ot1",1.31096025774784,6.67178795288106,15.8140182567081,0.0010516202904152,0.105191899022283
"Uhrf1bp1l",-1.54878376280967,7.0460512762024,15.7433859224664,0.00107164703796723,0.105191899022283
"Trps1",-1.08358777287745,9.09013803185633,15.6500940673896,0.00109876102555139,0.105456641541254
"Gas1",2.06935355730862,5.43312579365648,15.4468549587866,0.00116055075489879,0.108965624139301
"Tnfsf10",2.13563292718351,5.31622016873855,15.2054144432007,0.00123910733819111,0.113059209421252
"Dgat2",-1.98154763942572,6.06127650367339,15.1176579595357,0.00126913297649262,0.113059209421252
"Rasa2",-1.22514965162769,8.20620946655236,15.0788232329525,0.00128268146831242,0.113059209421252
"Gpr35",-1.40675370453918,6.8779731488765,14.892097767374,0.00135014625410635,0.114363630612802
"Alcam",-1.07535271111156,10.804746167535,14.8913111723536,0.00135043879630769,0.114363630612802
"Gm34589",-2.13730510922398,6.0014814859903,14.7296314688444,0.00141211570094035,0.11527253916314
"Pml",2.15094604900071,5.31540741872147,14.7234126517475,0.00141455072369679,0.11527253916314
"Runx1",-1.12345049584366,8.64531487914429,14.5192685885391,0.00149717752451338,0.118694042282997
"Rtp4",1.31633121093765,7.35033565686208,14.5212466379826,0.00151150088575246,0.118694042282997
"Fbxl5",-1.03476756604856,8.56775207737754,14.2650898809612,0.00160777123511902,0.122436903281195
"Slfn5",0.929229999272661,8.78446945247991,14.1909227921898,0.00164175813381036,0.122436903281195
"F5",-1.24101125987433,7.71777258971829,14.185640710892,0.00164420939808041,0.122436903281195
"Kcnt2",2.11078233132998,5.72230999041168,14.486136185882,0.0017259592588293,0.126346068455656
"Ifi35",1.37277376674148,6.02813090371753,13.941894687479,0.00176194960202473,0.12683100551908
"Lbh",1.79719487182734,5.51216229425783,13.881134537227,0.00179276220622237,0.126933442109417
"Fpr1",-1.64143426589089,6.79849437396701,13.8074923170325,0.0018309260849495,0.127544673562853
"Mrpl33",-1.01662497444899,9.13364063764499,13.7358481039486,0.00186893693377928,0.127888442003861
"Irgm1",1.31082088847028,6.09385953820052,13.6614553732354,0.00190935170447977,0.127888442003861
"Il18",-1.848132820477,6.09824636200608,13.5745731580916,0.00195780608814693,0.127888442003861
"Gm13986",-1.79587157716791,6.07551449252242,13.5729259611157,0.00195873804916433,0.127888442003861
"Mmp2",1.88197903967834,5.7152900775963,13.5287600873043,0.00198391424270866,0.127888442003861
"Cd36",0.874803422147801,9.86890177189731,13.2424921893731,0.0021562411240165,0.136953020803342
"AW011738",1.3073599591495,6.66063342764119,13.1860587184917,0.00219217287626961,0.13721731380592
"Tnks1bp1",1.7471121738863,5.45665915525506,13.0409531961437,0.0022877093271517,0.140453720493063
"Car4",2.05555698889121,5.61913974870683,13.3124694765016,0.00230892952519223,0.140453720493063
"Atxn7l1",-1.19950120316612,7.25045862201321,12.9565057944319,0.00234546964641559,0.140453720493063
"Dapp1",-1.38483993307117,6.81446611057442,12.8824897028839,0.00239745259414067,0.140453720493063
"Cxcl12",0.942824409004798,8.58808765659909,12.8146664981746,0.00244623134219925,0.140453720493063
"Stat1",1.16103197302785,7.10922385029614,12.7860648743602,0.00246713711794151,0.140453720493063
"Ifitm3",0.886433357532762,9.97503995493453,12.7572066551205,0.00248843526554987,0.140453720493063
"Lamp1",0.925550352812488,7.78350584367886,12.7198644002274,0.00251630386252723,0.140453720493063
"Map3k14",-1.47707121081271,6.72693650774177,12.6540300250193,0.00256629944368209,0.140453720493063
"Ly6e",0.940968588021551,8.70793034706315,12.6247860527041,0.00258886704099724,0.140453720493063
"St8sia4",-1.1813005785252,7.55066356918899,12.6084168101099,0.00260159704548391,0.140453720493063
"Stfa2l1",-1.35614063359222,8.63590081615438,13.0134133814813,0.00268367599549585,0.141667658320489
"Trafd1",1.28470978798806,6.25192524410904,12.4116316637812,0.00276030132511344,0.141667658320489
"Nr4a1",1.01378300341078,7.97851933601867,12.410118851853,0.00276156304427014,0.141667658320489
"Tmem154",-1.19197477074282,7.30960430720363,12.3525037477198,0.00281010397911087,0.141667658320489
"Emcn",1.11838553276126,7.36176545542115,12.302608153342,0.00285292142401227,0.141667658320489
"Ubtd1",-1.95254361345322,6.01989387588802,12.2769909322696,0.00287519078016187,0.141667658320489
"Ifi207",1.23492687336447,6.92662637412547,12.2742661712629,0.00287757098653129,0.141667658320489
