"","logFC","logCPM","F","PValue","FDR"
"Irf7",1.88607761713757,6.80182232703591,150.689593467572,4.09092627391477e-08,0.000402342599039518
"Oasl2",1.71165720341481,6.04642877514304,114.464346738755,1.85129558425838e-07,0.000910374603559059
"Slfn1",2.16328371759378,5.14930318170265,106.05239027915,2.7982191830766e-07,0.000917349522185278
"Oas3",2.5553734693504,5.04428936601106,100.214369681689,3.79444515674679e-07,0.000932959202915118
"Ifi27l2a",1.11549584840222,11.2274823197719,87.5858670746197,7.77650052426676e-07,0.00152963765312327
"Zbp1",1.87784382938204,6.30788370286767,76.4627706450468,1.83335037222032e-06,0.00300516681846448
"Lgals3bp",1.31192800087815,6.37257749297548,70.07517414715,2.49179966826813e-06,0.00350097853391672
"Ifi213",1.66404770723816,4.87210467498277,64.9106087206713,3.68795161436187e-06,0.00453387551590613
"Ly6e",1.05235521798135,9.65668525279331,63.0048314457392,4.29110172194215e-06,0.00468922060392233
"Stat1",1.11946517625503,6.462012340374,60.7315352930552,5.16770614218295e-06,0.00508243899083693
"Hmox1",-1.11726755640037,9.78761360551399,58.4659170757885,6.25676123546149e-06,0.00559411334097852
"Ifi209",1.45023125496456,6.01870987404371,55.7621438747074,7.92677375684138e-06,0.00605162547157495
"Sh3pxd2b",-1.20654155017502,6.73102931036662,55.6604753343556,7.9990982339069e-06,0.00605162547157495
"Tmem251",-1.10469442800985,5.73316887094098,53.1686298670161,1.0038223011558e-05,0.00705185166561951
"Slc7a8",-1.1030843008791,6.46535874929402,52.3865455337171,1.07994722576508e-05,0.00708085397693307
"Hspa5",-0.932111642908123,9.79621714438282,50.0521754948917,1.35067719797435e-05,0.00790131804337997
"Cd14",-0.876940384965167,10.4875050971578,49.8778290548632,1.37390419445328e-05,0.00790131804337997
"Gm14221",-2.49474042066798,4.28021661693616,52.9008671215848,1.52386882449172e-05,0.00790131804337997
"Cd74",-0.956804542431027,13.1492880591727,49.4637909932323,1.5296579516991e-05,0.00790131804337997
"Hspa8",-0.978707945032769,11.4339177198554,48.3000251686341,1.60677540282257e-05,0.00790131804337997
"Eif2ak2",0.929855628334254,6.03133972958603,46.8695261763255,1.85864444092967e-05,0.00817802825821849
"Slc11a2",-1.12679433649556,6.26242959550059,46.5067930313431,1.92966672999602e-05,0.00817802825821849
"Hpse",1.99654449251693,4.2344575479775,46.2031970952879,1.99155716666701e-05,0.00817802825821849
"Pxdc1",-1.23156126629777,5.30587334039004,45.9576745430795,2.04331004260948e-05,0.00817802825821849
"Stip1",-1.2182730342638,6.3807421362982,45.79343482577,2.07880738643073e-05,0.00817802825821849
"Lmna",-1.04246883995169,9.15347905926088,44.6310017317752,2.35171885301443e-05,0.00840971006187054
"H2-Aa",-0.957572220138801,11.6918566736017,44.4839114598149,2.38915455861174e-05,0.00840971006187054
"Ifi206",1.54363350788736,4.55241660423465,44.4642020241114,2.39422350515887e-05,0.00840971006187054
"Pmp22",-1.06596922403368,8.00714704729166,43.4957777025506,2.65950592501139e-05,0.00882646469890898
"Sp100",0.93977318616774,7.36672277171626,43.3837309833677,2.69236340586954e-05,0.00882646469890898
"Xaf1",1.08888729452998,5.64272912992796,42.4657031894999,2.98021199639311e-05,0.00926000620628044
"Ifi47",1.19328150991235,5.113335762292,42.3679993652207,3.01291508491077e-05,0.00926000620628044
"Cd274",1.05911524009394,6.27902713385206,41.158313580382,3.4546576079521e-05,0.0102544235067774
"Cd63",-1.12067958486838,8.42531111027895,40.9331902700938,3.54499643345636e-05,0.0102544235067774
"Clec4n",-0.910271980090774,6.44141097137066,40.5054411569478,3.724367911048e-05,0.0104654738300449
"Malat1",-0.600104601339581,13.7880812296159,40.104250137582,3.90231227365015e-05,0.0104699167537525
"Usp18",1.31568538812737,4.45509152584303,39.942829555092,3.97669947145314e-05,0.0104699167537525
"Rasgrp2",1.15415953462321,6.00932668961206,39.7970299221854,4.04531608177522e-05,0.0104699167537525
"Ifi27",-0.901686584888884,6.62499335730245,39.3330359699804,4.27307588010757e-05,0.0105198455550567
"Srxn1",-0.894200684366808,5.67838007737749,39.3222736140986,4.2785340335767e-05,0.0105198455550567
"Slamf7",-1.0674498360086,7.02630153604162,38.6791455799538,4.62000414900936e-05,0.0108619488103681
"Itga4",1.22133637585805,7.45874175613208,39.4046286631107,4.63855465211448e-05,0.0108619488103681
"Sirpb1b",1.30704158305901,4.9343622568986,38.0682984000768,4.97417916820742e-05,0.0111991895825103
"Rtp4",1.11156622163233,6.19400851718342,37.8675244455625,5.09745266365766e-05,0.0111991895825103
"Nxpe4",1.2455448132068,4.75932851855327,37.5274788495046,5.31448104363935e-05,0.0111991895825103
"Zdhhc14",-1.37998189703139,7.23032088723048,41.1926775985069,5.46471465541706e-05,0.0111991895825103
"Rapgef2",-0.937214936899304,8.77547071765523,37.031197682232,5.650920613247e-05,0.0111991895825103
"Ifitm3",0.848900596140263,11.2185547204848,36.9981897483362,5.67416696580035e-05,0.0111991895825103
"Rnf213",0.776951249306504,7.4533633165714,36.9890736935349,5.68060677682446e-05,0.0111991895825103
"H2-Ab1",-0.911523526477942,11.5071566226748,37.1750177299,5.88316095570327e-05,0.0111991895825103
"Nfkb1",-0.878365412426253,9.60312854967871,36.5495677887972,6.00146951333713e-05,0.0111991895825103
"Parp9",0.903118365118925,5.8694269164964,36.5059349067888,6.03446504864142e-05,0.0111991895825103
"Mbp",1.16330252822626,6.12803898717901,36.3919497871054,6.12166700170268e-05,0.0111991895825103
"Chordc1",-1.02253321712471,5.91885768332328,36.2293711401322,6.24860660468792e-05,0.0111991895825103
"Map2k3os",-1.23214717649385,4.28613022471999,36.0153001289491,6.42047443672459e-05,0.0111991895825103
"Ppp1r10",-0.811182071438483,7.22701616588847,35.8472211381701,6.55929798901984e-05,0.0111991895825103
"Got1",-1.00419836629481,6.40198565358915,35.3631563139074,6.97914653157256e-05,0.0111991895825103
"Ms4a14",-1.36191409050484,4.11347380616507,35.2332215227804,7.09713986839915e-05,0.0111991895825103
"Mmp13",-1.60954816827276,5.85688349997614,41.0142672631546,7.24998511187283e-05,0.0111991895825103
"Pygl",1.35533179187902,5.15661156541946,35.0517967075582,7.26581541520519e-05,0.0111991895825103
"Ifitm6",1.64468306897766,7.53886026320524,43.4399471952555,7.27455971967935e-05,0.0111991895825103
"Daxx",1.11502937730781,4.81625344076691,34.7191298844592,7.58743791452775e-05,0.0111991895825103
"Eif4e",-0.927609174437907,8.05114052505216,34.5135983916994,7.7944637237561e-05,0.0111991895825103
"Acaa2",0.851449950444841,5.96588901115918,34.4974023724256,7.81105636397268e-05,0.0111991895825103
"Herpud1",-0.891669504643957,7.01287557052794,34.4088320483131,7.90252943271229e-05,0.0111991895825103
"Trf",-0.856229711843937,8.70613136024348,34.4071378686015,7.90429130475418e-05,0.0111991895825103
"E330020D12Rik",-1.12313476068414,4.88123406920143,34.3531620522224,7.960664899939e-05,0.0111991895825103
"Ddx60",1.00412835597505,5.17343587918752,34.0652505892947,8.26942736866891e-05,0.0111991895825103
"Ly6i",2.18330758880687,4.95743075584178,40.8381822873904,8.27678177149979e-05,0.0111991895825103
"Rab7b",-0.969786690919394,7.49732354128977,34.015930342625,8.32371333557357e-05,0.0111991895825103
