"","logFC","logCPM","F","PValue","FDR"
"Ifi27l2a",3.14975360706532,7.56991463611107,131.136322540991,1.14836001572444e-11,7.20595909867084e-08
"Isg15",2.11230427316436,8.37522264439656,94.920738360792,3.57580005038619e-10,1.12190726580867e-06
"Ifit1",2.89101293827322,6.61024276801449,76.4987153918524,3.14597278879914e-09,6.58032641657153e-06
"Irf7",2.7426541854252,6.2891632404902,61.2677812008892,2.62522711746035e-08,4.11832504051593e-05
"Ifit3",3.69249765248864,5.35447615554981,48.7477591523306,2.03681964588381e-07,0.000255620865558418
"Camk1d",1.19048203203409,10.5479411531787,41.9908790662153,7.16249129080476e-07,0.000749077214163331
"Serpine1",-1.71387970321761,7.85006359900123,34.5521287739149,3.35142157427733e-06,0.0024140563783727
"Rsad2",1.78873284325545,7.07674801808343,34.6701364697712,3.46176354856314e-06,0.0024140563783727
"Ly6a",1.19420858124231,8.66990745113637,34.4045321127648,3.46239161838316e-06,0.0024140563783727
"Ednrb",-1.59010278191126,8.35863322408344,33.4720890100146,4.26178871356149e-06,0.00267427241775983
"Ror1",-1.40118814323935,8.1373426316031,27.35087703337,1.82513214903633e-05,0.01041154930473
"Ly6e",1.10884637513364,8.4771073522285,26.9650490112562,2.01203154386613e-05,0.0105212482814666
"Iigp1",1.03194005911082,8.78996134062149,25.9035852551774,2.64134681620103e-05,0.0127495779012781
"Xaf1",1.80901146254145,6.11974471984745,23.7815479840527,4.63452447850263e-05,0.0203469291023808
"Cebpd",-0.987724248398613,9.98557780876583,23.2434877362421,5.36643325021312e-05,0.0203469291023808
"Lgr5",-6.71988168015991,5.28958830095594,23.561156129294,5.41611010746486e-05,0.0203469291023808
"Hspb1",-1.28778590145321,11.8026440962524,26.1491181242213,5.51231545403144e-05,0.0203469291023808
"Birc3",-1.93949017536121,7.30847573857628,23.2331010702447,6.44351118347894e-05,0.0223054374410624
"Dnaja1",-1.00272671446031,11.0893675555358,22.4122046301865,6.75383763155674e-05,0.0223054374410624
"Hspd1",-1.48466024877677,8.90398305441735,24.404329477087,8.35912886653691e-05,0.0262267668187596
"Mgll",1.01571302634483,9.09245451285124,21.2703843017408,9.36712494416322e-05,0.0267719343556978
"Fabp4",0.857063699185627,12.6754219060785,21.2485324409489,9.38617618845181e-05,0.0267719343556978
"Bst2",1.06298344927032,8.25311405764064,20.9144689546463,0.00010332984391903,0.0280705260859176
"Hspa8",-0.908688683997063,11.7974855153086,20.7821366849962,0.000107361374671239,0.0280705260859176
"Ifit3b",3.50650560948925,4.70534598034546,19.8390936628105,0.000141514675018579,0.0351955385903369
"H2-Q7",1.39900562271096,6.58423727850183,19.7377841779731,0.000145830120055579,0.0351955385903369
"Acta2",1.13009562002012,8.49997023809125,19.799779933455,0.000156372464798196,0.0358983626724282
"Ifi47",2.36976371483881,5.1093579803703,19.3355502952419,0.000164420557989355,0.0358983626724282
"Rbp7",1.20638142525558,7.4878408529614,19.3180197859262,0.000165904783665405,0.0358983626724282
"Ifitm3",0.794376125121747,10.8122545157988,19.0710073753006,0.000178034142935335,0.0362931051148628
"Ly6c1",0.91143713027067,8.90547005449868,19.0475900577018,0.000179296614910079,0.0362931051148628
"Tnfaip6",-1.88717709192396,6.7226390481772,18.2982236402409,0.0002313401357979,0.0453643547541194
"Gpc6",-0.915746994591969,10.649642714728,17.7427334808513,0.000269890124968682,0.0513200161872266
"Phlda1",-0.9639342319293,9.28240282735561,16.945685483711,0.000343882089652684,0.0634664738991351
"Hsp90ab1",-0.82246272012678,11.5723249021964,16.7288582458856,0.000368514412115745,0.0660693696007514
"Grm7",-1.14882209382226,8.54331723542486,16.699285514762,0.000399145105017739,0.0681970468278614
"Gem",-1.35746964394436,7.87610125947768,17.0013996743357,0.000402118045040776,0.0681970468278614
"Rnf213",0.998822599827818,7.66199561411925,16.3425449343588,0.000417260972946845,0.0689029632958276
"Gbp3",1.80056619797435,5.43212881101894,16.1422558496189,0.000445243295999054,0.0716385046767708
"Chordc1",-1.34507435023416,7.18687692306521,16.0242998169674,0.0004626678574732,0.0725810201411082
"Ech1",0.917426060315779,7.8884336555587,15.8868897524015,0.000483901737340672,0.0733277751412826
"Mgst1",2.56033164826074,4.91298026872512,15.8436523106156,0.00049079945114484,0.0733277751412826
"Pid1",-0.881397596733265,8.83672210869022,15.6976465274406,0.000514889398527743,0.0741238676264767
"Eln",1.76420532246351,5.35163372621519,15.6690662592447,0.000519753016026291,0.0741238676264767
"Rnf187",1.30567093323428,6.24075079351079,15.5668033985259,0.000537566835023027,0.0749607086615444
"Slfn2",1.89545296970053,5.2993564382944,15.3649637811074,0.000574696217301428,0.0775739081626154
"Aff1",-1.19399745120836,7.6508735188598,15.3319365143986,0.00058103166273194,0.0775739081626154
"H2-T23",1.21680975056401,6.54980856582389,15.1201073101416,0.000623506872562709,0.0815105338610625
"Oxct1",-1.19219279903861,7.4858475472422,15.0576401221474,0.000636665505262368,0.0815321641943135
"Abi1",-1.15722933010554,9.03199199113059,16.2375583200165,0.000658464846469038,0.0826373382318642
"Carmil1",-1.88865325365179,6.63044663434227,15.1380925732793,0.000686841764521833,0.0830319420525592
"Pde3a",-0.850938688189746,9.35010623483829,14.8263218143549,0.000688073464021207,0.0830319420525592
"Nfkbia",-1.02407124230396,9.73225163848979,15.5802916007103,0.000714009823325601,0.0845360687050594
"Mpp7",-1.3891023192997,7.15975496737617,14.5786766564373,0.00074813479620249,0.0862062093816475
"Trim12a",1.42797151281053,6.00339515439129,14.5494389240261,0.000755592273464639,0.0862062093816475
"B2m",0.741458666536575,9.69169412133447,14.4792391570752,0.000773828363317814,0.0867102317824872
"Dnajb1",-0.906735056887423,10.0877286690524,14.5402065816589,0.000803432652222441,0.088448068292909
"Tle5",0.878764168766913,7.81904588093588,14.2478565930217,0.000837390444606802,0.0898057234648599
"Cap2",-1.58214495749143,6.4902220170216,14.223551421664,0.000844388475605854,0.0898057234648599
"9930111J21Rik2",1.21379667790695,6.6090157109294,13.9403971679618,0.000930751776500389,0.0958675769904484
"Gsap",-3.62114682224594,5.20457728446807,13.9367032934284,0.000931939792257746,0.0958675769904484
"Ifi44",2.6007752500873,4.78329284881879,13.5164304663524,0.00107846292461787,0.109150884709309
"Prkcg",-0.962043008996622,8.12040775897059,13.4045884176472,0.00112153490438765,0.111708436905278
"Adgrv1",-2.34268697296941,5.99325998845542,13.1909686279726,0.00131624165353258,0.129053380873702
"Sik2",-1.32997743580945,6.86609343448119,12.8354831769341,0.00137161126393915,0.129341202528614
"Magi2",-0.996198827825667,7.67964157607137,12.7835263278516,0.00139728866010326,0.129341202528614
"Ifi35",1.11494541623747,6.50434142318916,12.7241916653041,0.0014272513699071,0.129341202528614
"Fam107b",-1.14624507061243,7.48392188265952,12.7039179462112,0.00143764826377248,0.129341202528614
"Cers6",-1.94266275466832,6.1131001253854,12.7010888557132,0.00146244365322246,0.129341202528614
"A730049H05Rik",-2.03584608068706,5.96604838716714,12.6280847662741,0.00148035232281747,0.129341202528614
"Snx2",1.33274085884815,5.83781928962033,12.5814179994353,0.00150224317364025,0.129341202528614
"Lgals3bp",1.43458721765607,5.69444846040904,12.5635913530628,0.0015119027328833,0.129341202528614
"Plcl1",-0.824719364677777,9.6010135307184,12.595604053778,0.00151855494225415,0.129341202528614
"Cfap69",-1.63396104246685,6.33759734018363,12.5371368770734,0.00152636174598897,0.129341202528614
"Hspa4l",-1.66776059778489,6.33183375204181,12.5017985477785,0.00154591078719458,0.129341202528614
"Nfkbiz",-0.920146015806828,8.35796234332265,12.4109950654913,0.00159739950484554,0.13100987180408
"Palld",1.33128152306855,5.81189468386599,12.3933636133627,0.00160761117592258,0.13100987180408
"Spats2",-1.28510962468915,7.28643077567891,12.4811214368067,0.00163250100209754,0.131332612668744
"Rpl23a",0.726293272160275,8.86808778077714,12.2086574294609,0.00171894948679104,0.136536810501441
"Neurl3",-2.08123453520408,5.80030905332807,12.1305652013403,0.00176851467595736,0.138717869895405
"Rtp4",1.39896451242696,6.01181001506342,11.9082122591593,0.0019466976502483,0.150808984633433
"Eps8",-0.986519593566893,8.30438316586634,11.942724596834,0.00197978827782665,0.15150209077271
"Myl6",0.759544634268036,10.3798369421667,11.8900322731934,0.00201787435173253,0.152556163338814
"Mast4",-0.753231975021976,10.7292977784782,11.6200832874568,0.0021637610914046,0.161638105340046
"Tnfaip3",-2.1581584972873,6.45483604636643,12.8589957884189,0.00222679097984866,0.16438956939471
"Ncoa7",1.1875399408477,6.12227704563222,11.3764348506364,0.00233557811401193,0.168933424214113
"Ythdf2",-2.32272345647205,5.39446134634239,11.3419951811411,0.00236580933114278,0.168933424214113
"Sema7a",-1.28194714547309,6.6423137364161,11.3382683031958,0.00236910618818198,0.168933424214113
"Cd36",0.62202590467168,10.1208193414984,11.0054651220474,0.00268463692796916,0.185071328131384
"Cacybp",-1.09803784935433,7.28604677054954,11.0031838165002,0.00268695141501649,0.185071328131384
"Malat1",-0.653131951024,15.1516068892307,10.9988293839227,0.00269137520330037,0.185071328131384
"Rpl13a",0.62251435535913,10.0097429540881,10.9772685475374,0.00271339636463543,0.185071328131384
"March3",-1.20276042026926,6.79533181050656,10.9385707532954,0.00275341297767863,0.185781359515413
"Sde2",-1.30752229090061,6.48013900814011,10.7984547736816,0.00290375766239922,0.193841269484629
"Kdm6b",-0.881609825781441,8.08265407771486,10.5006431176935,0.00325381220233892,0.204061801872139
"Hdac9",-1.06481479654154,7.10371497740479,10.489603947465,0.00326764051822488,0.204061801872139
"Ell2",-1.24159195787473,6.61063026152713,10.4627287914815,0.0033015738156376,0.204061801872139
"Il1r1",-1.37995147371362,7.69174107611241,12.0664357857817,0.00331108598510266,0.204061801872139
"Gm17268",-1.94829259760936,5.94787171688503,10.4893082755724,0.00335180888372919,0.204061801872139
"Psmb9",1.21288951901805,6.11852970378628,10.4196270536088,0.00335679797670533,0.204061801872139
"Batf",-1.88481188105033,5.8795013646911,10.426848060495,0.00335985334980006,0.204061801872139
"Samd9l",1.26126133968832,5.754212696551,10.3901469503995,0.00339514751943745,0.204061801872139
"Sox18",1.57753100444076,5.35599129468693,10.3846900856973,0.00340229826780411,0.204061801872139
"Ctsc",-1.04531391252618,7.12287783943855,10.3782682356537,0.00341073453203111,0.204061801872139
"Hdx",-1.60436400809156,6.04091202779396,10.3753467558897,0.00341457995164535,0.204061801872139
"Lims2",0.905218050565064,7.0930280281039,10.2304393051679,0.00361136262956191,0.213662229995751
"Adamts9",-0.849482407256203,8.82518474865415,10.277628365229,0.00367448147807354,0.213662229995751
"Stat1",1.04057643771464,6.42129302624892,10.1766056712091,0.00368758260633731,0.213662229995751
"Sik3",-0.792529278696355,8.36765377930839,10.1511135466883,0.00372428449409938,0.213662229995751
"Tnip1",-1.99209766496803,5.46701331801134,10.1189236159377,0.00377119827148293,0.213662229995751
"Cstf3",-1.20541035189621,6.64290986523157,10.106852425205,0.00378895632340633,0.213662229995751
"Ms4a4d",2.61476793139169,4.5420543669457,10.0860251920355,0.0038198097604455,0.213662229995751
"Ddit4",-2.4210388479642,5.47128594990239,10.1149906560204,0.00386877874473148,0.213662229995751
"Selenop",0.795371412905136,7.42414924974494,10.0448115519811,0.00388167238558018,0.213662229995751
"Mmrn2",1.10312610436867,6.13063474813266,9.93512196008329,0.00405169515136608,0.221081626737584
"Nostrin",-0.808587104900881,8.17001324530524,9.89525138140429,0.004115490414757,0.221180784393886
"Cav1",0.684888301877023,8.42615024665668,9.87281534956615,0.00415186945983306,0.221180784393886
"Hsph1",-1.43043012639304,9.38143301375503,14.0602270411303,0.00415925618461809,0.221180784393886
"Ddx60",1.9198571309896,4.94439564869667,9.83877121660379,0.00420774077825226,0.221878767928848
"Ntm",-1.29645959661025,6.84710580819945,9.82473063667856,0.00437447377505256,0.22761296738512
"Jak2",-1.11409200301549,7.57348434819731,9.92381180450057,0.00442108501524959,0.22761296738512
"Htatsf1",1.66976666063383,5.09679574218172,9.68555368651867,0.00446952580639996,0.22761296738512
"Cnn2",1.09639252238307,6.44724631225945,9.6756409390587,0.00448706301692425,0.22761296738512
"Arhgef15",1.00445279547057,6.44100092721059,9.64848717774621,0.00453548719611552,0.22761296738512
"Ifit2",1.36257841504318,5.78441379919156,9.6596499679934,0.00456471517758749,0.22761296738512
"Mt1",-1.24938723462999,11.0695168793241,13.2685291335853,0.00459502866865896,0.22761296738512
"Ctnnbip1",0.997603286056999,6.42807985093601,9.60914006279347,0.00460666882197773,0.22761296738512
"Hnrnpd",1.05703749255683,6.43473395250685,9.57418828802991,0.00467092002639588,0.228984555981517
"Hsp90aa1",-0.901531298423313,11.5537762124285,10.9733531989197,0.00476891971420157,0.231921195580899
"Tuba4a",1.31661521232066,6.18668549138573,9.7038589258066,0.00480474190048077,0.231921195580899
"Tcf7l1",-1.08994031917669,6.78622853067241,9.44849566972067,0.00491017069299453,0.235200924416341
"Fxr1",-0.97507266933729,7.23287046407255,9.38671059387323,0.00503264261669873,0.239241154695338
"Pltp",1.03195082577728,6.40264890210664,9.34986331235688,0.00510726377132503,0.240603346836965
"Sp100",0.767830384020243,7.39756342484392,9.32396459648441,0.00516043364056694,0.240603346836965
"Sbno2",-1.13684663981057,6.74357868639552,9.30985647584918,0.00518965104217781,0.240603346836965
"Adam15",1.0187980238392,6.3670209699616,9.29784419239234,0.00521467014658601,0.240603346836965
"Mtch1",0.99424573483617,6.58527146820452,9.21838189438185,0.00538352133462877,0.241652103560475
"Tbc1d1",-0.806876282639266,7.97468921013592,9.15424293510454,0.00552415963416919,0.241652103560475
"Frs2",-1.37831654401593,6.08598340775166,9.12117113196458,0.00559823738260132,0.241652103560475
"Ogfr",1.41971601834352,5.54148982800663,9.13693382618778,0.00561862852526586,0.241652103560475
"Psme4",-1.12183024245316,7.01532046763541,9.13352049654026,0.00562632821122315,0.241652103560475
"Nop53",0.807743137453527,7.117693430853,9.09911466918255,0.00564824340291188,0.241652103560475
"Sucla2",1.12764156156729,5.96197984198914,9.0896769100865,0.00566978910403828,0.241652103560475
"Birc2",-1.44578183772933,5.8825918475971,9.08184074289842,0.00568774657988593,0.241652103560475
"Man2a1",-1.10039500944562,7.50732360331448,9.40652144543448,0.00574935883490888,0.241652103560475
"Adora2b",-2.3588402987783,5.40404897678034,9.12399558870408,0.00576169623595306,0.241652103560475
"Ifi204",1.45932146301716,5.53954923340379,9.0997571307743,0.00576413373623087,0.241652103560475
"2900026A02Rik",1.19953259124788,5.71708270069855,9.0455407096185,0.00577174511131597,0.241652103560475
"Myl12a",0.633366728282843,8.57487114568837,9.02528130760688,0.00581921286975101,0.241652103560475
"Ptprb",0.667176032822568,8.27160909510199,9.016720147511,0.00583939945692271,0.241652103560475
"Fam126a",-1.35117672264472,6.18306159992997,9.01285474303024,0.00584853880638005,0.241652103560475
"Rif1",1.05552909301454,6.23368710771508,9.00111663428067,0.00587638808353807,0.241652103560475
"Gadd45g",-0.723874019281935,9.06123016467972,9.01873846286917,0.0058920751943829,0.241652103560475
"Ptprk",-0.702685912521419,9.00349505045158,8.94767251727995,0.00600502814858386,0.243796700570309
"Sele",-2.37472360692198,8.81016150882217,16.3756240216923,0.00604252919206454,0.243796700570309
"Ptpn2",-1.12131169371817,6.82561684606628,8.91855595045774,0.00607640159488363,0.243796700570309
"Relb",-1.14766077820237,7.13960976813887,9.01630963528206,0.00611942131091686,0.243796700570309
"Osmr",-0.884674738627153,8.70357163478577,9.33413660495695,0.00613862608607313,0.243796700570309
"Dennd2a",-1.0020358262977,7.43636035081327,8.91632729100787,0.00620452613270169,0.244864160268573
"Pde4b",-0.769448225496876,8.9487549812583,8.87071346525334,0.00637611470174205,0.248478322068087
"Stxbp6",-1.12636482379219,6.44020712048333,8.78803822453869,0.00640790967685121,0.248478322068087
"Alpl",1.5776749684434,5.24930213681717,8.77604146799563,0.00643935681702197,0.248478322068087
