"","logFC","logCPM","F","PValue","FDR"
"Ifit3",2.73278787375358,5.66182462238238,141.807081945914,2.58741870723774e-12,2.26011024077217e-08
"Rsad2",1.90797175621515,6.62118079659291,101.969645145299,1.03689919564237e-10,4.52865723696806e-07
"Irf7",1.84938875647139,6.32049908066692,98.0354320739075,1.58647933950259e-10,4.61929901018503e-07
"Ifit1",1.90047803860576,7.439445897441,101.053459447898,2.04815710506922e-09,4.22062571152861e-06
"Ifi27l2a",2.24420021291641,7.14014084791906,111.548219629889,2.41592771123561e-09,4.22062571152861e-06
"Ifi44",1.77096412483538,5.56939413072652,67.9882865403382,6.94651795521095e-09,1.01129723897946e-05
"Pde10a",-1.5470835775411,5.90156733148189,66.0659159372412,9.20670688752223e-09,1.14886549517867e-05
"H2-Q7",1.31544114635636,6.04514253635498,53.1879999245556,7.18727200684674e-08,7.84760262247579e-05
"Malat1",-0.986981552090924,14.8276771628745,52.0916292812948,8.69340333876291e-08,8.43743090712156e-05
"Lgals3bp",2.04716871846767,4.77949089213811,50.8652134025987,1.07898288477719e-07,9.42491549852873e-05
"Ptpn2",-1.17707600565569,6.69855224229911,46.876491712274,2.23340694992043e-07,0.000177352815523227
"Slc6a6",1.00657677533219,7.88936195947244,46.3096725434179,2.48473387891454e-07,0.000180867920269321
"Adamts9",-1.00995132187297,9.59284453436521,46.5660143035337,3.24987901471222e-07,0.000218366870719317
"Zhx2",-1.29412337922939,7.4761402868037,51.0150560874513,4.08792836586974e-07,0.000255057530541944
"Trmt61b",-0.939672901341656,8.28756935416419,41.1906290215264,6.77635127124338e-07,0.00036622067651901
"Ankrd13c",-1.07168464412662,6.70929656848338,41.1876080556889,6.78051783480477e-07,0.00036622067651901
"Elovl6",-2.32540802494355,4.27241528764929,40.9428833763137,7.1273629087844e-07,0.00036622067651901
"Uap1",-0.84131654008535,8.22201105508244,37.2072321761789,1.56326180774494e-06,0.000723170642195926
"Ly6e",0.892308723977078,8.15547928923253,37.139816411466,1.58625958023401e-06,0.000723170642195926
"Bst2",0.959298002976541,7.86298553997627,37.353131843357,1.65579998213148e-06,0.000723170642195926
"Birc3",-1.01326617768451,6.39310700556387,35.9225271712568,2.07062236677656e-06,0.000842151102561338
"Fas",-0.996188993676942,7.15883341158182,35.8138034964608,2.12104456283336e-06,0.000842151102561338
"Kpna1",-0.861632394961087,7.93567375363904,34.9531648720859,2.56997821769291e-06,0.000946710988821555
"Kcnn3",-1.88909375340622,4.53947094679049,34.8995261002368,2.60115211582339e-06,0.000946710988821555
"Foxs1",-1.05443778101798,6.66954513384999,34.3192817363248,2.96560465387526e-06,0.00100895365342569
"Isg15",0.765900405183113,9.31596052124672,34.2638617189234,3.00318202507934e-06,0.00100895365342569
"Btbd9",-0.852513340946276,7.53992275199071,33.5049970427263,3.57257971314245e-06,0.00115579569608516
"Tmc5",-1.71805152410268,4.39091892587268,33.0138406283493,4.0022955268833e-06,0.00124857326526163
"1200007C13Rik",-1.73891817581715,5.36830532878594,38.2157007920019,4.22027884013954e-06,0.00127117709202134
"Nfkb1",-1.48869966323171,8.60954765768821,54.1209028748727,4.42992976209871e-06,0.0012867440255836
"Id2",0.954760680710166,7.25143897790069,32.5314035519529,4.68256475511629e-06,0.0012867440255836
"Cxcl2",-1.20656122948935,6.18443101560159,33.8655174631785,4.71388767242991e-06,0.0012867440255836
"Fancc",-1.44333223126138,4.97135230908171,31.6547475482683,5.50842516552144e-06,0.00145806344911606
"Abi1",-0.875273819488609,9.67417802070616,33.2585036430196,6.1405396666933e-06,0.00153038827346054
"Carmil1",-1.54489615349264,4.89086234122714,31.1232430630328,6.25447526594315e-06,0.00153038827346054
"Ifit3b",2.53437987425606,3.9428846161533,32.2242243424201,6.30726706864102e-06,0.00153038827346054
"Sgms2",-1.49859546777053,5.00380517219922,30.7293973421394,6.87714398567129e-06,0.0015789064530187
"Lgals9",0.962271300726909,6.10366060930021,30.6019631721591,7.09263317038208e-06,0.0015789064530187
"Rcan1",-0.947555107095871,7.11479241487302,30.5617359458712,7.46425142225612e-06,0.0015789064530187
"Cfap69",-1.80823282735484,4.44128779046277,30.3727393950493,7.49873561281099e-06,0.0015789064530187
"Parp8",-0.947918476048377,6.15947871584118,30.3107030770951,7.61289013186512e-06,0.0015789064530187
"Clasp2",-0.803953913445499,8.24242912010977,30.2833677685828,7.66378214377214e-06,0.0015789064530187
"Cmpk2",1.62327716887177,4.43739726171613,30.2256093336277,7.77252174926208e-06,0.0015789064530187
"Xaf1",1.06076236651864,5.7178242539712,29.8775426420767,8.46394386376436e-06,0.00168028521931777
"Pakap_ENSMUSG00000090053",-0.842683757235529,7.38890894828891,29.3359347097104,9.67470871283799e-06,0.00183366288864588
"Egr1",0.68447348960802,10.6584809829629,29.2802764398003,9.80930165671856e-06,0.00183366288864588
"Pop5",-0.86168409653009,7.1341608887207,29.2107492440514,9.98026701551255e-06,0.00183366288864588
"Gbp3",1.30339226246427,5.23939568071117,29.1335783473358,1.01737866858353e-05,0.00183366288864588
"Cabp1",-0.856899187164327,8.01479541711641,29.7046481858414,1.02861455688206e-05,0.00183366288864588
"Phf11b",2.87238205497248,3.28071868418019,28.9626146138086,1.06170280255675e-05,0.00185479479606665
"Itih4",1.06539920022411,6.8354030633988,30.7559709034501,1.1003581069462e-05,0.00188463295375981
"Crispld2",-0.735105593685721,9.51583780920575,28.7140393538334,1.12989248986837e-05,0.00189800209596158
"Oasl2",1.21516714337361,5.46447983552643,28.3043463102684,1.25277075561261e-05,0.00206470802835399
"Rtp4",1.04442811299906,5.91036067896557,27.8366324088752,1.41086184938129e-05,0.00228219967673066
"Fbxl22",0.805895485291015,7.6905779523032,27.7246450717506,1.45181472638002e-05,0.00230574575180535
"Cpm",-1.12693340733837,5.73315950546085,27.5835804016275,1.50522923978853e-05,0.00232262877395761
"9930111J21Rik2",1.09592929433039,6.27883825452904,29.0671420728435,1.51562495839249e-05,0.00232262877395761
"Sec24a",-1.12228116936149,5.67919907596376,27.4675859555339,1.5507344178744e-05,0.00233545950691947
"Pmvk",-0.864580713337145,7.12714260048952,27.1686759991046,1.6749573445298e-05,0.00247978854313013
"Agap3",-0.920146604272683,6.27682464009941,26.8321581473686,1.82774060921193e-05,0.0026608857035777
"Zdbf2",-1.75248347834684,4.39798070550049,26.8685751672139,1.85995891992163e-05,0.0026634001910681
"Usp18",1.44126028497592,4.46378334380135,26.6297633355836,1.92679823423043e-05,0.00271461009290368
"9530026P05Rik",-0.750821858363354,8.5147976844581,26.549118612636,1.96786320154546e-05,0.00272845794690469
"Ctps",-1.00053642306822,6.09979144419527,26.3665265317536,2.06436030618985e-05,0.0028175292616513
"Por",-0.935854804614783,6.0099846364802,26.2440465160257,2.13193369999557e-05,0.00286499090299405
"March3",-0.848529353827843,6.41527112519658,26.1556015004556,2.18220724670797e-05,0.00288811822727183
"Nrip3",-1.68949241712538,5.8052467907838,35.9292316836253,2.32339034893773e-05,0.00298991594347869
"Cers6",-1.17883872395597,5.79509937005153,26.9991639610575,2.3275819594339e-05,0.00298991594347869
"Arrdc3",-0.989959771749224,5.73242717847002,25.7727371804427,2.41501763250482e-05,0.00305727232172893
"Jun",0.631179215637737,11.2224761406773,25.2595769464806,2.76987666963063e-05,0.00332125587449387
"Uty",-0.852886798213154,6.41330368606056,25.2528445215188,2.77488944163888e-05,0.00332125587449387
"Slfn2",1.0326350966433,5.61695724238719,25.2525170212652,2.7751335377491e-05,0.00332125587449387
"Map2k3",-0.809299085617216,6.72525187291058,25.2518449036056,2.77563456025246e-05,0.00332125587449387
"Samd4",-0.709735517322284,9.04652600983472,25.0223671183229,2.95252030857243e-05,0.00348517093180813
"Relb",-0.860524115777717,6.46216971863358,24.9632759537869,3.000006453585e-05,0.00349400751627533
"Tnip1",-1.14608674157184,5.11274409439251,24.8075139426282,3.12915961264615e-05,0.00359647489690317
"Akap12",-0.724514930710182,9.47059623332161,25.0336851326304,3.24470842196621e-05,0.00368084780076297
"Nup98",-0.73144210370453,7.98703944782504,24.5048796063738,3.39751838222146e-05,0.00380478500880827
"Gab2",-0.817965558027972,7.52326349116625,24.8923376751365,3.45796498529667e-05,0.00382345875272993
"Ech1",0.653843425395833,8.42840501220603,24.3465933364587,3.5476501315243e-05,0.00387359048735809
"Ifitm3",0.632727766665621,10.4545847201738,24.1980195248955,3.69507793400669e-05,0.00398475379673437
