"","logFC","logCPM","F","PValue","FDR"
"Irf7",1.69666079139106,6.33772729950339,22.2064278122862,0.000153498895790926,0.286800969921323
"Aqp1",-1.00758013575344,7.77342592306636,19.4816559423231,0.00030135933804517,0.286800969921323
"Ppp1r14b",1.52486317346289,6.38962490876187,18.1354599549735,0.000428741532640307,0.286800969921323
"Timp4",-1.45016572252112,5.80316282553093,17.9915939056788,0.000445567342638576,0.286800969921323
"Klra9",-1.47649619640874,6.25159251237383,17.1481134567736,0.000560242841526225,0.286800969921323
"Thy1",1.18957642185813,7.01301493766257,16.5008111439538,0.00067056740690421,0.286800969921323
"Ly6c2",1.26816252518952,7.98186224773446,17.9872341182352,0.000712424075226308,0.286800969921323
"Gadd45b",-1.02962775444955,7.4878301559205,16.1686732860906,0.00073639011813794,0.286800969921323
"Pde4b",-0.911774273516227,8.26281009080519,16.1280226506443,0.00074492757472023,0.286800969921323
"Hspb1",-1.04346423667441,9.32213018158522,17.6758303624607,0.000750591389482656,0.286800969921323
"1810026B05Rik",1.04968845089105,7.21145812861802,14.5246123053255,0.00118810339112999,0.377365281072229
"Xaf1",1.74597778416575,5.55445892758653,14.348195955936,0.00125261420015937,0.377365281072229
"Stat1",0.989854039705949,6.99610850596318,14.2662635228031,0.00128389129912038,0.377365281072229
"Brd4",0.866408259787661,7.50039565083492,13.8837340204269,0.00144188390244207,0.393531313659368
"Ahsa2",-1.81581088642046,5.25008896404771,13.3512281918344,0.00169903506946048,0.415027576992011
"Cxcl1",-1.72835969563581,5.98985325874033,14.444782700943,0.00176433559667182,0.415027576992011
"Clec2d",0.897608181769225,7.00103620052264,12.8623139707796,0.00198069810801142,0.415027576992011
"Rab8b",-0.747106639405271,8.19480915086063,12.8284507070154,0.00200205122263911,0.415027576992011
"Tex2",-0.891722822080411,7.62710280291348,12.5725627415428,0.00217194404369283,0.415027576992011
"Tspan5",-1.16172952524566,6.23459290763532,12.3960817287945,0.00229845673097731,0.415027576992011
"Socs3",-0.813028601063321,7.50704841425664,12.1075480960466,0.00252335599701654,0.415027576992011
"Ifi27l2a",1.41294736682447,8.95078417461048,16.353042699629,0.00259314098042058,0.415027576992011
"Ddx58",1.4125140865509,5.63017576128335,11.7606073401335,0.00282685943041128,0.415027576992011
"Bst2",0.857445523165622,7.9348755023804,11.7490923584644,0.00283760753765678,0.415027576992011
"Hnrnpa0",1.11417874751768,6.54903293397784,11.6818021279878,0.00290133408044826,0.415027576992011
"Kdm1a",1.23534367211359,5.89573697486642,11.5607928576095,0.00301998679563972,0.415027576992011
"Slamf6",1.07777721963632,6.52457158843086,11.4753795938571,0.0031069911373674,0.415027576992011
"Runx1",-0.656962136749893,8.64841411306786,11.2799814518087,0.00331673061202263,0.415027576992011
"Hsph1",-1.20534181099746,7.61959439936653,12.7221659984275,0.00340607684241462,0.415027576992011
"Gadd45g",-0.988148153537381,6.63665132800527,11.1329201951997,0.00348500417228862,0.415027576992011
"Ier3",-1.19782885008169,7.87959109715085,13.0219073506694,0.0034881343062095,0.415027576992011
"Hspa8",-0.664385865631384,10.8235021600475,11.0722789405012,0.00355714655815584,0.415027576992011
"Pfkfb3",-1.28194159098875,5.56716771949191,11.0497440850602,0.00358437844562585,0.415027576992011
"Zhx2",-0.742573322789539,7.63834191981241,10.9199088502286,0.00374587624592987,0.42097038634406
"Dnaja1",-0.613651200791168,10.0065614807944,10.6741372793916,0.00407429082812297,0.444796150121653
"Flnb",-0.907769962843887,7.0677219208299,10.3160895510646,0.00461176580811539,0.479211539294876
"Snhg15",-1.47918207323472,5.48167829590551,10.2983618218591,0.00464036298191845,0.479211539294876
"Cxcl2",-2.49068333367481,7.58244408078227,17.3324994228146,0.00488024723815724,0.490721702552601
"Serpinh1",-1.10482336428107,6.21114307793781,9.97143359278661,0.00520489244101144,0.498427841591103
"Rmnd5a",0.967501176294783,6.33203383079908,9.88334827049931,0.00536983091617336,0.498427841591103
"Hspa1a",-0.743179780128214,8.98659553518537,10.0512367147605,0.0054713821459979,0.498427841591103
"Bhlhe40",-0.984499153980876,6.37010984995057,9.82686579880204,0.00547866248281244,0.498427841591103
"Ftl1",-0.640758073479607,10.1801574411543,9.50391628309631,0.00615029140059912,0.532102210728832
"Samsn1",-1.01763792320068,8.34846417085627,10.8571851236873,0.00618165671148164,0.532102210728832
