"","logFC","logCPM","F","PValue","FDR"
"Ccl4",-1.92042501253508,7.89454064280377,71.8042136227857,2.49454586162815e-08,0.000111780600059558
"Hsp90ab1",-0.769429276062449,10.9218776384099,35.1505351106349,6.07771450960244e-06,0.0136171193587643
"Irf7",1.54941022026535,7.22899096471073,26.9063980782058,3.49167649232742e-05,0.0392894298675065
"Oasl2",3.1293929464608,5.80257855283551,26.8871497573813,3.50720195202022e-05,0.0392894298675065
"Bst2",1.251672586333,7.70569125525428,24.6140585965323,6.00279960278935e-05,0.0490406011201875
"Il15",-1.75684710114471,5.9123026965005,23.9482566194848,7.06346191759464e-05,0.0490406011201875
"Trim30a",1.47000394420014,7.18754875061002,23.4477458231703,7.99582373276541e-05,0.0490406011201875
"Oas3",3.13799129756263,5.79040993458455,22.9038296522211,0.000100401921769081,0.0490406011201875
"Malat1",-0.405277932619333,13.6696389803796,22.249132715235,0.000108252993131981,0.0490406011201875
"Pltp",1.40365331531299,7.20176273917808,22.0731920267703,0.000113259761659277,0.0490406011201875
"Ifi27l2a",1.47717679467531,10.518650981454,36.1933680527801,0.000120385318527575,0.0490406011201875
"Rtp4",2.39090954814964,6.01701812288269,21.4734999957346,0.000132325695053335,0.0494126199611662
"Fabp4",0.773540431783505,11.3911759340039,23.7428859578847,0.000144999527812402,0.0499802218559518
"Ear2",1.02015620422167,8.63004455745094,20.6053723737877,0.000183988989396999,0.0573199468904305
"Stip1",-1.37064196314742,6.42743327332639,20.0766200786535,0.000191876635428801,0.0573199468904305
"Phf11d",3.15516958005027,5.36054903751072,19.3845891144727,0.000231814019386505,0.0634454841349296
"Hpgd",-1.09296129116733,8.03876167923694,20.0954621394281,0.000240699225684848,0.0634454841349296
"Nrp1",1.71283154784822,7.74500908673979,22.1013569874573,0.000288819017493997,0.071820498688094
"Gm10076",-1.01103852203754,7.86471591931265,18.4078641881967,0.000304527889996382,0.071820498688094
"Rnf213",1.21411124572757,7.61499396914413,18.047117495815,0.00033866976683194,0.0737508013537401
"Ms4a4c",1.32925943497803,6.86485643038841,17.9632245661699,0.00034562973185194,0.0737508013537401
"Gab1",1.89398343093153,5.82905405612214,14.9291168559258,0.000856833404184688,0.164860542871957
"Hspa8",-0.509932633915583,10.6827624107955,14.8109440531852,0.000889159320075514,0.164860542871957
"Plac8",0.59448091011465,10.1334903585655,14.8038559460472,0.00089114037903254,0.164860542871957
"F10",1.09852398723635,7.7839668930481,14.9409127339992,0.000919775400981681,0.164860542871957
"Zbp1",1.28419988783788,6.81163482397786,14.3968041850652,0.00101346358886735,0.174666551604407
"Cd274",0.874107967589935,7.89700241492815,14.0672434727575,0.00112604976302272,0.181341814529766
"Ezr",-0.761056592148864,8.18709742791425,14.0477321067155,0.00113313340924647,0.181341814529766
"Mpeg1",0.742477554211934,8.35442734802378,13.9130540649578,0.00118338432925734,0.181952598591767
"Cyth2",-1.78559716820292,5.08844780044598,13.7598518420802,0.00124354329613606,0.181952598591767
"Plekhg1",1.14991240601425,6.75015745940845,13.7150628367517,0.00126175976388484,0.181952598591767
"Airn",1.37612866854316,6.86964372213145,13.7723174840522,0.0012993713802581,0.181952598591767
"Dnaja1",-0.764623028829076,9.11698223828817,13.9122254775596,0.0013688436804175,0.182697202800607
"Sept11",-1.05158044697227,6.87023967984152,13.4268526764433,0.0013862318445036,0.182697202800607
"Cdh13",1.79629018311172,6.68463058700696,14.4334780112964,0.00144384015124621,0.184852791935265
"Mndal",1.12835436491314,7.3161955223183,12.8485423450844,0.00175372543035918,0.21829010148443
