"","logFC","logCPM","F","PValue","FDR"
"Ifi27l2a",1.34034861216664,11.0500608049549,162.196833852948,6.37095970864639e-11,4.9636147090064e-07
"Irf7",1.71327535060916,6.27276338607483,65.5716793742787,1.13380907798693e-07,0.00044167532632981
"Lgals3bp",1.52157817391561,6.47833294426858,56.9372183705696,3.27638449415884e-07,0.000850877053133051
"Ly6e",0.965248858420403,8.93536691943255,52.7615936578213,5.72355959393469e-07,0.00102985920805467
"Ccl12",1.01482716847506,9.24874866975948,51.8490360752612,6.6092876912763e-07,0.00102985920805467
"Hspa8",-0.788653954361894,11.641894725399,46.9818373963276,2.43088004841643e-06,0.00277014850200895
"Zbp1",1.63799989048441,5.41341734024788,42.7614030454527,2.52062174255475e-06,0.00277014850200895
"Oasl2",1.47981905513403,5.94950855868148,42.0113922040688,2.8444600200323e-06,0.00277014850200895
"Ifi213",1.7982138546021,5.07411179001887,40.5988880034577,3.5864942382531e-06,0.00282663495321945
"Ccr2",1.47960195197386,6.88838119214585,43.480967587944,3.62807720859896e-06,0.00282663495321945
"Ms4a4c",2.20603738994068,4.62938901037238,38.1163506568945,5.46578142877734e-06,0.00387126391923675
"Gm14221",-2.21431629912229,5.1524818347623,37.2261657042561,6.69278764184885e-06,0.00434529237647037
"Ifitm3",0.625522034964595,10.5721822397587,34.4513514325879,1.05494496499397e-05,0.00632236632482156
"S100a4",1.28875606748221,8.91226908478714,44.5675363664182,1.4665943138056e-05,0.00816159735632814
"Fosl1",-1.74862790022238,4.80244420102319,31.8159966287699,1.7429426670162e-05,0.00860648744133847
"Slc25a33",-1.46222049373077,5.44825186745437,31.7445822885437,1.767472712892e-05,0.00860648744133847
"Gm4951",1.317609047736,5.75067775015174,30.9555473057859,2.06540767928995e-05,0.00946564189961648
"Cd14",-0.639071709510552,10.7790182146949,30.6782200451136,2.19599865525809e-05,0.00950501417950877
"Ear2",2.61000846010346,4.51927624508437,33.1067491979894,2.553588252662e-05,0.0104710558297314
"Pxdc1",-1.26458053326304,5.67876424062885,29.2329659577909,2.92828743333159e-05,0.0111108668414036
"Zdhhc14",-0.90231453624711,7.58924199409707,29.1241921596861,2.99484281439451e-05,0.0111108668414036
"Got1",-1.20854646090686,6.52723308893933,26.9121846317807,4.99508426735982e-05,0.0176894097850002
"Xylt1",-0.933636815860486,6.85307819923833,26.5088235071525,5.22627022856118e-05,0.0177034223264001
"Phf11a",2.27237935143734,3.92906932297655,25.8977761377866,5.98091963955267e-05,0.0194155603798978
"Mmp13",-1.02370462051195,6.85970212984102,24.882790009065,7.5149274673081e-05,0.0233975258810548
"Hspa5",-0.653064173966153,10.0841917730582,25.3263398707995,7.80818473761295e-05,0.0233975258810548
"Dock4",-0.946800973737671,7.29034726947825,24.2956353998372,8.59772078032059e-05,0.0240272002172946
"Lmna",-0.599464639152793,9.49294370120797,24.1450646953383,8.9024166411691e-05,0.0240272002172946
"Sqstm1",-0.556127122253825,9.610096531603,24.1251945158274,8.94350925813816e-05,0.0240272002172946
