,logFC,logCPM,F,PValue,FDR
Ifi27l2a,0.943484752,11.77890195,60.03482941,2.23E-07,0.001188317
Irf7,1.920684958,6.642948568,54.92889955,4.30E-07,0.001188317
Ifit3,2.539909167,5.463380774,49.71298715,8.84E-07,0.001346769
Lgals3bp,1.544932843,7.024310857,49.04143662,9.74E-07,0.001346769
Oasl2,1.733318033,6.213128729,42.11641652,2.81E-06,0.00310999
Plxdc2,1.59418365,6.211290073,35.62926952,8.54E-06,0.007868977
Ddx60,1.563070523,6.032768522,34.56085934,1.04E-05,0.008203624
Hspa5,-0.725248231,9.926349526,30.91723965,2.09E-05,0.01372994
Ifit2,2.308308552,4.884227314,30.20668271,2.41E-05,0.01372994
Hmox1,-0.722143761,10.55649009,30.05883744,2.48E-05,0.01372994
Iigp1,1.192131142,7.148865987,28.89469279,3.15E-05,0.014894271
Zbp1,1.654417083,5.701998806,28.55179632,3.39E-05,0.014894271
Klf2,0.668689367,10.54614264,28.08018114,3.74E-05,0.014894271
Hspa8,-0.68279553,11.60137344,28.04089553,3.77E-05,0.014894271
Slamf9,0.999697971,7.398966251,26.85819794,4.86E-05,0.017914569
Ltc4s,0.798947691,8.568014369,26.3293253,5.45E-05,0.018853506
Ighm,1.11506657,7.254587842,24.37816916,8.46E-05,0.027526036
Rbm47,-0.910636467,8.34618225,23.30991058,0.000108567,0.033354087
Cd14,-0.65570784,10.48187578,23.00155459,0.000116807,0.033997059
Phf11b,1.415873111,5.707783314,22.72738923,0.000124717,0.034484305
Tmem251,-1.305553429,5.970985961,22.31719249,0.00013768,0.036006802
Ifi213,2.277485063,4.725286386,22.15398382,0.000143246,0.036006802
Gm4951,1.172217716,6.354103562,21.43611671,0.000170863,0.039971899
Mir99ahg,1.104964305,7.844334688,22.59804396,0.000173477,0.039971899
Osmr,-1.933307618,4.853427349,20.98515331,0.000191198,0.042293055
Gpr84,-1.58331803,5.36498396,20.57554993,0.000212006,0.043614021
Rtp4,1.300995143,6.244225994,20.55814209,0.000212944,0.043614021
Rnf213,0.813231863,7.561479395,19.96819835,0.000247618,0.048904566
Bcar3,-1.38614506,5.609426836,19.34021108,0.000291535,0.054540062
9930111J21Rik2,1.035874596,6.413863791,19.28388261,0.000295877,0.054540062
Bcl2a1b,-0.829211386,8.4356606,19.05215293,0.000314508,0.056104128
Sipa1l1,-1.111589467,6.153302314,18.28554199,0.000386018,0.064930816
Ifitm3,0.490770298,10.86825237,18.27163073,0.000387471,0.064930816
Ankrd33b,-1.019822135,6.960397406,18.08076404,0.000408042,0.066329159
A4galt,1.231387976,5.531160852,17.91158224,0.00042729,0.066329159
Edil3,-1.98417613,5.432081944,20.4821266,0.00043225,0.066329159
Fnip2,-0.654791959,8.754423147,17.77309468,0.000443794,0.066329159
Cirbp,1.662847712,4.928610985,17.60683064,0.000464546,0.067603704
Kdm7a,-0.728139705,7.702262964,17.39028151,0.000493202,0.069933583
Wwp1,0.713984288,8.006794163,17.23489355,0.00051497,0.071194605
Phlda1,-0.802686912,8.448713836,17.12069437,0.000551441,0.073654826
Zdhhc14,-0.732655156,8.046508507,16.93911563,0.000559404,0.073654826
Mir155hg,-1.149770163,5.52588716,16.84399271,0.000574583,0.073894024
Got1,-1.20260951,5.839055504,16.70527984,0.000597541,0.075100072
Irgm1,1.204234914,5.727616873,16.38428174,0.000654664,0.080411004
Chst11,-1.339738071,5.346126624,16.30920678,0.00066888,0.080411004
Serpinb1a,1.495936229,5.079069178,16.22087216,0.000686046,0.080719862
Ckb,0.819534671,7.507308397,16.03483138,0.000723817,0.083389738
Eif1,-0.458861586,10.96393467,15.7286284,0.0007911,0.089281285
Gas2l3,-0.940460956,6.678054736,15.45480289,0.00085717,0.094803009
Ifitm6,1.594844278,4.929779566,15.05936869,0.000963629,0.096963673
Ly6e,0.615743915,9.564599537,14.99650523,0.000981865,0.096963673
Phldb1,-1.186981211,5.695441417,14.97658547,0.000987723,0.096963673
Xbp1,-0.909330623,6.544635871,14.92895298,0.001001888,0.096963673
Ifi206,1.781737737,4.734740524,14.88719213,0.001014493,0.096963673
Cd72,1.043326578,6.178851018,14.83700943,0.001029873,0.096963673
Siglec1,1.684444752,4.749622221,14.70812713,0.001070569,0.096963673
Phf11a,2.111590426,4.331311076,14.69361994,0.00107526,0.096963673
Slfn5,0.72241791,8.083195871,14.67869743,0.001080109,0.096963673
Stip1,-1.02949508,6.461154442,14.64809653,0.00109013,0.096963673
Lgals9,0.802810654,6.844586417,14.61410757,0.00110138,0.096963673
Ptprj,-0.589652833,9.831298734,14.60701186,0.001103745,0.096963673
Pde4d,-0.903141031,6.410269814,14.51998659,0.001133212,0.096963673
Agpat4,-0.987942564,5.951414628,14.47777613,0.001147818,0.096963673
Entpd1,-0.689276602,8.055251243,14.47634993,0.001148315,0.096963673
Nfu1,1.076687824,5.636868061,14.45082773,0.001157252,0.096963673
1600020E01Rik,-1.143301036,5.732583018,14.29496779,0.001213528,0.099290232
Pdpn,-1.771350014,5.202604498,15.13557976,0.001237285,0.099290232
